,date,PM2.5,date_utc,url_date,temp
1000,2020-08-11 16:00:00,16.0,2020-08-11 09:00:00,2020/08/11/0900Z,30.5
1001,2020-08-11 17:00:00,15.0,2020-08-11 10:00:00,2020/08/11/1000Z,30.5
1002,2020-08-11 18:00:00,13.0,2020-08-11 11:00:00,2020/08/11/1100Z,30.5
1003,2020-08-11 19:00:00,13.0,2020-08-11 12:00:00,2020/08/11/1200Z,29.3
1004,2020-08-11 20:00:00,19.0,2020-08-11 13:00:00,2020/08/11/1300Z,29.3
1005,2020-08-11 21:00:00,16.0,2020-08-11 14:00:00,2020/08/11/1400Z,29.3
1006,2020-08-11 22:00:00,14.0,2020-08-11 15:00:00,2020/08/11/1500Z,29.1
1007,2020-08-11 23:00:00,13.0,2020-08-11 16:00:00,2020/08/11/1600Z,29.1
1008,2020-08-12 00:00:00,12.0,2020-08-11 17:00:00,2020/08/11/1700Z,29.1
1009,2020-08-12 01:00:00,12.0,2020-08-11 18:00:00,2020/08/11/1800Z,28.6
1010,2020-08-12 02:00:00,13.0,2020-08-11 19:00:00,2020/08/11/1900Z,28.6
1011,2020-08-12 03:00:00,14.0,2020-08-11 20:00:00,2020/08/11/2000Z,28.6
1012,2020-08-12 04:00:00,12.0,2020-08-11 21:00:00,2020/08/11/2100Z,28.1
1013,2020-08-12 05:00:00,10.0,2020-08-11 22:00:00,2020/08/11/2200Z,28.1
1014,2020-08-12 06:00:00,15.0,2020-08-11 23:00:00,2020/08/11/2300Z,28.1
1015,2020-08-12 07:00:00,17.0,2020-08-12 00:00:00,2020/08/12/0000Z,28.3
1016,2020-08-12 08:00:00,14.0,2020-08-12 01:00:00,2020/08/12/0100Z,28.3
1017,2020-08-12 09:00:00,16.0,2020-08-12 02:00:00,2020/08/12/0200Z,28.3
1018,2020-08-12 10:00:00,9.0,2020-08-12 03:00:00,2020/08/12/0300Z,30.9
1019,2020-08-12 11:00:00,16.0,2020-08-12 04:00:00,2020/08/12/0400Z,30.9
1020,2020-08-12 12:00:00,15.0,2020-08-12 05:00:00,2020/08/12/0500Z,30.9
1021,2020-08-12 13:00:00,16.0,2020-08-12 06:00:00,2020/08/12/0600Z,31.5
