,date,PM2.5,date_utc,url_date,temp,wind
6000,2021-03-08 00:00:00,19.0,2021-03-07 17:00:00,2021/03/07/1700Z,28.3,95° @ 10
6001,2021-03-08 01:00:00,19.0,2021-03-07 18:00:00,2021/03/07/1800Z,28.1,145° @ 9
6002,2021-03-08 02:00:00,,2021-03-07 19:00:00,2021/03/07/1900Z,27.9,150° @ 9
6003,2021-03-08 03:00:00,19.0,2021-03-07 20:00:00,2021/03/07/2000Z,27.8,150° @ 8
6004,2021-03-08 04:00:00,19.0,2021-03-07 21:00:00,2021/03/07/2100Z,27.7,145° @ 7
6005,2021-03-08 05:00:00,,2021-03-07 22:00:00,2021/03/07/2200Z,27.4,140° @ 6
6006,2021-03-08 06:00:00,20.0,2021-03-07 23:00:00,2021/03/07/2300Z,27.4,140° @ 6
6007,2021-03-08 07:00:00,20.0,2021-03-08 00:00:00,2021/03/08/0000Z,28.1,155° @ 5
6008,2021-03-08 08:00:00,,2021-03-08 01:00:00,2021/03/08/0100Z,29.2,135° @ 5
6009,2021-03-08 09:00:00,20.0,2021-03-08 02:00:00,2021/03/08/0200Z,30.5,120° @ 5
6010,2021-03-08 10:00:00,,2021-03-08 03:00:00,2021/03/08/0300Z,31.6,115° @ 2
6011,2021-03-08 11:00:00,20.0,2021-03-08 04:00:00,2021/03/08/0400Z,32.4,185° @ 2
6012,2021-03-08 12:00:00,20.0,2021-03-08 05:00:00,2021/03/08/0500Z,32.8,210° @ 0
6013,2021-03-08 13:00:00,,2021-03-08 06:00:00,2021/03/08/0600Z,32.5,355° @ 3
6014,2021-03-08 14:00:00,21.0,2021-03-08 07:00:00,2021/03/08/0700Z,32.3,5° @ 5
6015,2021-03-08 15:00:00,21.0,2021-03-08 08:00:00,2021/03/08/0800Z,32.5,25° @ 3
6016,2021-03-08 16:00:00,,2021-03-08 09:00:00,2021/03/08/0900Z,32.6,110° @ 4
6017,2021-03-08 17:00:00,21.0,2021-03-08 10:00:00,2021/03/08/1000Z,32.0,110° @ 7
6018,2021-03-08 18:00:00,21.0,2021-03-08 11:00:00,2021/03/08/1100Z,31.1,95° @ 10
6019,2021-03-08 19:00:00,21.0,2021-03-08 12:00:00,2021/03/08/1200Z,30.1,45° @ 8
6020,2021-03-08 20:00:00,21.0,2021-03-08 13:00:00,2021/03/08/1300Z,29.6,20° @ 9
6021,2021-03-08 21:00:00,21.0,2021-03-08 14:00:00,2021/03/08/1400Z,29.2,50° @ 11
6022,2021-03-08 22:00:00,21.0,2021-03-08 15:00:00,2021/03/08/1500Z,28.6,60° @ 14
6023,2021-03-08 23:00:00,22.0,2021-03-08 16:00:00,2021/03/08/1600Z,28.1,65° @ 19
6024,2021-03-09 00:00:00,22.0,2021-03-08 17:00:00,2021/03/08/1700Z,27.8,75° @ 22
6025,2021-03-09 01:00:00,22.0,2021-03-08 18:00:00,2021/03/08/1800Z,27.7,80° @ 22
6026,2021-03-09 02:00:00,,2021-03-08 19:00:00,2021/03/08/1900Z,27.7,80° @ 21
6027,2021-03-09 03:00:00,22.0,2021-03-08 20:00:00,2021/03/08/2000Z,27.7,85° @ 20
