year,month,day,hour,temp,wind speed,wind dir,PM2.5
2017,7,1,0,23.2,32.0,235.0,13.0
2017,7,1,1,23.2,32.0,235.0,5.0
2017,7,1,2,23.2,32.0,235.0,16.0
2017,7,1,3,23.2,32.0,235.0,11.0
2017,7,1,4,22.3,30.0,250.0,12.0
2017,7,1,5,22.3,30.0,250.0,15.0
2017,7,1,6,22.3,30.0,250.0,16.0
2017,7,1,7,24.3,30.0,250.0,8.0
2017,7,1,8,24.3,30.0,250.0,16.0
2017,7,1,9,24.3,30.0,250.0,13.0
2017,7,1,10,29.3,26.0,245.0,16.0
2017,7,1,11,29.3,26.0,245.0,17.0
2017,7,1,12,29.3,26.0,245.0,15.0
2017,7,1,13,30.8,24.0,245.0,11.0
2017,7,1,14,30.8,24.0,245.0,13.0
2017,7,1,15,30.8,24.0,245.0,11.0
2017,7,1,16,30.9,22.0,235.0,9.0
2017,7,1,17,30.9,22.0,235.0,16.0
2017,7,1,18,30.9,22.0,235.0,18.0
2017,7,1,19,25.9,24.0,265.0,16.0
2017,7,1,20,25.9,24.0,265.0,13.0
2017,7,1,21,25.9,24.0,265.0,15.0
2017,7,1,22,24.3,30.0,260.0,21.0
2017,7,1,23,24.3,30.0,260.0,17.0
2017,7,2,0,24.3,30.0,260.0,17.0
2017,7,2,1,23.3,18.0,245.0,15.0
2017,7,2,2,23.3,18.0,245.0,17.0
2017,7,2,3,23.3,18.0,245.0,15.0
2017,7,2,4,22.1,27.0,250.0,12.0
2017,7,2,5,22.1,27.0,250.0,13.0
2017,7,2,6,22.1,27.0,250.0,16.0
2017,7,2,7,24.9,17.0,255.0,14.0
2017,7,2,8,24.9,17.0,255.0,10.0
2017,7,2,9,24.9,17.0,255.0,16.0
2017,7,2,10,29.7,20.0,245.0,14.0
2017,7,2,11,29.7,20.0,245.0,13.0
2017,7,2,12,29.7,20.0,245.0,11.0
2017,7,2,13,31.3,22.0,235.0,16.0
2017,7,2,14,31.3,22.0,235.0,9.0
2017,7,2,15,31.3,22.0,235.0,13.0
2017,7,2,16,31.4,26.0,235.0,17.0
2017,7,2,17,31.4,26.0,235.0,19.0
2017,7,2,18,31.4,26.0,235.0,15.0
2017,7,2,19,25.6,31.0,250.0,17.0
2017,7,2,20,25.6,31.0,250.0,21.0
2017,7,2,21,25.6,31.0,250.0,16.0
2017,7,2,22,23.9,32.0,260.0,16.0
2017,7,2,23,23.9,32.0,260.0,15.0
2017,7,3,0,23.9,32.0,260.0,14.0
2017,7,3,1,23.1,34.0,280.0,12.0
2017,7,3,2,23.1,34.0,280.0,11.0
2017,7,3,3,23.1,34.0,280.0,12.0
2017,7,3,4,21.9,33.0,280.0,15.0
2017,7,3,5,21.9,33.0,280.0,13.0
2017,7,3,6,21.9,33.0,280.0,20.0
2017,7,3,7,24.3,23.0,265.0,18.0
2017,7,3,8,24.3,23.0,265.0,16.0
2017,7,3,9,24.3,23.0,265.0,19.0
2017,7,3,10,29.3,19.0,250.0,18.0
