,date,PM2.5,date_utc,url_date,temp
1000,2020-08-11 16:00:00,13.0,2020-08-11 09:00:00,2020/08/11/0900Z,29.5
1001,2020-08-11 17:00:00,18.0,2020-08-11 10:00:00,2020/08/11/1000Z,29.5
1002,2020-08-11 18:00:00,16.0,2020-08-11 11:00:00,2020/08/11/1100Z,29.5
1003,2020-08-11 19:00:00,14.0,2020-08-11 12:00:00,2020/08/11/1200Z,25.1
1004,2020-08-11 20:00:00,15.0,2020-08-11 13:00:00,2020/08/11/1300Z,25.1
1005,2020-08-11 21:00:00,14.0,2020-08-11 14:00:00,2020/08/11/1400Z,25.1
1006,2020-08-11 22:00:00,11.0,2020-08-11 15:00:00,2020/08/11/1500Z,23.7
1007,2020-08-11 23:00:00,7.0,2020-08-11 16:00:00,2020/08/11/1600Z,23.7
1008,2020-08-12 00:00:00,12.0,2020-08-11 17:00:00,2020/08/11/1700Z,23.7
1009,2020-08-12 01:00:00,12.0,2020-08-11 18:00:00,2020/08/11/1800Z,22.9
1010,2020-08-12 02:00:00,12.0,2020-08-11 19:00:00,2020/08/11/1900Z,22.9
1011,2020-08-12 03:00:00,13.0,2020-08-11 20:00:00,2020/08/11/2000Z,22.9
1012,2020-08-12 04:00:00,12.0,2020-08-11 21:00:00,2020/08/11/2100Z,22.4
1013,2020-08-12 05:00:00,11.0,2020-08-11 22:00:00,2020/08/11/2200Z,22.4
1014,2020-08-12 06:00:00,13.0,2020-08-11 23:00:00,2020/08/11/2300Z,22.4
1015,2020-08-12 07:00:00,10.0,2020-08-12 00:00:00,2020/08/12/0000Z,22.8
1016,2020-08-12 08:00:00,10.0,2020-08-12 01:00:00,2020/08/12/0100Z,22.8
1017,2020-08-12 09:00:00,15.0,2020-08-12 02:00:00,2020/08/12/0200Z,22.8
1018,2020-08-12 10:00:00,17.0,2020-08-12 03:00:00,2020/08/12/0300Z,27.3
1019,2020-08-12 11:00:00,16.0,2020-08-12 04:00:00,2020/08/12/0400Z,27.3
1020,2020-08-12 12:00:00,16.0,2020-08-12 05:00:00,2020/08/12/0500Z,27.3
1021,2020-08-12 13:00:00,21.0,2020-08-12 06:00:00,2020/08/12/0600Z,30.3
1022,2020-08-12 14:00:00,19.0,2020-08-12 07:00:00,2020/08/12/0700Z,30.3
1023,2020-08-12 15:00:00,18.0,2020-08-12 08:00:00,2020/08/12/0800Z,30.3
1024,2020-08-12 16:00:00,10.0,2020-08-12 09:00:00,2020/08/12/0900Z,29.5
1025,2020-08-12 17:00:00,16.0,2020-08-12 10:00:00,2020/08/12/1000Z,29.5
1026,2020-08-12 18:00:00,13.0,2020-08-12 11:00:00,2020/08/12/1100Z,29.5
1027,2020-08-12 19:00:00,14.0,2020-08-12 12:00:00,2020/08/12/1200Z,24.7
1028,2020-08-12 20:00:00,11.0,2020-08-12 13:00:00,2020/08/12/1300Z,24.7
1029,2020-08-12 21:00:00,11.0,2020-08-12 14:00:00,2020/08/12/1400Z,24.7
1030,2020-08-12 22:00:00,14.0,2020-08-12 15:00:00,2020/08/12/1500Z,23.8
1031,2020-08-12 23:00:00,17.0,2020-08-12 16:00:00,2020/08/12/1600Z,23.8
1032,2020-08-13 00:00:00,12.0,2020-08-12 17:00:00,2020/08/12/1700Z,23.8
1033,2020-08-13 01:00:00,15.0,2020-08-12 18:00:00,2020/08/12/1800Z,23.4
1034,2020-08-13 02:00:00,14.0,2020-08-12 19:00:00,2020/08/12/1900Z,23.4
1035,2020-08-13 03:00:00,13.0,2020-08-12 20:00:00,2020/08/12/2000Z,23.4
1036,2020-08-13 04:00:00,8.0,2020-08-12 21:00:00,2020/08/12/2100Z,22.7
1037,2020-08-13 05:00:00,9.0,2020-08-12 22:00:00,2020/08/12/2200Z,22.7
1038,2020-08-13 06:00:00,12.0,2020-08-12 23:00:00,2020/08/12/2300Z,22.7
1039,2020-08-13 07:00:00,12.0,2020-08-13 00:00:00,2020/08/13/0000Z,22.7
1040,2020-08-13 08:00:00,18.0,2020-08-13 01:00:00,2020/08/13/0100Z,22.7
1041,2020-08-13 09:00:00,24.0,2020-08-13 02:00:00,2020/08/13/0200Z,22.7
1042,2020-08-13 10:00:00,17.0,2020-08-13 03:00:00,2020/08/13/0300Z,26.8
1043,2020-08-13 11:00:00,15.0,2020-08-13 04:00:00,2020/08/13/0400Z,26.8
1044,2020-08-13 12:00:00,17.0,2020-08-13 05:00:00,2020/08/13/0500Z,26.8
1045,2020-08-13 13:00:00,15.0,2020-08-13 06:00:00,2020/08/13/0600Z,27.9
1046,2020-08-13 14:00:00,19.0,2020-08-13 07:00:00,2020/08/13/0700Z,27.9
1047,2020-08-13 15:00:00,16.0,2020-08-13 08:00:00,2020/08/13/0800Z,27.9
1048,2020-08-13 16:00:00,25.0,2020-08-13 09:00:00,2020/08/13/0900Z,27.7
1049,2020-08-13 17:00:00,19.0,2020-08-13 10:00:00,2020/08/13/1000Z,27.7
1050,2020-08-13 18:00:00,13.0,2020-08-13 11:00:00,2020/08/13/1100Z,27.7
1051,2020-08-13 19:00:00,12.0,2020-08-13 12:00:00,2020/08/13/1200Z,24.3
1052,2020-08-13 20:00:00,17.0,2020-08-13 13:00:00,2020/08/13/1300Z,24.3
1053,2020-08-13 21:00:00,15.0,2020-08-13 14:00:00,2020/08/13/1400Z,24.3
1054,2020-08-13 22:00:00,17.0,2020-08-13 15:00:00,2020/08/13/1500Z,23.5
1055,2020-08-13 23:00:00,9.0,2020-08-13 16:00:00,2020/08/13/1600Z,23.5
1056,2020-08-14 00:00:00,11.0,2020-08-13 17:00:00,2020/08/13/1700Z,23.5
1057,2020-08-14 01:00:00,12.0,2020-08-13 18:00:00,2020/08/13/1800Z,23.2
1058,2020-08-14 02:00:00,12.0,2020-08-13 19:00:00,2020/08/13/1900Z,23.2
1059,2020-08-14 03:00:00,8.0,2020-08-13 20:00:00,2020/08/13/2000Z,23.2
1060,2020-08-14 04:00:00,12.0,2020-08-13 21:00:00,2020/08/13/2100Z,22.9
1061,2020-08-14 05:00:00,11.0,2020-08-13 22:00:00,2020/08/13/2200Z,22.9
1062,2020-08-14 06:00:00,12.0,2020-08-13 23:00:00,2020/08/13/2300Z,22.9
1063,2020-08-14 07:00:00,15.0,2020-08-14 00:00:00,2020/08/14/0000Z,23.1
1064,2020-08-14 08:00:00,13.0,2020-08-14 01:00:00,2020/08/14/0100Z,23.1
1065,2020-08-14 09:00:00,11.0,2020-08-14 02:00:00,2020/08/14/0200Z,23.1
1066,2020-08-14 10:00:00,17.0,2020-08-14 03:00:00,2020/08/14/0300Z,25.6
1067,2020-08-14 11:00:00,13.0,2020-08-14 04:00:00,2020/08/14/0400Z,25.6
1068,2020-08-14 12:00:00,15.0,2020-08-14 05:00:00,2020/08/14/0500Z,25.6
1069,2020-08-14 13:00:00,16.0,2020-08-14 06:00:00,2020/08/14/0600Z,26.5
1070,2020-08-14 14:00:00,13.0,2020-08-14 07:00:00,2020/08/14/0700Z,26.5
1071,2020-08-14 15:00:00,12.0,2020-08-14 08:00:00,2020/08/14/0800Z,26.5
1072,2020-08-14 16:00:00,13.0,2020-08-14 09:00:00,2020/08/14/0900Z,26.5
1073,2020-08-14 17:00:00,14.0,2020-08-14 10:00:00,2020/08/14/1000Z,26.5
1074,2020-08-14 18:00:00,11.0,2020-08-14 11:00:00,2020/08/14/1100Z,23.9
1075,2020-08-14 19:00:00,8.0,2020-08-14 12:00:00,2020/08/14/1200Z,23.5
1076,2020-08-14 20:00:00,10.0,2020-08-14 13:00:00,2020/08/14/1300Z,23.5
1077,2020-08-14 21:00:00,9.0,2020-08-14 14:00:00,2020/08/14/1400Z,23.5
1078,2020-08-14 22:00:00,15.0,2020-08-14 15:00:00,2020/08/14/1500Z,22.8
1079,2020-08-14 23:00:00,10.0,2020-08-14 16:00:00,2020/08/14/1600Z,22.8
1080,2020-08-15 00:00:00,10.0,2020-08-14 17:00:00,2020/08/14/1700Z,22.8
1081,2020-08-15 01:00:00,12.0,2020-08-14 18:00:00,2020/08/14/1800Z,22.4
1082,2020-08-15 02:00:00,11.0,2020-08-14 19:00:00,2020/08/14/1900Z,22.4
1083,2020-08-15 03:00:00,12.0,2020-08-14 20:00:00,2020/08/14/2000Z,22.4
1084,2020-08-15 04:00:00,12.0,2020-08-14 21:00:00,2020/08/14/2100Z,22.1
1085,2020-08-15 05:00:00,13.0,2020-08-14 22:00:00,2020/08/14/2200Z,22.1
1086,2020-08-15 06:00:00,14.0,2020-08-14 23:00:00,2020/08/14/2300Z,22.1
1087,2020-08-15 07:00:00,13.0,2020-08-15 00:00:00,2020/08/15/0000Z,22.9
1088,2020-08-15 08:00:00,14.0,2020-08-15 01:00:00,2020/08/15/0100Z,22.9
1089,2020-08-15 09:00:00,14.0,2020-08-15 02:00:00,2020/08/15/0200Z,22.9
1090,2020-08-15 10:00:00,14.0,2020-08-15 03:00:00,2020/08/15/0300Z,25.4
1091,2020-08-15 11:00:00,17.0,2020-08-15 04:00:00,2020/08/15/0400Z,25.4
1092,2020-08-15 12:00:00,14.0,2020-08-15 05:00:00,2020/08/15/0500Z,25.4
1093,2020-08-15 13:00:00,16.0,2020-08-15 06:00:00,2020/08/15/0600Z,24.4
1094,2020-08-15 14:00:00,18.0,2020-08-15 07:00:00,2020/08/15/0700Z,24.4
1095,2020-08-15 15:00:00,16.0,2020-08-15 08:00:00,2020/08/15/0800Z,24.4
1096,2020-08-15 16:00:00,23.0,2020-08-15 09:00:00,2020/08/15/0900Z,23.7
1097,2020-08-15 17:00:00,21.0,2020-08-15 10:00:00,2020/08/15/1000Z,23.7
1098,2020-08-15 18:00:00,14.0,2020-08-15 11:00:00,2020/08/15/1100Z,23.7
1099,2020-08-15 19:00:00,18.0,2020-08-15 12:00:00,2020/08/15/1200Z,22.8
1100,2020-08-15 20:00:00,18.0,2020-08-15 13:00:00,2020/08/15/1300Z,22.8
1101,2020-08-15 21:00:00,15.0,2020-08-15 14:00:00,2020/08/15/1400Z,22.8
1102,2020-08-15 22:00:00,19.0,2020-08-15 15:00:00,2020/08/15/1500Z,21.9
1103,2020-08-15 23:00:00,19.0,2020-08-15 16:00:00,2020/08/15/1600Z,21.9
1104,2020-08-16 00:00:00,13.0,2020-08-15 17:00:00,2020/08/15/1700Z,21.9
1105,2020-08-16 01:00:00,12.0,2020-08-15 18:00:00,2020/08/15/1800Z,21.9
1106,2020-08-16 02:00:00,13.0,2020-08-15 19:00:00,2020/08/15/1900Z,21.9
