,date,PM2.5,date_utc,url_date,wind
0,2020-07-01 00:00:00,13.0,2020-06-30 17:00:00,2020/06/30/1700Z,225° @ 17
1,2020-07-01 01:00:00,13.0,2020-06-30 18:00:00,2020/06/30/1800Z,265° @ 24
2,2020-07-01 02:00:00,11.0,2020-06-30 19:00:00,2020/06/30/1900Z,265° @ 24
3,2020-07-01 03:00:00,13.0,2020-06-30 20:00:00,2020/06/30/2000Z,265° @ 24
4,2020-07-01 04:00:00,12.0,2020-06-30 21:00:00,2020/06/30/2100Z,280° @ 23
5,2020-07-01 05:00:00,10.0,2020-06-30 22:00:00,2020/06/30/2200Z,280° @ 23
6,2020-07-01 06:00:00,11.0,2020-06-30 23:00:00,2020/06/30/2300Z,280° @ 23
7,2020-07-01 07:00:00,12.0,2020-07-01 00:00:00,2020/07/01/0000Z,265° @ 18
8,2020-07-01 08:00:00,11.0,2020-07-01 01:00:00,2020/07/01/0100Z,265° @ 18
9,2020-07-01 09:00:00,16.0,2020-07-01 02:00:00,2020/07/01/0200Z,265° @ 18
10,2020-07-01 10:00:00,12.0,2020-07-01 03:00:00,2020/07/01/0300Z,265° @ 22
11,2020-07-01 11:00:00,14.0,2020-07-01 04:00:00,2020/07/01/0400Z,265° @ 22
12,2020-07-01 12:00:00,15.0,2020-07-01 05:00:00,2020/07/01/0500Z,265° @ 22
13,2020-07-01 13:00:00,13.0,2020-07-01 06:00:00,2020/07/01/0600Z,240° @ 20
14,2020-07-01 14:00:00,11.0,2020-07-01 07:00:00,2020/07/01/0700Z,240° @ 20
15,2020-07-01 15:00:00,8.0,2020-07-01 08:00:00,2020/07/01/0800Z,240° @ 20
16,2020-07-01 16:00:00,11.0,2020-07-01 09:00:00,2020/07/01/0900Z,250° @ 23
17,2020-07-01 17:00:00,9.0,2020-07-01 10:00:00,2020/07/01/1000Z,250° @ 23
18,2020-07-01 18:00:00,15.0,2020-07-01 11:00:00,2020/07/01/1100Z,250° @ 23
19,2020-07-01 19:00:00,15.0,2020-07-01 12:00:00,2020/07/01/1200Z,260° @ 24
20,2020-07-01 20:00:00,18.0,2020-07-01 13:00:00,2020/07/01/1300Z,260° @ 24
21,2020-07-01 21:00:00,13.0,2020-07-01 14:00:00,2020/07/01/1400Z,260° @ 24
22,2020-07-01 22:00:00,11.0,2020-07-01 15:00:00,2020/07/01/1500Z,275° @ 28
23,2020-07-01 23:00:00,18.0,2020-07-01 16:00:00,2020/07/01/1600Z,275° @ 28
24,2020-07-02 00:00:00,10.0,2020-07-01 17:00:00,2020/07/01/1700Z,275° @ 28
25,2020-07-02 01:00:00,11.0,2020-07-01 18:00:00,2020/07/01/1800Z,270° @ 24
26,2020-07-02 02:00:00,10.0,2020-07-01 19:00:00,2020/07/01/1900Z,270° @ 24
27,2020-07-02 03:00:00,9.0,2020-07-01 20:00:00,2020/07/01/2000Z,270° @ 24
28,2020-07-02 04:00:00,10.0,2020-07-01 21:00:00,2020/07/01/2100Z,275° @ 22
29,2020-07-02 05:00:00,7.0,2020-07-01 22:00:00,2020/07/01/2200Z,275° @ 22
30,2020-07-02 06:00:00,12.0,2020-07-01 23:00:00,2020/07/01/2300Z,275° @ 22
31,2020-07-02 07:00:00,16.0,2020-07-02 00:00:00,2020/07/02/0000Z,280° @ 19
32,2020-07-02 08:00:00,15.0,2020-07-02 01:00:00,2020/07/02/0100Z,280° @ 19
33,2020-07-02 09:00:00,10.0,2020-07-02 02:00:00,2020/07/02/0200Z,280° @ 19
34,2020-07-02 10:00:00,9.0,2020-07-02 03:00:00,2020/07/02/0300Z,275° @ 14
35,2020-07-02 11:00:00,18.0,2020-07-02 04:00:00,2020/07/02/0400Z,275° @ 14
36,2020-07-02 12:00:00,14.0,2020-07-02 05:00:00,2020/07/02/0500Z,275° @ 14
37,2020-07-02 13:00:00,11.0,2020-07-02 06:00:00,2020/07/02/0600Z,250° @ 11
38,2020-07-02 14:00:00,13.0,2020-07-02 07:00:00,2020/07/02/0700Z,250° @ 11
39,2020-07-02 15:00:00,12.0,2020-07-02 08:00:00,2020/07/02/0800Z,250° @ 11
40,2020-07-02 16:00:00,10.0,2020-07-02 09:00:00,2020/07/02/0900Z,235° @ 9
41,2020-07-02 17:00:00,12.0,2020-07-02 10:00:00,2020/07/02/1000Z,235° @ 9
42,2020-07-02 18:00:00,13.0,2020-07-02 11:00:00,2020/07/02/1100Z,235° @ 9
43,2020-07-02 19:00:00,14.0,2020-07-02 12:00:00,2020/07/02/1200Z,235° @ 15
44,2020-07-02 20:00:00,10.0,2020-07-02 13:00:00,2020/07/02/1300Z,235° @ 15
45,2020-07-02 21:00:00,12.0,2020-07-02 14:00:00,2020/07/02/1400Z,235° @ 15
46,2020-07-02 22:00:00,8.0,2020-07-02 15:00:00,2020/07/02/1500Z,245° @ 17
47,2020-07-02 23:00:00,13.0,2020-07-02 16:00:00,2020/07/02/1600Z,245° @ 17
48,2020-07-03 00:00:00,12.0,2020-07-02 17:00:00,2020/07/02/1700Z,245° @ 17
49,2020-07-03 01:00:00,14.0,2020-07-02 18:00:00,2020/07/02/1800Z,250° @ 21
50,2020-07-03 02:00:00,13.0,2020-07-02 19:00:00,2020/07/02/1900Z,250° @ 21
51,2020-07-03 03:00:00,11.0,2020-07-02 20:00:00,2020/07/02/2000Z,250° @ 21
