,date,PM2.5,date_utc,url_date,temp,wind
8000,2021-05-30 08:00:00,16.0,2021-05-30 01:00:00,2021/05/30/0100Z,24.6,185° @ 14
8001,2021-05-30 09:00:00,15.0,2021-05-30 02:00:00,2021/05/30/0200Z,26.7,195° @ 14
8002,2021-05-30 10:00:00,,2021-05-30 03:00:00,2021/05/30/0300Z,27.9,205° @ 14
8003,2021-05-30 11:00:00,15.0,2021-05-30 04:00:00,2021/05/30/0400Z,29.4,210° @ 14
8004,2021-05-30 12:00:00,14.0,2021-05-30 05:00:00,2021/05/30/0500Z,31.4,205° @ 12
8005,2021-05-30 13:00:00,14.0,2021-05-30 06:00:00,2021/05/30/0600Z,32.3,200° @ 12
8006,2021-05-30 14:00:00,14.0,2021-05-30 07:00:00,2021/05/30/0700Z,32.7,200° @ 13
8007,2021-05-30 15:00:00,14.0,2021-05-30 08:00:00,2021/05/30/0800Z,31.9,205° @ 13
8008,2021-05-30 16:00:00,,2021-05-30 09:00:00,2021/05/30/0900Z,31.9,205° @ 13
8009,2021-05-30 17:00:00,14.0,2021-05-30 10:00:00,2021/05/30/1000Z,30.9,200° @ 13
8010,2021-05-30 18:00:00,14.0,2021-05-30 11:00:00,2021/05/30/1100Z,29.7,200° @ 14
8011,2021-05-30 19:00:00,13.0,2021-05-30 12:00:00,2021/05/30/1200Z,27.5,200° @ 17
8012,2021-05-30 20:00:00,,2021-05-30 13:00:00,2021/05/30/1300Z,26.0,200° @ 17
8013,2021-05-30 21:00:00,13.0,2021-05-30 14:00:00,2021/05/30/1400Z,25.3,200° @ 17
8014,2021-05-30 22:00:00,,2021-05-30 15:00:00,2021/05/30/1500Z,24.9,200° @ 18
8015,2021-05-30 23:00:00,13.0,2021-05-30 16:00:00,2021/05/30/1600Z,24.6,205° @ 17
8016,2021-05-31 00:00:00,,2021-05-30 17:00:00,2021/05/30/1700Z,24.1,210° @ 15
8017,2021-05-31 01:00:00,13.0,2021-05-30 18:00:00,2021/05/30/1800Z,23.9,225° @ 12
8018,2021-05-31 02:00:00,,2021-05-30 19:00:00,2021/05/30/1900Z,23.6,230° @ 12
8019,2021-05-31 03:00:00,13.0,2021-05-30 20:00:00,2021/05/30/2000Z,23.5,230° @ 11
8020,2021-05-31 04:00:00,13.0,2021-05-30 21:00:00,2021/05/30/2100Z,23.3,230° @ 11
8021,2021-05-31 05:00:00,,2021-05-30 22:00:00,2021/05/30/2200Z,23.1,225° @ 11
8022,2021-05-31 06:00:00,12.0,2021-05-30 23:00:00,2021/05/30/2300Z,23.1,230° @ 11
8023,2021-05-31 07:00:00,12.0,2021-05-31 00:00:00,2021/05/31/0000Z,24.5,235° @ 12
8024,2021-05-31 08:00:00,12.0,2021-05-31 01:00:00,2021/05/31/0100Z,26.2,235° @ 11
8025,2021-05-31 09:00:00,,2021-05-31 02:00:00,2021/05/31/0200Z,28.0,245° @ 12
8026,2021-05-31 10:00:00,12.0,2021-05-31 03:00:00,2021/05/31/0300Z,29.8,240° @ 11
8027,2021-05-31 11:00:00,12.0,2021-05-31 04:00:00,2021/05/31/0400Z,30.6,230° @ 12
8028,2021-05-31 12:00:00,12.0,2021-05-31 05:00:00,2021/05/31/0500Z,31.1,220° @ 13
8029,2021-05-31 13:00:00,12.0,2021-05-31 06:00:00,2021/05/31/0600Z,33.2,215° @ 12
8030,2021-05-31 14:00:00,12.0,2021-05-31 07:00:00,2021/05/31/0700Z,33.6,215° @ 11
8031,2021-05-31 15:00:00,12.0,2021-05-31 08:00:00,2021/05/31/0800Z,33.0,215° @ 11
8032,2021-05-31 16:00:00,12.0,2021-05-31 09:00:00,2021/05/31/0900Z,32.5,215° @ 12
8033,2021-05-31 17:00:00,13.0,2021-05-31 10:00:00,2021/05/31/1000Z,30.9,210° @ 12
8034,2021-05-31 18:00:00,13.0,2021-05-31 11:00:00,2021/05/31/1100Z,29.2,200° @ 14
8035,2021-05-31 19:00:00,13.0,2021-05-31 12:00:00,2021/05/31/1200Z,27.1,200° @ 14
8036,2021-05-31 20:00:00,13.0,2021-05-31 13:00:00,2021/05/31/1300Z,25.9,210° @ 15
8037,2021-05-31 21:00:00,13.0,2021-05-31 14:00:00,2021/05/31/1400Z,25.2,215° @ 15
8038,2021-05-31 22:00:00,13.0,2021-05-31 15:00:00,2021/05/31/1500Z,24.9,225° @ 16
8039,2021-05-31 23:00:00,13.0,2021-05-31 16:00:00,2021/05/31/1600Z,24.3,235° @ 15
8040,2021-06-01 00:00:00,13.0,2021-05-31 17:00:00,2021/05/31/1700Z,23.8,245° @ 15
8041,2021-06-01 01:00:00,13.0,2021-05-31 18:00:00,2021/05/31/1800Z,23.7,250° @ 16
8042,2021-06-01 02:00:00,13.0,2021-05-31 19:00:00,2021/05/31/1900Z,23.4,255° @ 16
8043,2021-06-01 03:00:00,13.0,2021-05-31 20:00:00,2021/05/31/2000Z,23.1,260° @ 16
8044,2021-06-01 04:00:00,13.0,2021-05-31 21:00:00,2021/05/31/2100Z,23.0,265° @ 17
8045,2021-06-01 05:00:00,,2021-05-31 22:00:00,2021/05/31/2200Z,22.7,270° @ 17
8046,2021-06-01 06:00:00,13.0,2021-05-31 23:00:00,2021/05/31/2300Z,22.7,275° @ 16
8047,2021-06-01 07:00:00,13.0,2021-06-01 00:00:00,2021/06/01/0000Z,24.2,265° @ 13
8048,2021-06-01 08:00:00,14.0,2021-06-01 01:00:00,2021/06/01/0100Z,26.3,265° @ 13
8049,2021-06-01 09:00:00,,2021-06-01 02:00:00,2021/06/01/0200Z,28.5,255° @ 12
8050,2021-06-01 10:00:00,14.0,2021-06-01 03:00:00,2021/06/01/0300Z,30.5,250° @ 11
8051,2021-06-01 11:00:00,15.0,2021-06-01 04:00:00,2021/06/01/0400Z,32.3,235° @ 11
8052,2021-06-01 12:00:00,15.0,2021-06-01 05:00:00,2021/06/01/0500Z,33.7,235° @ 13
8053,2021-06-01 13:00:00,15.0,2021-06-01 06:00:00,2021/06/01/0600Z,34.6,230° @ 15
8054,2021-06-01 14:00:00,16.0,2021-06-01 07:00:00,2021/06/01/0700Z,35.3,230° @ 15
8055,2021-06-01 15:00:00,,2021-06-01 08:00:00,2021/06/01/0800Z,34.9,235° @ 15
8056,2021-06-01 16:00:00,16.0,2021-06-01 09:00:00,2021/06/01/0900Z,33.7,240° @ 16
8057,2021-06-01 17:00:00,,2021-06-01 10:00:00,2021/06/01/1000Z,33.4,250° @ 19
8058,2021-06-01 18:00:00,16.0,2021-06-01 11:00:00,2021/06/01/1100Z,32.0,255° @ 23
8059,2021-06-01 19:00:00,,2021-06-01 12:00:00,2021/06/01/1200Z,28.6,265° @ 22
8060,2021-06-01 20:00:00,17.0,2021-06-01 13:00:00,2021/06/01/1300Z,27.4,280° @ 21
8061,2021-06-01 21:00:00,,2021-06-01 14:00:00,2021/06/01/1400Z,26.4,290° @ 21
8062,2021-06-01 22:00:00,17.0,2021-06-01 15:00:00,2021/06/01/1500Z,25.8,285° @ 19
8063,2021-06-01 23:00:00,,2021-06-01 16:00:00,2021/06/01/1600Z,25.4,285° @ 17
8064,2021-06-02 00:00:00,18.0,2021-06-01 17:00:00,2021/06/01/1700Z,24.8,280° @ 16
8065,2021-06-02 01:00:00,18.0,2021-06-01 18:00:00,2021/06/01/1800Z,24.4,270° @ 15
8066,2021-06-02 02:00:00,18.0,2021-06-01 19:00:00,2021/06/01/1900Z,24.0,270° @ 15
8067,2021-06-02 03:00:00,19.0,2021-06-01 20:00:00,2021/06/01/2000Z,23.7,255° @ 15
8068,2021-06-02 04:00:00,20.0,2021-06-01 21:00:00,2021/06/01/2100Z,23.4,255° @ 16
8069,2021-06-02 05:00:00,,2021-06-01 22:00:00,2021/06/01/2200Z,23.1,260° @ 16
8070,2021-06-02 06:00:00,20.0,2021-06-01 23:00:00,2021/06/01/2300Z,23.0,265° @ 16
8071,2021-06-02 07:00:00,20.0,2021-06-02 00:00:00,2021/06/02/0000Z,24.8,275° @ 16
8072,2021-06-02 08:00:00,20.0,2021-06-02 01:00:00,2021/06/02/0100Z,27.4,275° @ 17
8073,2021-06-02 09:00:00,,2021-06-02 02:00:00,2021/06/02/0200Z,29.9,280° @ 16
8074,2021-06-02 10:00:00,21.0,2021-06-02 03:00:00,2021/06/02/0300Z,32.4,275° @ 12
8075,2021-06-02 11:00:00,22.0,2021-06-02 04:00:00,2021/06/02/0400Z,34.6,255° @ 11
8076,2021-06-02 12:00:00,,2021-06-02 05:00:00,2021/06/02/0500Z,36.0,250° @ 11
8077,2021-06-02 13:00:00,22.0,2021-06-02 06:00:00,2021/06/02/0600Z,36.8,245° @ 10
8078,2021-06-02 14:00:00,22.0,2021-06-02 07:00:00,2021/06/02/0700Z,36.9,240° @ 10
8079,2021-06-02 15:00:00,22.0,2021-06-02 08:00:00,2021/06/02/0800Z,35.8,245° @ 10
8080,2021-06-02 16:00:00,22.0,2021-06-02 09:00:00,2021/06/02/0900Z,34.5,240° @ 14
8081,2021-06-02 17:00:00,23.0,2021-06-02 10:00:00,2021/06/02/1000Z,33.6,250° @ 18
8082,2021-06-02 18:00:00,23.0,2021-06-02 11:00:00,2021/06/02/1100Z,32.5,265° @ 22
8083,2021-06-02 19:00:00,,2021-06-02 12:00:00,2021/06/02/1200Z,29.7,265° @ 19
8084,2021-06-02 20:00:00,23.0,2021-06-02 13:00:00,2021/06/02/1300Z,28.1,270° @ 17
8085,2021-06-02 21:00:00,,2021-06-02 14:00:00,2021/06/02/1400Z,26.9,270° @ 13
8086,2021-06-02 22:00:00,24.0,2021-06-02 15:00:00,2021/06/02/1500Z,26.3,270° @ 11
8087,2021-06-02 23:00:00,24.0,2021-06-02 16:00:00,2021/06/02/1600Z,25.9,270° @ 12
