year,month,day,hour,temp,wind speed,wind dir,PM2.5
2017,7,1,0,26.5,28.0,235.0,5.0
2017,7,1,1,26.5,28.0,235.0,7.0
2017,7,1,2,26.5,28.0,235.0,4.0
2017,7,1,3,26.5,28.0,235.0,9.0
2017,7,1,4,25.8,29.0,245.0,8.0
2017,7,1,5,25.8,29.0,245.0,6.0
2017,7,1,6,25.8,29.0,245.0,8.0
2017,7,1,7,26.5,28.0,245.0,6.0
2017,7,1,8,26.5,28.0,245.0,7.0
2017,7,1,9,26.5,28.0,245.0,7.0
2017,7,1,10,29.5,29.0,245.0,4.0
2017,7,1,11,29.5,29.0,245.0,1.0
2017,7,1,12,29.5,29.0,245.0,5.0
2017,7,1,13,31.8,31.0,240.0,6.0
2017,7,1,14,31.8,31.0,240.0,5.0
2017,7,1,15,31.8,31.0,240.0,4.0
2017,7,1,16,32.8,28.0,240.0,7.0
2017,7,1,17,32.8,28.0,240.0,10.0
2017,7,1,18,32.8,28.0,240.0,11.0
2017,7,1,19,28.9,26.0,245.0,14.0
2017,7,1,20,28.9,26.0,245.0,16.0
2017,7,1,21,28.9,26.0,245.0,14.0
2017,7,1,22,27.5,31.0,245.0,7.0
2017,7,1,23,27.5,31.0,245.0,4.0
2017,7,2,0,27.5,31.0,245.0,1.0
2017,7,2,1,26.5,30.0,250.0,4.0
2017,7,2,2,26.5,30.0,250.0,7.0
2017,7,2,3,26.5,30.0,250.0,5.0
2017,7,2,4,25.7,30.0,260.0,4.0
2017,7,2,5,25.7,30.0,260.0,1.0
2017,7,2,6,25.7,30.0,260.0,1.0
2017,7,2,7,26.2,30.0,270.0,4.0
2017,7,2,8,26.2,30.0,270.0,8.0
2017,7,2,9,26.2,30.0,270.0,6.0
2017,7,2,10,28.2,31.0,265.0,6.0
2017,7,2,11,28.2,31.0,265.0,5.0
2017,7,2,12,28.2,31.0,265.0,4.0
2017,7,2,13,27.4,38.0,265.0,4.0
2017,7,2,14,27.4,38.0,265.0,4.0
2017,7,2,15,27.4,38.0,265.0,5.0
2017,7,2,16,27.4,36.0,265.0,6.0
2017,7,2,17,27.4,36.0,265.0,7.0
2017,7,2,18,27.4,36.0,265.0,6.0
2017,7,2,19,27.5,38.0,265.0,11.0
2017,7,2,20,27.5,38.0,265.0,9.0
2017,7,2,21,27.5,38.0,265.0,11.0
2017,7,2,22,26.6,33.0,275.0,7.0
2017,7,2,23,26.6,33.0,275.0,7.0
2017,7,3,0,26.6,33.0,275.0,15.0
2017,7,3,1,25.8,25.0,285.0,11.0
2017,7,3,2,25.8,25.0,285.0,7.0
2017,7,3,3,25.8,25.0,285.0,3.0
2017,7,3,4,25.3,24.0,280.0,1.0
2017,7,3,5,25.3,24.0,280.0,2.0
2017,7,3,6,25.3,24.0,280.0,6.0
2017,7,3,7,25.6,20.0,280.0,6.0
2017,7,3,8,25.6,20.0,280.0,6.0
2017,7,3,9,25.6,20.0,280.0,7.0
2017,7,3,10,30.4,19.0,275.0,8.0
2017,7,3,11,30.4,19.0,275.0,11.0
2017,7,3,12,30.4,19.0,275.0,7.0
2017,7,3,13,32.3,17.0,265.0,9.0
2017,7,3,14,32.3,17.0,265.0,7.0
2017,7,3,15,32.3,17.0,265.0,6.0
2017,7,3,16,31.3,15.0,250.0,8.0
2017,7,3,17,31.3,15.0,250.0,15.0
2017,7,3,18,31.3,15.0,250.0,12.0
2017,7,3,19,28.4,22.0,255.0,13.0
2017,7,3,20,28.4,22.0,255.0,13.0
