,0
0,9.1780615
1,9.663836
2,9.243795
3,11.278816
4,10.090906
5,9.354028
6,10.511938
7,10.488018
8,11.45902
9,11.114849
10,11.099391
11,10.28858
12,13.641469
13,12.837503
14,13.222046
15,15.344647
16,15.444179
17,16.595146
18,15.590859
19,13.507322
20,11.567435
21,13.098595
22,10.667313
23,10.126513
24,11.781914
25,14.603567
26,12.194845
27,13.06326
28,12.065445
29,11.474183
30,10.91994
31,11.687229
32,15.465539
33,15.52137
34,12.21007
35,11.8631935
36,13.29629
37,11.367102
38,13.000032
39,11.756629
40,11.110845
41,13.229224
42,12.103376
43,10.592481
44,9.561997
45,8.316905
46,9.845494
47,11.228268
48,13.107519
49,12.040464
50,12.277544
51,13.526087
52,12.671458
53,14.587202
54,14.402242
55,16.869791
56,14.69133
57,12.200471
58,10.4322815
59,11.859061
60,12.246639
61,11.928255
62,11.144417
63,11.196176
64,12.740259
65,11.598337
66,11.647321
67,10.394178
68,10.344926
69,13.436114
70,12.610537
71,13.260522
72,13.193241
73,12.37978
74,11.984286
75,10.461874
76,11.595676
77,12.068457
78,16.833645
79,14.951331
80,15.795591
81,20.460302
82,18.512796
83,22.607962
84,15.796394
85,16.636309
86,14.917149
87,13.747343
88,12.254049
89,14.087067
90,12.813213
91,11.644485
92,14.823633
93,11.666005
94,10.62199
95,11.026338
96,12.548093
97,11.812
98,11.388483
99,10.081289
100,10.23115
101,9.870906
102,11.755605
103,12.710742
104,15.72895
105,14.051907
106,11.634447
107,11.703981
108,10.827347
109,12.252324
110,11.349743
111,12.457305
112,14.975975
113,13.163212
114,13.894193
115,12.016831
116,12.246557
117,11.637853
118,11.5941925
119,10.660049
120,11.209201
121,11.541362
122,9.941706
123,8.811107
124,9.005928
125,9.04892
126,9.1546335
127,9.647457
128,12.513061
129,13.688095
130,12.044094
131,13.751611
132,16.47626
133,12.393986
134,11.115325
135,14.8695965
136,12.145014
137,11.70298
138,13.821729
139,13.493716
140,12.266989
141,13.161181
142,12.139842
143,11.809879
144,11.838963
145,11.642125
146,11.384533
147,10.873441
148,10.769255
149,12.088662
150,12.914129
151,13.157796
152,13.306313
153,12.487338
154,11.851348
155,11.397568
156,15.732516
157,15.55272
158,18.143143
159,19.064781
160,21.012117
161,15.538408
162,14.49681
163,12.129938
164,12.605617
165,11.054838
166,8.7071705
167,10.399021
168,10.560321
169,10.7236595
170,10.318708
171,10.209432
172,10.531635
173,10.043737
174,14.66935
175,11.950355
176,11.342422
177,16.386065
178,15.650573
179,13.9986315
180,12.863506
181,12.190659
182,13.773876
183,11.881671
184,11.16494
185,10.104829
186,9.75375
187,10.771385
188,10.795678
189,9.839529
190,11.153365
191,9.764166
192,10.516043
193,9.899525
194,9.1314745
195,9.424876
196,9.214743
197,9.382191
198,9.475765
199,11.393337
200,12.15389
201,13.485742
202,11.326274
203,12.416189
204,11.14581
205,14.141225
206,17.601315
207,20.932371
208,22.622885
209,17.903292
210,16.190722
211,12.435195
212,11.896123
213,9.928596
214,9.84926
215,9.06478
216,9.774535
217,10.006659
218,9.933515
219,9.304244
220,10.095714
221,9.5807295
222,15.493706
223,17.17236
224,18.5851
225,14.65542
226,14.352085
227,14.173907
228,14.272317
229,15.874603
230,12.153211
231,11.054437
232,11.862362
233,13.983189
234,12.80904
235,11.209464
236,9.506761
237,10.023645
238,9.049224
239,8.6310835
240,10.232168
241,9.694712
242,9.433122
243,11.301478
244,10.882317
245,10.302132
246,10.59167
247,11.118471
248,15.083442
249,14.082448
250,12.648966
251,10.739134
252,11.344911
253,10.555663
254,10.318719
255,11.241518
256,11.631981
257,13.367082
258,14.4087105
259,12.251287
260,16.574455
261,13.763061
262,12.722263
263,8.320524
264,8.783502
265,8.626961
266,9.182656
267,8.996204
268,8.7596245
269,8.485335
270,12.934455
271,12.726968
