date_time,PM2.5,temp,wind speed,wind dir
2020-07-01 00:00:00,9.0,29.4,35,270
2020-07-01 06:00:00,11.0,28.3,55,270
2020-07-01 12:00:00,15.0,29.7,51,260
2020-07-01 18:00:00,14.0,29.5,35,265
2020-07-02 00:00:00,18.0,28.7,60,275
2020-07-02 06:00:00,12.0,28.4,40,275
2020-07-02 12:00:00,10.0,30.8,34,270
2020-07-02 18:00:00,10.0,31.6,27,255
2020-07-03 00:00:00,13.0,29.1,34,275
2020-07-03 06:00:00,20.0,28.3,40,285
2020-07-03 12:00:00,12.0,29.2,34,270
2020-07-03 18:00:00,9.0,29.7,31,250
2020-07-04 00:00:00,14.0,27.2,53,255
2020-07-04 06:00:00,17.0,27.4,44,265
2020-07-04 12:00:00,19.0,29.8,34,270
2020-07-04 18:00:00,11.0,26.5,39,265
2020-07-05 00:00:00,12.0,27.9,49,275
2020-07-05 06:00:00,14.0,27.2,42,280
2020-07-05 12:00:00,13.0,28.5,42,280
2020-07-05 18:00:00,12.0,30.6,34,265
2020-07-06 00:00:00,13.0,28.1,32,290
2020-07-06 06:00:00,8.0,27.2,26,325
2020-07-06 12:00:00,10.0,29.4,22,335
2020-07-06 18:00:00,16.0,32.4,9,305
2020-07-07 00:00:00,12.0,29.4,7,340
2020-07-07 06:00:00,14.0,28.2,8,150
2020-07-07 12:00:00,18.0,31.3,6,165
2020-07-07 18:00:00,12.0,32.6,16,170
2020-07-08 00:00:00,11.0,29.7,28,155
2020-07-08 06:00:00,10.0,28.3,18,175
2020-07-08 12:00:00,13.0,31.4,22,195
2020-07-08 18:00:00,12.0,32.1,17,180
2020-07-09 00:00:00,10.0,29.4,18,190
2020-07-09 06:00:00,12.0,28.3,14,225
2020-07-09 12:00:00,16.0,30.7,13,250
2020-07-09 18:00:00,12.0,32.6,12,265
2020-07-10 00:00:00,10.0,29.9,13,245
2020-07-10 06:00:00,20.0,28.8,13,240
2020-07-10 12:00:00,18.0,31.8,16,275
2020-07-10 18:00:00,12.0,33.5,17,285
2020-07-11 00:00:00,10.0,30.2,13,255
2020-07-11 06:00:00,11.0,28.5,10,230
2020-07-11 12:00:00,9.0,31.0,16,275
2020-07-11 18:00:00,13.0,33.1,12,305
2020-07-12 00:00:00,8.0,30.4,5,300
2020-07-12 06:00:00,14.0,29.1,9,260
2020-07-12 12:00:00,10.0,31.2,10,235
2020-07-12 18:00:00,14.0,32.3,9,225
2020-07-13 00:00:00,7.0,30.8,4,210
2020-07-13 06:00:00,16.0,29.1,14,215
2020-07-13 12:00:00,,29.3,15,260
2020-07-13 18:00:00,,31.3,5,270
2020-07-14 00:00:00,,28.8,15,240
2020-07-14 06:00:00,,27.6,20,250
2020-07-14 12:00:00,,27.0,14,245
2020-07-14 18:00:00,21.0,29.0,14,285
2020-07-15 00:00:00,15.0,28.2,9,270
2020-07-15 06:00:00,16.0,27.3,7,275
2020-07-15 12:00:00,28.0,29.2,12,265
2020-07-15 18:00:00,11.0,31.1,16,250
2020-07-16 00:00:00,10.0,28.9,11,215
2020-07-16 06:00:00,18.0,28.0,17,290
2020-07-16 12:00:00,22.0,30.6,22,260
2020-07-16 18:00:00,13.0,32.6,19,250
2020-07-17 00:00:00,19.0,28.6,14,240
2020-07-17 06:00:00,21.0,28.0,16,215
2020-07-17 12:00:00,14.0,30.6,15,250
2020-07-17 18:00:00,22.0,32.8,10,245
2020-07-18 00:00:00,16.0,29.9,7,235
2020-07-18 06:00:00,18.0,28.7,6,170
2020-07-18 12:00:00,17.0,31.5,5,225
2020-07-18 18:00:00,24.0,32.8,12,195
2020-07-19 00:00:00,13.0,30.1,7,305
