date_time,PM2.5,temp,wind speed,wind dir
2020-07-01 00:00:00,13.0,25.2,17,225
2020-07-01 06:00:00,11.0,23.4,23,280
2020-07-01 12:00:00,15.0,29.7,22,265
2020-07-01 18:00:00,15.0,31.3,23,250
2020-07-02 00:00:00,10.0,24.2,28,275
2020-07-02 06:00:00,12.0,22.8,22,275
2020-07-02 12:00:00,14.0,28.8,14,275
2020-07-02 18:00:00,13.0,31.8,9,235
2020-07-03 00:00:00,12.0,24.2,17,245
2020-07-03 06:00:00,8.0,23.0,24,270
2020-07-03 12:00:00,11.0,29.3,19,260
2020-07-03 18:00:00,12.0,30.3,18,215
2020-07-04 00:00:00,10.0,24.6,27,255
2020-07-04 06:00:00,10.0,22.9,23,255
2020-07-04 12:00:00,15.0,23.8,23,250
2020-07-04 18:00:00,10.0,27.1,15,240
2020-07-05 00:00:00,8.0,23.6,20,265
2020-07-05 06:00:00,7.0,22.9,15,265
2020-07-05 12:00:00,12.0,26.6,11,225
2020-07-05 18:00:00,11.0,29.2,15,265
2020-07-06 00:00:00,13.0,23.7,28,270
2020-07-06 06:00:00,10.0,22.4,16,280
2020-07-06 12:00:00,16.0,29.3,10,285
2020-07-06 18:00:00,13.0,31.0,9,210
2020-07-07 00:00:00,19.0,24.5,13,265
2020-07-07 06:00:00,14.0,22.8,12,270
2020-07-07 12:00:00,10.0,28.3,8,240
2020-07-07 18:00:00,16.0,31.1,9,175
2020-07-08 00:00:00,13.0,24.3,14,185
2020-07-08 06:00:00,7.0,22.3,18,185
2020-07-08 12:00:00,,27.9,24,195
2020-07-08 18:00:00,10.0,30.4,15,195
2020-07-09 00:00:00,13.0,23.9,13,225
2020-07-09 06:00:00,12.0,22.5,17,240
2020-07-09 12:00:00,16.0,28.3,15,250
2020-07-09 18:00:00,10.0,31.4,18,235
2020-07-10 00:00:00,10.0,24.7,22,260
2020-07-10 06:00:00,14.0,22.6,23,265
2020-07-10 12:00:00,15.0,28.4,19,250
2020-07-10 18:00:00,21.0,31.5,17,235
2020-07-11 00:00:00,17.0,24.7,20,260
2020-07-11 06:00:00,15.0,22.9,27,260
2020-07-11 12:00:00,17.0,25.4,21,255
2020-07-11 18:00:00,17.0,29.9,12,255
2020-07-12 00:00:00,15.0,24.1,22,270
2020-07-12 06:00:00,13.0,23.1,16,260
2020-07-12 12:00:00,15.0,25.2,14,250
2020-07-12 18:00:00,13.0,27.7,16,210
2020-07-13 00:00:00,11.0,23.4,6,215
2020-07-13 06:00:00,10.0,22.3,13,190
2020-07-13 12:00:00,12.0,22.9,17,250
2020-07-13 18:00:00,13.0,27.3,9,245
2020-07-14 00:00:00,16.0,22.7,9,235
2020-07-14 06:00:00,8.0,21.6,14,170
2020-07-14 12:00:00,15.0,26.6,12,180
2020-07-14 18:00:00,11.0,30.3,12,175
2020-07-15 00:00:00,10.0,22.8,13,205
2020-07-15 06:00:00,12.0,21.5,9,270
2020-07-15 12:00:00,17.0,28.7,9,180
2020-07-15 18:00:00,11.0,31.8,9,200
2020-07-16 00:00:00,13.0,23.5,13,225
2020-07-16 06:00:00,7.0,22.5,12,270
2020-07-16 12:00:00,14.0,28.7,7,260
2020-07-16 18:00:00,17.0,30.1,10,200
2020-07-17 00:00:00,11.0,23.6,17,190
2020-07-17 06:00:00,14.0,22.1,14,215
2020-07-17 12:00:00,11.0,28.6,8,220
2020-07-17 18:00:00,10.0,30.8,13,180
2020-07-18 00:00:00,11.0,23.6,19,205
2020-07-18 06:00:00,9.0,22.2,16,215
2020-07-18 12:00:00,16.0,28.3,21,265
2020-07-18 18:00:00,20.0,30.5,12,230
2020-07-19 00:00:00,11.0,23.9,19,245
2020-07-19 06:00:00,17.0,22.7,22,260
2020-07-19 12:00:00,17.0,28.0,22,260
2020-07-19 18:00:00,12.0,30.1,11,245
2020-07-20 00:00:00,11.0,24.3,16,270
2020-07-20 06:00:00,8.0,22.6,13,260
2020-07-20 12:00:00,13.0,27.3,12,260
2020-07-20 18:00:00,17.0,29.8,11,220
2020-07-21 00:00:00,9.0,23.9,9,220
2020-07-21 06:00:00,10.0,22.4,13,235
2020-07-21 12:00:00,17.0,26.2,5,255
2020-07-21 18:00:00,14.0,26.4,18,275
2020-07-22 00:00:00,16.0,23.1,4,260
2020-07-22 06:00:00,12.0,22.0,10,195
2020-07-22 12:00:00,17.0,29.2,10,235
2020-07-22 18:00:00,13.0,32.0,11,165
2020-07-23 00:00:00,13.0,23.2,24,190
2020-07-23 06:00:00,10.0,21.6,15,190
2020-07-23 12:00:00,11.0,28.6,13,190
2020-07-23 18:00:00,13.0,31.4,10,185
2020-07-24 00:00:00,15.0,24.1,11,205
2020-07-24 06:00:00,14.0,22.0,9,200
2020-07-24 12:00:00,,28.9,3,230
2020-07-24 18:00:00,17.0,32.8,4,165
2020-07-25 00:00:00,10.0,23.8,11,175
2020-07-25 06:00:00,14.0,22.3,13,200
2020-07-25 12:00:00,17.0,30.4,6,200
2020-07-25 18:00:00,16.0,32.6,13,165
2020-07-26 00:00:00,18.0,24.8,11,200
2020-07-26 06:00:00,20.0,23.0,22,190
2020-07-26 12:00:00,26.0,29.6,11,230
2020-07-26 18:00:00,20.0,32.5,7,185
2020-07-27 00:00:00,20.0,24.8,13,185
2020-07-27 06:00:00,17.0,23.1,15,195
2020-07-27 12:00:00,20.0,29.9,9,205
2020-07-27 18:00:00,16.0,32.3,9,190
2020-07-28 00:00:00,13.0,24.7,4,170
2020-07-28 06:00:00,10.0,23.0,10,225
2020-07-28 12:00:00,9.0,23.5,8,185
2020-07-28 18:00:00,12.0,27.2,10,225
