date_time,PM2.5,temp,wind speed,wind dir
2020-07-01 00:00:00,11.0,27.6,21,230
2020-07-01 06:00:00,11.0,25.5,39,255
2020-07-01 12:00:00,11.0,29.4,34,265
2020-07-01 18:00:00,13.0,32.5,16,265
2020-07-02 00:00:00,9.0,26.4,9,260
2020-07-02 06:00:00,16.0,24.8,23,265
2020-07-02 12:00:00,12.0,29.3,18,280
2020-07-02 18:00:00,11.0,32.5,12,240
2020-07-03 00:00:00,9.0,27.1,20,220
2020-07-03 06:00:00,16.0,26.0,16,250
2020-07-03 12:00:00,12.0,27.4,10,250
2020-07-03 18:00:00,13.0,31.0,10,260
2020-07-04 00:00:00,10.0,26.4,22,185
2020-07-04 06:00:00,8.0,24.3,25,225
2020-07-04 12:00:00,8.0,25.2,22,270
2020-07-04 18:00:00,16.0,30.3,11,250
2020-07-05 00:00:00,18.0,25.6,10,250
2020-07-05 06:00:00,12.0,24.4,10,240
2020-07-05 12:00:00,14.0,29.5,9,330
2020-07-05 18:00:00,13.0,32.2,2,345
2020-07-06 00:00:00,14.0,28.0,4,190
2020-07-06 06:00:00,17.0,25.9,14,225
2020-07-06 12:00:00,20.0,31.3,2,285
2020-07-06 18:00:00,15.0,34.4,7,180
2020-07-07 00:00:00,15.0,29.6,13,185
2020-07-07 06:00:00,9.0,26.6,12,145
2020-07-07 12:00:00,16.0,31.9,19,175
2020-07-07 18:00:00,16.0,33.7,17,180
2020-07-08 00:00:00,16.0,28.6,18,175
2020-07-08 06:00:00,17.0,26.1,17,150
2020-07-08 12:00:00,39.0,30.9,16,205
2020-07-08 18:00:00,13.0,34.3,16,210
2020-07-09 00:00:00,15.0,29.0,16,185
2020-07-09 06:00:00,19.0,26.7,25,230
2020-07-09 12:00:00,15.0,31.6,22,245
2020-07-09 18:00:00,16.0,34.0,20,230
2020-07-10 00:00:00,19.0,28.4,23,215
2020-07-10 06:00:00,19.0,26.9,26,220
2020-07-10 12:00:00,12.0,32.7,15,250
2020-07-10 18:00:00,14.0,34.8,18,230
2020-07-11 00:00:00,9.0,29.0,21,205
2020-07-11 06:00:00,14.0,26.9,25,225
2020-07-11 12:00:00,27.0,31.9,13,255
2020-07-11 18:00:00,25.0,33.8,16,225
2020-07-12 00:00:00,24.0,28.8,18,175
2020-07-12 06:00:00,12.0,26.9,27,195
2020-07-12 12:00:00,20.0,31.7,19,215
2020-07-12 18:00:00,19.0,33.9,10,240
2020-07-13 00:00:00,28.0,28.3,12,170
2020-07-13 06:00:00,14.0,26.4,22,215
2020-07-13 12:00:00,15.0,31.9,29,195
2020-07-13 18:00:00,18.0,34.2,12,180
2020-07-14 00:00:00,12.0,29.3,20,155
2020-07-14 06:00:00,14.0,25.5,19,175
2020-07-14 12:00:00,10.0,31.1,15,190
2020-07-14 18:00:00,20.0,34.5,5,180
2020-07-15 00:00:00,20.0,28.8,9,160
2020-07-15 06:00:00,10.0,26.3,11,195
2020-07-15 12:00:00,14.0,31.8,11,180
2020-07-15 18:00:00,17.0,34.2,9,180
2020-07-16 00:00:00,14.0,28.4,11,130
2020-07-16 06:00:00,11.0,26.5,21,205
2020-07-16 12:00:00,8.0,31.6,16,195
2020-07-16 18:00:00,15.0,32.7,17,180
2020-07-17 00:00:00,18.0,28.5,20,175
2020-07-17 06:00:00,14.0,26.0,19,190
2020-07-17 12:00:00,11.0,31.4,19,200
2020-07-17 18:00:00,16.0,34.0,21,185
2020-07-18 00:00:00,14.0,29.0,24,180
2020-07-18 06:00:00,22.0,26.7,11,165
2020-07-18 12:00:00,17.0,32.0,12,220
2020-07-18 18:00:00,12.0,34.0,16,215
2020-07-19 00:00:00,16.0,29.3,17,185
2020-07-19 06:00:00,19.0,26.9,22,205
2020-07-19 12:00:00,13.0,32.5,17,225
2020-07-19 18:00:00,17.0,33.9,15,245
2020-07-20 00:00:00,14.0,28.7,4,210
2020-07-20 06:00:00,12.0,26.5,9,260
2020-07-20 12:00:00,19.0,29.9,9,230
2020-07-20 18:00:00,12.0,34.9,7,240
2020-07-21 00:00:00,15.0,28.9,11,180
2020-07-21 06:00:00,14.0,26.0,14,215
2020-07-21 12:00:00,5.0,31.0,8,160
2020-07-21 18:00:00,9.0,33.8,9,150
2020-07-22 00:00:00,18.0,29.0,10,160
2020-07-22 06:00:00,11.0,26.1,18,190
2020-07-22 12:00:00,16.0,31.7,18,180
2020-07-22 18:00:00,15.0,33.9,14,190
2020-07-23 00:00:00,24.0,28.7,18,175
2020-07-23 06:00:00,16.0,25.9,17,175
2020-07-23 12:00:00,17.0,31.2,10,180
2020-07-23 18:00:00,15.0,34.4,5,195
