date_time,PM2.5,temp,wind speed,wind dir
2020-07-01 00:00:00,5.0,28.5,47,270
2020-07-01 06:00:00,3.0,27.8,46,260
2020-07-01 12:00:00,8.0,29.6,38,250
2020-07-01 18:00:00,8.0,29.3,36,270
2020-07-02 00:00:00,6.0,28.8,50,280
2020-07-02 06:00:00,2.0,28.1,36,270
2020-07-02 12:00:00,8.0,29.5,39,260
2020-07-02 18:00:00,4.0,29.0,41,255
2020-07-03 00:00:00,2.0,28.5,42,265
2020-07-03 06:00:00,8.0,27.8,38,285
2020-07-03 12:00:00,6.0,29.1,36,260
2020-07-03 18:00:00,11.0,28.7,39,250
2020-07-04 00:00:00,13.0,27.5,47,245
2020-07-04 06:00:00,17.0,27.7,42,255
2020-07-04 12:00:00,15.0,28.8,38,260
2020-07-04 18:00:00,11.0,28.8,35,270
2020-07-05 00:00:00,18.0,28.0,33,280
2020-07-05 06:00:00,5.0,27.0,29,280
2020-07-05 12:00:00,12.0,27.4,39,290
2020-07-05 18:00:00,8.0,29.4,39,285
2020-07-06 00:00:00,5.0,28.2,24,285
2020-07-06 06:00:00,8.0,27.8,28,315
2020-07-06 12:00:00,10.0,29.2,21,320
2020-07-06 18:00:00,7.0,30.2,12,305
2020-07-07 00:00:00,5.0,28.6,4,190
2020-07-07 06:00:00,3.0,28.3,13,200
2020-07-07 12:00:00,8.0,29.7,14,145
2020-07-07 18:00:00,3.0,29.7,19,160
2020-07-08 00:00:00,3.0,27.8,26,170
2020-07-08 06:00:00,3.0,27.5,25,175
2020-07-08 12:00:00,7.0,29.6,20,185
2020-07-08 18:00:00,4.0,29.6,18,190
2020-07-09 00:00:00,7.0,28.0,17,180
2020-07-09 06:00:00,9.0,27.7,12,210
2020-07-09 12:00:00,6.0,29.5,12,220
2020-07-09 18:00:00,,30.0,13,265
2020-07-10 00:00:00,6.0,28.3,11,245
2020-07-10 06:00:00,3.0,28.1,13,230
2020-07-10 12:00:00,,29.9,10,260
2020-07-10 18:00:00,4.0,30.1,14,270
2020-07-11 00:00:00,2.0,28.4,11,245
2020-07-11 06:00:00,8.0,27.8,8,275
2020-07-11 12:00:00,6.0,29.8,9,270
2020-07-11 18:00:00,2.0,30.1,10,310
2020-07-12 00:00:00,3.0,28.2,6,335
2020-07-12 06:00:00,8.0,27.9,1,240
2020-07-12 12:00:00,7.0,29.4,10,205
2020-07-12 18:00:00,6.0,29.9,14,225
2020-07-13 00:00:00,3.0,28.3,11,225
2020-07-13 06:00:00,2.0,27.4,18,225
2020-07-13 12:00:00,3.0,28.0,19,240
2020-07-13 18:00:00,9.0,29.1,12,220
2020-07-14 00:00:00,6.0,27.8,17,225
2020-07-14 06:00:00,3.0,25.7,21,250
2020-07-14 12:00:00,8.0,25.8,21,270
2020-07-14 18:00:00,1.0,28.9,15,300
2020-07-15 00:00:00,3.0,27.8,13,305
2020-07-15 06:00:00,3.0,27.6,12,270
2020-07-15 12:00:00,11.0,29.0,13,265
2020-07-15 18:00:00,6.0,28.6,16,285
2020-07-16 00:00:00,2.0,27.9,17,280
2020-07-16 06:00:00,16.0,27.5,11,280
