date_time,PM2.5,temp,wind speed,wind dir
2020-07-01 00:00:00,19.0,25.9,23,260
2020-07-01 06:00:00,23.0,24.7,29,255
2020-07-01 12:00:00,18.0,29.3,36,250
2020-07-01 18:00:00,16.0,31.8,29,260
2020-07-02 00:00:00,18.0,25.9,25,270
2020-07-02 06:00:00,27.0,24.6,25,265
2020-07-02 12:00:00,16.0,29.6,23,250
2020-07-02 18:00:00,11.0,29.1,27,260
2020-07-03 00:00:00,5.0,25.7,29,260
2020-07-03 06:00:00,14.0,25.0,41,245
2020-07-03 12:00:00,12.0,27.8,44,240
2020-07-03 18:00:00,21.0,30.5,30,255
2020-07-04 00:00:00,16.0,26.2,33,265
2020-07-04 06:00:00,22.0,25.1,34,265
2020-07-04 12:00:00,19.0,29.6,35,265
2020-07-04 18:00:00,33.0,29.4,30,275
2020-07-05 00:00:00,28.0,25.8,19,290
2020-07-05 06:00:00,17.0,25.1,20,290
2020-07-05 12:00:00,29.0,30.0,22,290
2020-07-05 18:00:00,15.0,30.3,14,265
2020-07-06 00:00:00,10.0,25.7,15,320
2020-07-06 06:00:00,18.0,24.7,15,300
2020-07-06 12:00:00,16.0,29.6,16,305
2020-07-06 18:00:00,21.0,32.0,13,285
2020-07-07 00:00:00,14.0,26.2,8,305
2020-07-07 06:00:00,19.0,24.6,10,315
2020-07-07 12:00:00,21.0,28.7,3,300
2020-07-07 18:00:00,18.0,25.7,5,295
2020-07-08 00:00:00,23.0,24.3,6,175
2020-07-08 06:00:00,21.0,23.4,10,260
2020-07-08 12:00:00,,28.7,11,240
2020-07-08 18:00:00,12.0,29.0,4,265
2020-07-09 00:00:00,2.0,25.1,7,240
2020-07-09 06:00:00,12.0,24.1,9,280
2020-07-09 12:00:00,9.0,28.7,20,265
2020-07-09 18:00:00,,27.9,17,285
2020-07-10 00:00:00,5.0,25.0,5,290
2020-07-10 06:00:00,15.0,24.4,17,260
2020-07-10 12:00:00,11.0,28.7,16,265
2020-07-10 18:00:00,6.0,28.7,13,295
2020-07-11 00:00:00,7.0,24.9,17,290
2020-07-11 06:00:00,17.0,24.3,24,285
2020-07-11 12:00:00,7.0,29.0,17,295
2020-07-11 18:00:00,5.0,27.9,14,290
2020-07-12 00:00:00,5.0,25.5,6,285
2020-07-12 06:00:00,13.0,24.2,13,280
2020-07-12 12:00:00,3.0,28.4,18,245
2020-07-12 18:00:00,9.0,27.5,29,255
2020-07-13 00:00:00,2.0,25.1,31,265
2020-07-13 06:00:00,21.0,24.2,34,270
2020-07-13 12:00:00,7.0,28.4,24,260
2020-07-13 18:00:00,4.0,28.0,17,250
2020-07-14 00:00:00,10.0,24.3,44,245
2020-07-14 06:00:00,14.0,24.2,21,255
2020-07-14 12:00:00,9.0,28.8,18,260
2020-07-14 18:00:00,8.0,32.1,18,270
2020-07-15 00:00:00,2.0,25.8,12,255
2020-07-15 06:00:00,6.0,24.6,13,290
2020-07-15 12:00:00,23.0,29.1,13,305
2020-07-15 18:00:00,6.0,30.9,22,290
2020-07-16 00:00:00,22.0,25.8,7,315
2020-07-16 06:00:00,21.0,24.5,13,280
2020-07-16 12:00:00,17.0,27.5,15,275
2020-07-16 18:00:00,,30.9,15,280
2020-07-17 00:00:00,13.0,26.6,5,250
2020-07-17 06:00:00,14.0,25.3,3,230
2020-07-17 12:00:00,17.0,29.7,2,280
2020-07-17 18:00:00,7.0,29.4,11,295
2020-07-18 00:00:00,11.0,25.9,5,35
2020-07-18 06:00:00,12.0,24.2,5,20
2020-07-18 12:00:00,17.0,29.5,8,85
2020-07-18 18:00:00,5.0,31.3,3,175
2020-07-19 00:00:00,16.0,26.0,5,90
2020-07-19 06:00:00,10.0,24.8,8,165
2020-07-19 12:00:00,18.0,29.8,3,230
2020-07-19 18:00:00,12.0,30.8,6,235
2020-07-20 00:00:00,16.0,26.1,2,240
2020-07-20 06:00:00,8.0,24.8,2,275
2020-07-20 12:00:00,16.0,29.6,5,65
2020-07-20 18:00:00,3.0,30.4,3,10
2020-07-21 00:00:00,12.0,25.9,8,80
2020-07-21 06:00:00,14.0,24.9,7,95
2020-07-21 12:00:00,22.0,29.4,4,90
2020-07-21 18:00:00,2.0,29.4,4,45
2020-07-22 00:00:00,16.0,25.5,4,100
2020-07-22 06:00:00,10.0,24.5,1,105
2020-07-22 12:00:00,18.0,29.3,4,160
2020-07-22 18:00:00,7.0,30.3,5,160
2020-07-23 00:00:00,18.0,25.3,6,190
2020-07-23 06:00:00,10.0,24.1,5,205
2020-07-23 12:00:00,24.0,29.3,6,165
2020-07-23 18:00:00,10.0,30.3,11,210
2020-07-24 00:00:00,11.0,25.7,3,185
2020-07-24 06:00:00,17.0,24.4,5,230
2020-07-24 12:00:00,13.0,29.1,7,90
2020-07-24 18:00:00,2.0,30.2,2,125
2020-07-25 00:00:00,13.0,26.1,6,110
2020-07-25 06:00:00,10.0,24.6,11,140
2020-07-25 12:00:00,19.0,29.4,6,145
2020-07-25 18:00:00,6.0,29.3,6,210
2020-07-26 00:00:00,11.0,25.0,5,205
2020-07-26 06:00:00,5.0,24.2,11,210
2020-07-26 12:00:00,12.0,28.8,9,175
2020-07-26 18:00:00,5.0,29.8,11,225
2020-07-27 00:00:00,7.0,25.3,8,235
2020-07-27 06:00:00,9.0,24.3,6,270
2020-07-27 12:00:00,18.0,29.3,11,225
2020-07-27 18:00:00,10.0,29.8,9,205
2020-07-28 00:00:00,11.0,25.6,18,205
2020-07-28 06:00:00,17.0,24.6,27,200
2020-07-28 12:00:00,17.0,29.5,25,200
2020-07-28 18:00:00,2.0,29.6,10,200
2020-07-29 00:00:00,11.0,25.5,13,245
2020-07-29 06:00:00,12.0,24.6,15,235
2020-07-29 12:00:00,17.0,26.6,12,220
2020-07-29 18:00:00,9.0,30.5,16,260
2020-07-30 00:00:00,13.0,25.9,13,245
2020-07-30 06:00:00,14.0,24.9,24,245
2020-07-30 12:00:00,16.0,28.4,35,240
2020-07-30 18:00:00,12.0,30.0,33,260
2020-07-31 00:00:00,11.0,25.8,44,250
2020-07-31 06:00:00,16.0,25.0,48,260
2020-07-31 12:00:00,11.0,28.3,42,255
2020-07-31 18:00:00,12.0,28.3,39,275
2020-08-01 00:00:00,4.0,24.8,62,265
2020-08-01 06:00:00,6.0,25.2,71,265
2020-08-01 12:00:00,3.0,27.6,70,250
2020-08-01 18:00:00,9.0,25.3,73,265
2020-08-02 00:00:00,4.0,24.9,70,270
2020-08-02 06:00:00,6.0,24.3,75,255
2020-08-02 12:00:00,4.0,26.6,69,255
2020-08-02 18:00:00,11.0,27.3,65,265
2020-08-03 00:00:00,2.0,25.1,75,260
2020-08-03 06:00:00,8.0,25.0,82,255
2020-08-03 12:00:00,7.0,28.1,74,245
2020-08-03 18:00:00,9.0,29.0,61,250
2020-08-04 00:00:00,3.0,25.6,76,245
2020-08-04 06:00:00,8.0,25.6,81,250
2020-08-04 12:00:00,5.0,27.3,73,245
2020-08-04 18:00:00,16.0,28.7,59,245
2020-08-05 00:00:00,9.0,25.5,55,250
2020-08-05 06:00:00,16.0,25.0,61,250
2020-08-05 12:00:00,6.0,29.0,53,240
2020-08-05 18:00:00,14.0,30.5,31,245
2020-08-06 00:00:00,14.0,26.2,22,265
2020-08-06 06:00:00,21.0,25.0,25,245
2020-08-06 12:00:00,28.0,29.5,17,250
2020-08-06 18:00:00,15.0,31.2,21,250
2020-08-07 00:00:00,9.0,26.6,15,260
2020-08-07 06:00:00,18.0,25.5,23,250
2020-08-07 12:00:00,14.0,29.1,16,240
2020-08-07 18:00:00,11.0,27.8,27,250
2020-08-08 00:00:00,4.0,25.5,31,240
2020-08-08 06:00:00,18.0,25.1,32,250
2020-08-08 12:00:00,8.0,29.3,47,235
2020-08-08 18:00:00,3.0,28.5,46,240
2020-08-09 00:00:00,2.0,25.0,48,245
2020-08-09 06:00:00,11.0,24.5,58,245
2020-08-09 12:00:00,5.0,27.9,60,230
2020-08-09 18:00:00,6.0,29.5,43,250
2020-08-10 00:00:00,,25.6,55,245
2020-08-10 06:00:00,9.0,24.9,55,250
2020-08-10 12:00:00,9.0,27.9,47,250
2020-08-10 18:00:00,3.0,29.8,40,260
2020-08-11 00:00:00,15.0,25.9,35,255
2020-08-11 06:00:00,8.0,24.9,35,245
2020-08-11 12:00:00,11.0,29.6,30,240
2020-08-11 18:00:00,6.0,30.2,29,260
2020-08-12 00:00:00,28.0,25.8,34,265
2020-08-12 06:00:00,13.0,24.8,37,255
2020-08-12 12:00:00,15.0,29.4,39,240
2020-08-12 18:00:00,4.0,29.7,35,255
2020-08-13 00:00:00,7.0,25.7,44,260
