,0
0,5.9812827
1,2.1894817
2,4.7481356
3,5.8881145
4,6.1451597
5,10.601776
6,16.851555
7,10.993631
8,5.4241996
9,3.6983075
10,4.0413113
11,6.528359
12,16.037598
13,14.346319
14,11.963198
15,6.9796686
16,6.0827527
17,4.780884
18,5.6531816
19,3.9793422
20,2.3194904
21,2.837804
22,3.6106026
23,3.0762901
24,3.0847418
25,7.782538
26,5.41292
27,8.399741
28,8.331535
29,9.213566
30,7.5908556
31,5.00946
32,4.0937243
33,7.019037
34,9.351563
35,8.005379
36,7.642848
37,10.471432
38,9.306248
39,8.4284725
40,10.317308
41,8.095617
42,5.903011
43,2.707992
44,2.6817992
45,2.6745877
46,4.6331124
47,8.20344
48,5.3769064
49,2.148022
50,12.555284
51,12.552603
52,12.6217985
53,1.0235989
54,14.657387
55,12.855033
56,20.04243
57,15.589316
58,8.983027
59,5.9671607
60,15.252131
61,17.084724
62,16.237526
63,16.573772
64,2.6162488
65,6.902961
66,8.134791
67,4.6596503
68,3.5157163
69,11.209707
70,9.752107
71,2.5410519
72,2.5612433
73,2.7948258
74,17.762268
75,17.779644
76,19.020197
77,16.03213
78,8.530077
79,8.39597
80,15.104109
81,18.044325
82,18.354362
83,10.099102
84,4.8591857
85,5.020944
86,13.442054
87,17.949736
88,22.501019
89,14.993155
90,2.399748
91,4.9182897
92,21.148382
93,29.74969
94,32.486126
95,16.217306
96,3.863233
97,5.9327793
98,24.289858
99,23.815046
100,22.32637
101,17.034548
102,9.976708
103,8.197506
104,13.514584
105,17.409979
106,17.404694
107,14.676455
108,6.8185015
109,3.3080516
110,5.4550996
111,5.344765
112,10.387708
113,14.969227
114,17.168613
115,12.798159
116,9.638029
117,11.445965
118,17.314701
119,18.169617
120,20.062105
121,16.803234
122,19.84457
123,18.568108
124,17.306662
125,16.212206
126,17.903135
127,15.553974
128,14.456274
129,12.622201
130,8.762077
131,15.072362
132,14.372912
133,39.478287
134,20.712585
135,13.533
136,21.338974
137,30.296131
138,34.112183
139,33.825417
140,28.450855
141,26.21535
142,19.877563
143,32.642467
144,32.479992
145,35.464333
146,26.650984
147,22.452
148,16.11472
149,18.894989
150,13.536312
151,8.282192
152,13.041874
153,19.415764
154,25.36364
155,25.652489
156,13.819968
157,11.20882
158,23.013512
159,39.68993
160,37.28013
161,31.60611
162,20.711218
163,14.482224
164,13.566131
165,19.857094
166,21.21636
167,25.503067
168,19.038763
169,13.592545
170,13.705938
171,20.698866
172,28.041838
173,35.66918
174,19.91446
175,6.5254426
176,11.588152
177,15.7497
178,16.714096
179,16.886583
180,6.826433
181,2.93557
182,10.821254
183,28.761646
184,27.282282
185,26.46421
186,16.263557
187,10.598921
188,11.493956
189,15.112544
190,17.22995
191,17.38503
192,13.577488
193,10.861191
194,17.507292
195,35.336727
196,44.40396
197,44.738617
