year,month,day,hour,temp,wind speed,wind dir,PM2.5
2018,10,1,0,25.8,3.0,90.0,22.0
2018,10,1,1,25.8,3.0,90.0,17.0
2018,10,1,2,25.8,3.0,90.0,13.0
2018,10,1,3,25.8,3.0,90.0,12.0
2018,10,1,4,25.2,1.0,105.0,11.0
2018,10,1,5,25.2,1.0,105.0,13.0
2018,10,1,6,25.2,1.0,105.0,16.0
2018,10,1,7,26.0,2.0,5.0,13.0
2018,10,1,8,26.0,2.0,5.0,17.0
2018,10,1,9,26.0,2.0,5.0,18.0
2018,10,1,10,30.2,4.0,25.0,16.0
2018,10,1,11,30.2,4.0,25.0,17.0
2018,10,1,12,30.2,4.0,25.0,16.0
2018,10,1,13,32.1,3.0,45.0,8.0
2018,10,1,14,32.1,3.0,45.0,6.0
2018,10,1,15,32.1,3.0,45.0,11.0
2018,10,1,16,30.6,3.0,25.0,14.0
2018,10,1,17,30.6,3.0,25.0,16.0
2018,10,1,18,30.6,3.0,25.0,18.0
2018,10,1,19,26.9,6.0,65.0,23.0
2018,10,1,20,26.9,6.0,65.0,28.0
2018,10,1,21,26.9,6.0,65.0,25.0
2018,10,1,22,26.2,6.0,70.0,6.0
2018,10,1,23,26.2,6.0,70.0,5.0
2018,10,2,0,26.2,6.0,70.0,7.0
2018,10,2,1,25.7,4.0,340.0,7.0
2018,10,2,2,25.7,4.0,340.0,6.0
2018,10,2,3,25.7,4.0,340.0,5.0
2018,10,2,4,25.0,5.0,330.0,5.0
2018,10,2,5,25.0,5.0,330.0,7.0
2018,10,2,6,25.0,5.0,330.0,9.0
2018,10,2,7,25.9,9.0,30.0,13.0
2018,10,2,8,25.9,9.0,30.0,15.0
2018,10,2,9,25.9,9.0,30.0,14.0
2018,10,2,10,30.4,8.0,20.0,6.0
2018,10,2,11,30.4,8.0,20.0,5.0
2018,10,2,12,30.4,8.0,20.0,4.0
2018,10,2,13,32.1,8.0,310.0,8.0
2018,10,2,14,32.1,8.0,310.0,7.0
2018,10,2,15,32.1,8.0,310.0,5.0
2018,10,2,16,30.2,8.0,325.0,3.0
2018,10,2,17,30.2,8.0,325.0,2.0
2018,10,2,18,30.2,8.0,325.0,5.0
2018,10,2,19,26.9,12.0,20.0,8.0
2018,10,2,20,26.9,12.0,20.0,10.0
2018,10,2,21,26.9,12.0,20.0,10.0
2018,10,2,22,26.3,10.0,35.0,11.0
2018,10,2,23,26.3,10.0,35.0,11.0
2018,10,3,0,26.3,10.0,35.0,13.0
2018,10,3,1,25.7,12.0,20.0,14.0
2018,10,3,2,25.7,12.0,20.0,16.0
2018,10,3,3,25.7,12.0,20.0,14.0
2018,10,3,4,25.1,11.0,15.0,12.0
2018,10,3,5,25.1,11.0,15.0,11.0
2018,10,3,6,25.1,11.0,15.0,12.0
2018,10,3,7,25.9,13.0,30.0,16.0
2018,10,3,8,25.9,13.0,30.0,18.0
2018,10,3,9,25.9,13.0,30.0,17.0
2018,10,3,10,29.9,16.0,50.0,14.0
2018,10,3,11,29.9,16.0,50.0,12.0
2018,10,3,12,29.9,16.0,50.0,8.0
2018,10,3,13,30.7,18.0,50.0,7.0
2018,10,3,14,30.7,18.0,50.0,6.0
2018,10,3,15,30.7,18.0,50.0,4.0
2018,10,3,16,29.8,17.0,70.0,2.0
2018,10,3,17,29.8,17.0,70.0,2.0
2018,10,3,18,29.8,17.0,70.0,5.0
2018,10,3,19,26.6,17.0,90.0,6.0
2018,10,3,20,26.6,17.0,90.0,6.0
2018,10,3,21,26.6,17.0,90.0,6.0
2018,10,3,22,26.0,21.0,85.0,6.0
2018,10,3,23,26.0,21.0,85.0,8.0
2018,10,4,0,26.0,21.0,85.0,11.0
2018,10,4,1,25.4,22.0,85.0,11.0
2018,10,4,2,25.4,22.0,85.0,9.0
2018,10,4,3,25.4,22.0,85.0,6.0
2018,10,4,4,25.1,22.0,85.0,6.0
2018,10,4,5,25.1,22.0,85.0,5.0
2018,10,4,6,25.1,22.0,85.0,5.0
2018,10,4,7,26.2,20.0,90.0,4.0
2018,10,4,8,26.2,20.0,90.0,5.0
2018,10,4,9,26.2,20.0,90.0,6.0
2018,10,4,10,30.1,23.0,85.0,6.0
2018,10,4,11,30.1,23.0,85.0,5.0
2018,10,4,12,30.1,23.0,85.0,5.0
2018,10,4,13,30.7,22.0,80.0,5.0
2018,10,4,14,30.7,22.0,80.0,5.0
2018,10,4,15,30.7,22.0,80.0,5.0
2018,10,4,16,29.7,23.0,85.0,2.0
