latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type,Exceeding allowed transaction limit.
18.2303,98.489,309.5,3.6,1.8,2020-01-14,329.0,Terra,MODIS,55.0,6.03,296.5,30.8,D,0.0,
14.2393,104.1958,328.0,1.0,1.0,2020-01-14,634.0,Aqua,MODIS,75.0,6.03,308.4,13.4,D,0.0,
14.238,104.1863,324.9,1.0,1.0,2020-01-14,634.0,Aqua,MODIS,71.0,6.03,308.6,9.6,D,0.0,
14.2133,104.0078,328.3,1.0,1.0,2020-01-14,634.0,Aqua,MODIS,76.0,6.03,306.6,14.8,D,0.0,
14.3539,104.9718,330.2,1.1,1.0,2020-01-14,634.0,Aqua,MODIS,72.0,6.03,307.3,22.3,D,0.0,
14.1184,103.2677,329.5,1.0,1.0,2020-01-14,634.0,Aqua,MODIS,78.0,6.03,306.8,15.3,D,0.0,
14.2626,104.2309,322.3,1.0,1.0,2020-01-14,634.0,Aqua,MODIS,65.0,6.03,308.1,7.9,D,0.0,
14.1755,103.6061,321.2,1.0,1.0,2020-01-14,634.0,Aqua,MODIS,62.0,6.03,307.2,6.6,D,0.0,
14.0708,102.8725,331.1,1.0,1.0,2020-01-14,634.0,Aqua,MODIS,80.0,6.03,308.8,15.9,D,0.0,
14.0695,102.8633,330.7,1.0,1.0,2020-01-14,634.0,Aqua,MODIS,79.0,6.03,308.0,15.2,D,0.0,
13.8612,101.4584,317.1,1.1,1.0,2020-01-14,634.0,Aqua,MODIS,23.0,6.03,298.7,9.0,D,0.0,
14.4555,105.5914,328.9,1.2,1.1,2020-01-14,634.0,Aqua,MODIS,48.0,6.03,305.4,18.4,D,0.0,
14.2874,104.3437,331.8,1.0,1.0,2020-01-14,634.0,Aqua,MODIS,80.0,6.03,307.0,16.2,D,0.0,
14.2861,104.3341,323.7,1.0,1.0,2020-01-14,634.0,Aqua,MODIS,63.0,6.03,309.0,5.7,D,0.0,
14.2796,104.2865,322.8,1.0,1.0,2020-01-14,634.0,Aqua,MODIS,43.0,6.03,308.8,7.4,D,0.0,
14.0798,102.8711,327.9,1.0,1.0,2020-01-14,634.0,Aqua,MODIS,76.0,6.03,308.5,12.6,D,0.0,
14.0784,102.862,335.3,1.0,1.0,2020-01-14,634.0,Aqua,MODIS,84.0,6.03,308.2,22.5,D,0.0,
14.4935,105.7296,322.5,1.2,1.1,2020-01-14,634.0,Aqua,MODIS,33.0,6.03,306.9,8.6,D,0.0,
14.2955,104.6077,328.0,1.1,1.0,2020-01-14,634.0,Aqua,MODIS,77.0,6.03,306.5,14.4,D,0.0,
14.2968,104.6175,328.7,1.1,1.0,2020-01-14,634.0,Aqua,MODIS,77.0,6.03,306.4,15.6,D,0.0,
14.3179,104.7742,327.9,1.1,1.0,2020-01-14,634.0,Aqua,MODIS,51.0,6.03,310.7,14.5,D,0.0,
14.3233,104.8137,326.1,1.1,1.0,2020-01-14,634.0,Aqua,MODIS,64.0,6.03,309.8,9.4,D,0.0,
14.4199,105.7123,322.9,1.2,1.1,2020-01-14,634.0,Aqua,MODIS,56.0,6.03,304.6,10.3,D,0.0,
14.4184,105.7014,331.4,1.2,1.1,2020-01-14,634.0,Aqua,MODIS,82.0,6.03,306.4,22.2,D,0.0,
14.414,105.6689,325.3,1.2,1.1,2020-01-14,634.0,Aqua,MODIS,64.0,6.03,306.1,13.5,D,0.0,
14.3062,104.8726,346.2,1.1,1.0,2020-01-14,634.0,Aqua,MODIS,92.0,6.03,304.7,47.9,D,0.0,
14.2365,104.3667,326.6,1.0,1.0,2020-01-14,634.0,Aqua,MODIS,29.0,6.03,310.2,9.1,D,0.0,
14.1681,103.8774,322.7,1.0,1.0,2020-01-14,634.0,Aqua,MODIS,53.0,6.03,309.5,7.7,D,0.0,
14.0964,103.3703,322.8,1.0,1.0,2020-01-14,634.0,Aqua,MODIS,45.0,6.03,308.1,6.5,D,0.0,
14.0951,103.3611,325.7,1.0,1.0,2020-01-14,634.0,Aqua,MODIS,69.0,6.03,309.2,9.2,D,0.0,
14.4891,105.6969,327.3,1.2,1.1,2020-01-14,634.0,Aqua,MODIS,70.0,6.03,307.2,14.5,D,0.0,
14.4354,105.7546,318.2,1.2,1.1,2020-01-14,634.0,Aqua,MODIS,41.0,6.03,305.1,6.6,D,0.0,
14.2562,104.442,347.8,1.0,1.0,2020-01-14,634.0,Aqua,MODIS,93.0,6.03,309.2,45.8,D,0.0,
14.2549,104.4324,336.1,1.0,1.0,2020-01-14,634.0,Aqua,MODIS,84.0,6.03,309.9,23.2,D,0.0,
14.2482,104.3845,324.3,1.0,1.0,2020-01-14,634.0,Aqua,MODIS,33.0,6.03,308.0,7.8,D,0.0,
14.1549,103.7185,321.2,1.0,1.0,2020-01-14,634.0,Aqua,MODIS,39.0,6.03,306.4,7.8,D,0.0,
14.3125,104.7808,326.9,1.1,1.0,2020-01-14,634.0,Aqua,MODIS,29.0,6.03,312.0,11.8,D,0.0,
14.2895,104.6145,323.8,1.1,1.0,2020-01-14,634.0,Aqua,MODIS,60.0,6.03,307.7,8.8,D,0.0,
14.2574,104.3831,326.6,1.0,1.0,2020-01-14,634.0,Aqua,MODIS,56.0,6.03,308.0,10.4,D,0.0,
14.2308,104.1932,329.9,1.0,1.0,2020-01-14,634.0,Aqua,MODIS,76.0,6.03,309.1,14.0,D,0.0,
14.2749,104.577,326.4,1.1,1.0,2020-01-14,634.0,Aqua,MODIS,73.0,6.03,307.9,10.5,D,0.0,
14.4719,105.5672,320.3,1.2,1.1,2020-01-14,634.0,Aqua,MODIS,45.0,6.03,305.4,9.6,D,0.0,
14.4988,105.6955,322.4,1.2,1.1,2020-01-14,634.0,Aqua,MODIS,35.0,6.03,307.0,7.5,D,0.0,
14.4887,105.6196,331.3,1.2,1.1,2020-01-14,634.0,Aqua,MODIS,82.0,6.03,305.0,22.3,D,0.0,
14.2939,103.7894,319.7,1.0,1.0,2020-01-14,634.0,Aqua,MODIS,44.0,6.03,307.3,6.0,D,0.0,
14.2523,103.4938,324.3,1.0,1.0,2020-01-14,634.0,Aqua,MODIS,63.0,6.03,309.5,7.2,D,0.0,
14.8768,100.2675,334.2,1.2,1.1,2020-01-14,634.0,Aqua,MODIS,84.0,6.03,301.1,32.0,D,0.0,
14.8751,100.2566,339.7,1.2,1.1,2020-01-14,634.0,Aqua,MODIS,88.0,6.03,302.0,43.0,D,0.0,
15.4301,103.8898,321.9,1.0,1.0,2020-01-14,634.0,Aqua,MODIS,38.0,6.03,308.3,8.3,D,0.0,
14.8199,99.7794,333.8,1.3,1.1,2020-01-14,634.0,Aqua,MODIS,85.0,6.03,304.0,32.0,D,0.0,
15.1193,101.664,346.7,1.0,1.0,2020-01-14,634.0,Aqua,MODIS,92.0,6.03,306.9,43.5,D,0.0,
15.1179,101.6545,325.9,1.0,1.0,2020-01-14,634.0,Aqua,MODIS,69.0,6.03,308.4,9.8,D,0.0,
14.263,103.6994,332.8,1.0,1.0,2020-01-14,634.0,Aqua,MODIS,74.0,6.03,308.0,18.4,D,0.0,
15.3997,103.5395,324.9,1.0,1.0,2020-01-14,634.0,Aqua,MODIS,67.0,6.03,308.3,8.0,D,0.0,
12.7294,105.9417,332.2,1.2,1.1,2020-01-14,634.0,Aqua,MODIS,66.0,6.03,308.9,20.1,D,0.0,
12.728,105.931,327.4,1.2,1.1,2020-01-14,634.0,Aqua,MODIS,50.0,6.03,311.5,12.1,D,0.0,
12.7154,105.8357,328.6,1.2,1.1,2020-01-14,634.0,Aqua,MODIS,58.0,6.03,309.7,15.1,D,0.0,
12.4077,103.5961,336.2,1.0,1.0,2020-01-14,634.0,Aqua,MODIS,86.0,6.03,309.7,22.7,D,0.0,
12.4064,103.5871,337.5,1.0,1.0,2020-01-14,634.0,Aqua,MODIS,87.0,6.03,308.9,24.8,D,0.0,
12.371,103.2766,339.8,1.0,1.0,2020-01-14,634.0,Aqua,MODIS,88.0,6.03,309.1,31.3,D,0.0,
12.3733,103.2297,322.0,1.0,1.0,2020-01-14,634.0,Aqua,MODIS,56.0,6.03,306.9,7.7,D,0.0,
12.4358,103.6012,335.1,1.0,1.0,2020-01-14,634.0,Aqua,MODIS,85.0,6.03,309.4,20.8,D,0.0,
13.4034,105.341,325.3,1.1,1.1,2020-01-14,634.0,Aqua,MODIS,60.0,6.03,306.5,12.6,D,0.0,
14.1305,103.675,327.8,1.0,1.0,2020-01-14,634.0,Aqua,MODIS,32.0,6.03,307.7,12.2,D,0.0,
14.2721,103.7642,322.5,1.0,1.0,2020-01-14,634.0,Aqua,MODIS,44.0,6.03,307.0,8.7,D,0.0,
14.3006,103.9691,331.6,1.0,1.0,2020-01-14,634.0,Aqua,MODIS,81.0,6.03,306.5,19.7,D,0.0,
14.4873,105.6088,328.5,1.2,1.1,2020-01-14,634.0,Aqua,MODIS,67.0,6.03,306.3,18.0,D,0.0,
14.2427,103.8226,319.8,1.0,1.0,2020-01-14,634.0,Aqua,MODIS,35.0,6.03,306.7,6.0,D,0.0,
14.2153,103.6283,330.4,1.0,1.0,2020-01-14,634.0,Aqua,MODIS,79.0,6.03,307.4,16.0,D,0.0,
14.1579,103.2242,323.3,1.0,1.0,2020-01-14,634.0,Aqua,MODIS,68.0,6.03,306.5,7.7,D,0.0,
14.1237,102.9861,326.0,1.0,1.0,2020-01-14,634.0,Aqua,MODIS,73.0,6.03,309.1,8.7,D,0.0,
14.3239,104.3383,325.7,1.0,1.0,2020-01-14,634.0,Aqua,MODIS,32.0,6.03,309.6,8.1,D,0.0,
14.2399,103.7378,323.6,1.0,1.0,2020-01-14,634.0,Aqua,MODIS,59.0,6.03,309.5,6.0,D,0.0,
14.2386,103.7286,335.7,1.0,1.0,2020-01-14,634.0,Aqua,MODIS,84.0,6.03,307.7,21.7,D,0.0,
14.2993,103.9597,328.6,1.0,1.0,2020-01-14,634.0,Aqua,MODIS,65.0,6.03,305.5,14.9,D,0.0,
14.2816,103.9689,332.8,1.0,1.0,2020-01-14,634.0,Aqua,MODIS,81.0,6.03,309.0,17.8,D,0.0,
14.2358,103.6441,336.5,1.0,1.0,2020-01-14,634.0,Aqua,MODIS,85.0,6.03,308.6,23.3,D,0.0,
14.2345,103.6348,339.0,1.0,1.0,2020-01-14,634.0,Aqua,MODIS,87.0,6.03,307.8,27.9,D,0.0,
14.1901,103.3223,323.6,1.0,1.0,2020-01-14,634.0,Aqua,MODIS,69.0,6.03,307.5,9.5,D,0.0,
14.1495,103.0383,350.1,1.0,1.0,2020-01-14,634.0,Aqua,MODIS,94.0,6.03,308.9,47.5,D,0.0,
14.2906,103.9676,330.1,1.0,1.0,2020-01-14,634.0,Aqua,MODIS,78.0,6.03,308.5,14.3,D,0.0,
14.5208,105.6084,321.0,1.2,1.1,2020-01-14,634.0,Aqua,MODIS,68.0,6.03,307.5,8.4,D,0.0,
14.3213,104.1193,323.4,1.0,1.0,2020-01-14,634.0,Aqua,MODIS,67.0,6.03,309.4,9.6,D,0.0,
14.32,104.1099,322.8,1.0,1.0,2020-01-14,634.0,Aqua,MODIS,64.0,6.03,309.2,8.6,D,0.0,
14.241,103.681,324.8,1.0,1.0,2020-01-14,634.0,Aqua,MODIS,68.0,6.03,309.5,6.1,D,0.0,
12.4137,103.4467,327.6,1.0,1.0,2020-01-14,634.0,Aqua,MODIS,77.0,6.03,309.2,16.0,D,0.0,
14.1879,104.0842,326.7,1.0,1.0,2020-01-14,634.0,Aqua,MODIS,72.0,6.03,307.3,11.3,D,0.0,
14.2619,104.6185,325.9,1.1,1.0,2020-01-14,634.0,Aqua,MODIS,72.0,6.03,309.2,10.9,D,0.0,
14.201,105.2025,331.4,1.1,1.1,2020-01-14,634.0,Aqua,MODIS,81.0,6.03,308.2,22.0,D,0.0,
14.1997,105.1923,327.3,1.1,1.1,2020-01-14,634.0,Aqua,MODIS,73.0,6.03,308.7,14.8,D,0.0,
14.1834,105.0705,329.5,1.1,1.0,2020-01-14,634.0,Aqua,MODIS,69.0,6.03,309.0,18.6,D,0.0,
14.1821,105.0604,325.5,1.1,1.0,2020-01-14,634.0,Aqua,MODIS,39.0,6.03,309.6,12.3,D,0.0,
14.134,104.7034,335.0,1.1,1.0,2020-01-14,634.0,Aqua,MODIS,80.0,6.03,306.7,22.6,D,0.0,
14.1327,104.6937,338.0,1.1,1.0,2020-01-14,634.0,Aqua,MODIS,85.0,6.03,307.9,27.3,D,0.0,
13.9164,103.1425,330.7,1.0,1.0,2020-01-14,634.0,Aqua,MODIS,77.0,6.03,307.7,16.6,D,0.0,
14.1433,104.7021,325.4,1.1,1.0,2020-01-14,634.0,Aqua,MODIS,28.0,6.03,310.0,10.0,D,0.0,
14.1419,104.6923,329.4,1.1,1.0,2020-01-14,634.0,Aqua,MODIS,68.0,6.03,310.6,15.3,D,0.0,
13.9306,103.1777,324.3,1.0,1.0,2020-01-14,634.0,Aqua,MODIS,56.0,6.03,306.5,10.6,D,0.0,
14.2897,105.7263,320.0,1.2,1.1,2020-01-14,634.0,Aqua,MODIS,65.0,6.03,307.0,10.8,D,0.0,
14.1392,104.6035,337.5,1.1,1.0,2020-01-14,634.0,Aqua,MODIS,83.0,6.03,308.4,26.6,D,0.0,
14.1366,104.5841,343.6,1.1,1.0,2020-01-14,634.0,Aqua,MODIS,90.0,6.03,310.8,35.6,D,0.0,
14.1352,104.5744,330.2,1.1,1.0,2020-01-14,634.0,Aqua,MODIS,77.0,6.03,310.3,14.2,D,0.0,
14.0645,104.0614,320.6,1.0,1.0,2020-01-14,634.0,Aqua,MODIS,45.0,6.03,306.3,6.8,D,0.0,
14.0632,104.052,332.1,1.0,1.0,2020-01-14,634.0,Aqua,MODIS,79.0,6.03,306.4,21.0,D,0.0,
13.9904,103.5336,323.2,1.0,1.0,2020-01-14,634.0,Aqua,MODIS,61.0,6.03,308.6,7.1,D,0.0,
14.2761,105.7727,353.3,1.2,1.1,2020-01-14,634.0,Aqua,MODIS,96.0,6.03,309.4,73.6,D,0.0,
14.2775,105.7836,322.7,1.2,1.1,2020-01-14,634.0,Aqua,MODIS,43.0,6.03,306.8,9.7,D,0.0,
13.9075,103.1438,340.2,1.0,1.0,2020-01-14,634.0,Aqua,MODIS,87.0,6.03,308.6,30.5,D,0.0,
14.162,104.9814,326.3,1.1,1.0,2020-01-14,634.0,Aqua,MODIS,74.0,6.03,307.7,13.5,D,0.0,
14.0149,104.2953,337.7,1.0,1.0,2020-01-14,634.0,Aqua,MODIS,85.0,6.03,309.3,25.4,D,0.0,
14.0187,104.2561,322.6,1.0,1.0,2020-01-14,634.0,Aqua,MODIS,23.0,6.03,308.0,7.3,D,0.0,
14.0928,104.7251,336.7,1.1,1.0,2020-01-14,634.0,Aqua,MODIS,85.0,6.03,307.2,27.4,D,0.0,
13.8684,103.1274,325.9,1.0,1.0,2020-01-14,634.0,Aqua,MODIS,66.0,6.03,308.0,9.1,D,0.0,
14.2836,105.9913,320.5,1.2,1.1,2020-01-14,634.0,Aqua,MODIS,43.0,6.03,305.3,11.6,D,0.0,
14.1548,105.0393,329.0,1.1,1.0,2020-01-14,634.0,Aqua,MODIS,78.0,6.03,309.3,14.1,D,0.0,
