latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
11.3608,104.1313,318.5,1.4,1.2,2020-06-18,355,Terra,MODIS,29,6.03,298.5,12.7,D,0
5.7703,101.0722,308.5,1.1,1.1,2020-06-18,357,Terra,MODIS,62,6.03,285.9,5.7,D,2
20.3416,105.9205,322.0,1.3,1.1,2020-06-18,353,Terra,MODIS,58,6.03,298.0,13.3,D,0
19.9785,105.6423,319.0,1.3,1.1,2020-06-18,353,Terra,MODIS,70,6.03,296.6,8.1,D,0
19.2436,104.8394,315.5,1.6,1.2,2020-06-19,605,Aqua,MODIS,65,6.03,292.1,15.0,D,0
19.2466,104.8478,317.1,1.6,1.2,2020-06-19,605,Aqua,MODIS,71,6.03,291.3,18.6,D,0
19.24,104.6117,314.9,1.7,1.3,2020-06-19,605,Aqua,MODIS,68,6.03,291.3,14.4,D,0
20.6261,105.8857,321.5,1.3,1.1,2020-06-19,605,Aqua,MODIS,67,6.03,298.4,11.2,D,0
20.813,105.3452,317.5,1.4,1.2,2020-06-19,605,Aqua,MODIS,38,6.03,295.6,12.9,D,2
12.7984,105.2011,335.6,2.0,1.4,2020-06-19,603,Aqua,MODIS,76,6.03,292.4,79.3,D,0
12.8413,105.156,317.8,2.0,1.4,2020-06-19,603,Aqua,MODIS,62,6.03,294.2,20.8,D,0
12.8383,105.1376,320.8,2.0,1.4,2020-06-19,603,Aqua,MODIS,70,6.03,295.7,29.5,D,0
12.8321,105.1507,316.2,2.0,1.4,2020-06-19,603,Aqua,MODIS,51,6.03,293.2,17.9,D,0
12.8444,105.1485,317.0,2.0,1.4,2020-06-19,603,Aqua,MODIS,46,6.03,294.3,18.5,D,0
19.2462,104.8549,312.3,1.6,1.2,2020-06-19,605,Aqua,MODIS,37,6.03,291.2,10.1,D,0
12.8402,105.1485,307.2,1.1,1.0,2020-06-19,1528,Terra,MODIS,71,6.03,286.6,6.3,N,0
19.7049,105.5946,324.1,1.0,1.0,2020-06-20,341,Terra,MODIS,68,6.03,298.9,10.4,D,0
19.7035,105.604,333.2,1.0,1.0,2020-06-20,341,Terra,MODIS,84,6.03,298.2,21.9,D,0
19.3235,105.1831,318.9,1.0,1.0,2020-06-20,341,Terra,MODIS,50,6.03,300.2,6.3,D,0
19.1874,104.6681,319.9,1.0,1.0,2020-06-20,341,Terra,MODIS,68,6.03,296.6,8.9,D,0
17.9272,103.9542,318.3,1.0,1.0,2020-06-20,341,Terra,MODIS,63,6.03,298.2,8.2,D,0
14.5223,101.7246,319.1,1.1,1.1,2020-06-20,342,Terra,MODIS,58,6.03,292.1,11.2,D,0
20.6303,105.8837,324.0,1.0,1.0,2020-06-20,341,Terra,MODIS,71,6.03,301.1,10.7,D,0
15.1166,104.3329,320.7,1.0,1.0,2020-06-20,342,Terra,MODIS,45,6.03,298.5,7.8,D,2
17.1617,104.1519,322.8,1.0,1.0,2020-06-20,342,Terra,MODIS,44,6.03,298.9,8.7,D,2
12.7039,104.9843,318.0,1.1,1.0,2020-06-20,343,Terra,MODIS,42,6.03,295.9,5.4,D,0
12.7287,101.471,312.2,1.1,1.1,2020-06-20,343,Terra,MODIS,52,6.03,286.7,6.9,D,0
14.0703,100.644,320.9,1.0,1.0,2020-06-20,647,Aqua,MODIS,25,6.03,295.3,6.1,D,2
20.6604,105.9278,324.7,1.0,1.0,2020-06-20,341,Terra,MODIS,32,6.03,299.9,10.3,D,0
