,0
0,6.697824
1,7.490345
2,7.1029043
3,9.008707
4,8.112871
5,7.1049385
6,8.254313
7,8.571718
8,9.536047
9,9.362501
10,9.336922
11,8.491698
12,11.186788
13,10.9877205
14,11.608252
15,12.9154005
16,13.292681
17,14.050669
18,13.595834
19,11.564796
20,9.351817
21,10.975611
22,8.615559
23,7.637353
24,9.506948
25,12.511086
26,10.347017
27,11.102331
28,10.449786
29,9.750597
30,9.107251
31,9.792801
32,12.787913
33,13.497786
34,10.234523
35,9.931603
36,11.193696
37,9.427792
38,10.720497
39,10.189956
40,9.524937
41,11.170901
42,10.467182
43,8.847974
44,7.5743895
45,6.1996875
46,7.5728517
47,9.533355
48,11.457443
49,10.402878
50,10.595024
51,11.976743
52,11.184663
53,12.717438
54,12.917511
55,14.620318
56,13.019817
57,10.464232
58,8.549993
59,9.818031
60,10.580121
61,10.279292
62,9.383468
63,9.424049
64,10.76134
65,9.8125
66,9.884675
67,8.623664
68,8.121478
69,11.420593
70,11.017809
71,12.001366
72,11.91001
73,10.966976
74,10.630394
75,8.904359
76,9.786484
77,10.503224
78,14.176282
79,13.20424
80,13.685181
81,18.246315
82,17.014507
83,21.105568
84,14.224347
85,14.573237
86,13.578157
87,12.303643
88,10.551716
89,12.654424
90,11.323993
91,10.046884
92,12.932341
93,9.989495
94,8.892824
95,9.255942
96,11.025084
97,10.28414
98,9.861515
99,8.494226
100,8.533323
101,8.251768
102,9.821017
103,11.104836
104,13.273922
105,12.262722
106,9.888258
107,9.908762
108,9.136024
109,10.305905
110,9.84447
111,10.776002
112,12.642722
113,11.3602295
114,11.952353
115,10.367071
116,10.824555
117,10.331673
118,10.192724
119,8.975299
120,9.442813
121,10.105928
122,8.460383
123,7.1444926
124,7.249051
125,7.334759
126,7.3928723
127,7.8793335
128,10.323417
129,11.82515
130,10.550904
131,11.583374
132,13.856866
133,10.549874
134,9.513549
135,12.561522
136,11.184513
137,10.757515
138,12.427053
139,12.719488
140,11.7679
141,13.081666
142,11.743794
143,11.229501
144,10.754845
145,10.069672
146,9.635572
147,9.0218115
148,8.9394045
149,10.50156
150,11.339593
151,11.572706
152,11.779771
153,11.041131
154,10.347918
155,9.860644
156,13.502794
157,14.544546
158,16.711918
159,17.645357
160,19.497375
161,14.105952
162,13.115573
163,10.518826
164,11.347209
165,9.191977
166,6.4961267
167,8.108486
168,8.705541
169,8.939705
170,8.557175
171,8.403278
172,8.764494
173,8.300224
174,12.307719
175,10.298122
176,9.633974
177,14.422775
178,14.787951
179,13.009136
180,11.710593
181,10.902894
182,12.181121
183,10.35758
184,9.619623
185,8.478189
186,8.040818
187,9.228474
188,9.475921
189,8.4435005
190,9.774902
191,8.284467
192,8.949272
193,8.430976
194,7.612089
195,7.825076
196,7.595463
197,7.678811
198,7.6698437
199,9.51177
200,10.432489
201,11.70598
202,9.45331
203,10.3808565
204,9.304405
205,11.816823
206,15.322523
207,19.24996
208,21.235676
209,17.106762
210,15.573171
211,11.0164995
212,10.213248
213,8.0935
214,7.877871
215,7.1171117
216,7.7718105
217,8.073699
218,7.951318
219,7.1797605
220,7.8177752
221,7.327357
222,12.422228
223,15.204969
224,16.558514
225,12.758828
226,12.19852
227,12.485019
228,12.770537
229,13.928861
230,10.222678
231,8.975418
232,10.212632
233,12.42891
234,11.589324
235,9.701676
236,7.8177752
237,8.3941965
238,7.4794917
239,6.9953604
240,8.716016
241,8.177828
242,7.765676
243,9.904548
244,9.385665
245,8.547701
246,8.6373
247,9.114014
248,12.671054
249,12.134299
250,10.625929
251,8.556788
252,9.18949
253,8.544631
254,8.411785
255,9.496692
256,10.158116
257,11.712058
258,12.95341
259,10.903703
260,14.773045
261,12.488039
262,11.587816
263,6.9439783
264,6.8126907
265,6.813919
266,7.354539
267,7.120132
268,6.6714244
269,6.2248983
270,10.278095
271,11.192523
272,10.473289
273,10.244772
274,10.594738
275,11.80307
276,9.8833065
277,10.600929
278,14.180309
279,16.040665
280,17.195595
281,14.13509
282,11.6119585
283,14.017929
284,12.451015
285,9.269193
286,7.6085243
