,0
0,14.306409
1,14.040482
2,13.747271
3,13.46152
4,13.281287
5,13.212873
6,13.198196
7,13.23324
8,13.352027
9,13.500884
10,13.709841
11,13.854854
12,13.978186
13,14.106291
14,14.220601
15,14.269088
16,14.203138
17,14.056422
18,13.831559
19,13.67043
20,13.529017
21,13.426834
22,13.297724
23,13.115797
24,13.054705
25,13.003493
26,12.995362
27,13.028829
28,13.07838
29,13.170301
30,13.240174
31,13.364292
32,13.60295
33,13.868135
34,14.021096
35,14.103126
36,14.301548
37,14.525089
38,14.72143
39,14.905186
40,15.046258
41,15.120553
42,15.139295
43,15.113506
44,14.944095
45,14.568351
46,14.09689
47,13.554739
48,13.126076
49,12.844675
50,12.703899
51,12.660875
52,12.661911
53,12.657596
54,12.677387
55,12.712509
56,12.822947
57,12.993809
58,13.278956
59,13.583902
60,13.843701
61,14.006871
62,14.204016
63,14.394272
64,14.541448
65,14.529718
66,14.3817625
67,14.173457
68,13.859203
69,13.533288
70,13.219768
71,12.956994
72,12.757601
73,12.619637
74,12.540652
75,12.531094
76,12.650963
77,12.770851
78,12.918712
79,13.057349
80,13.221345
81,13.394241
82,13.595415
83,13.745762
84,13.864081
85,14.00391
86,14.192993
87,14.441971
88,14.622929
89,14.710691
90,14.704774
91,14.603685
92,14.420043
93,14.160845
94,13.871585
95,13.584284
96,13.340905
97,13.115951
98,12.985213
99,12.943039
100,12.917517
101,12.901672
102,12.860799
103,12.80103
104,12.75617
105,12.805155
106,12.875766
107,13.0003195
108,13.184318
109,13.342689
110,13.419264
111,13.442205
112,13.385523
113,13.286439
114,13.189777
115,13.113216
116,13.051207
117,12.97285
118,12.895316
119,12.799783
120,12.708257
121,12.672364
122,12.686508
123,12.716139
124,12.782949
125,12.877425
126,12.988282
127,13.108307
128,13.2154455
129,13.342653
130,13.48908
131,13.690573
132,13.893668
133,14.122411
134,14.40067
135,14.691377
136,14.947184
137,15.139572
138,15.151462
139,15.051234
140,14.7959585
141,14.399302
142,13.967933
143,13.548345
144,13.196951
145,13.059982
146,13.1206875
147,13.260986
148,13.36465
149,13.421091
150,13.433239
151,13.470472
152,13.580612
153,13.7410555
154,13.970809
155,14.197265
156,14.38985
157,14.514447
158,14.599108
159,14.69568
160,14.756296
161,14.779699
162,14.7387705
163,14.686236
164,14.56886
165,14.472084
166,14.371884
167,14.126476
168,13.803157
169,13.500398
170,13.195816
171,12.943833
172,12.766487
173,12.704738
174,12.726562
175,12.750551
176,12.820868
177,12.902904
178,12.951946
179,12.987591
180,13.054685
181,13.189584
182,13.397615
183,13.609638
184,13.803144
185,13.870505
186,13.902408
187,13.874198
188,13.757923
189,13.557516
190,13.420586
191,13.345261
192,13.269031
193,13.180576
194,13.091117
195,13.059671
196,13.120011
197,13.222795
198,13.311137
199,13.499404
200,13.613537
201,13.773902
202,14.023329
203,14.296053
204,14.448392
205,14.500718
206,14.440791
207,14.310067
208,14.149164
209,13.945525
210,13.646501
211,13.347107
212,13.084104
213,12.853353
214,12.758244
215,12.694359
216,12.6404705
217,12.736034
218,12.828155
219,12.9253
220,12.995915
221,13.130112
222,13.384785
223,13.6841135
224,14.001326
225,14.20837
226,14.419189
227,14.633951
228,14.859892
229,15.052915
230,15.262291
231,15.417123
232,15.485989
233,15.56726
234,15.414095
235,15.214978
236,14.949155
237,14.626322
238,14.336406
239,14.13993
240,13.925847
241,13.801356
242,13.756792
243,13.794601
244,13.953851
245,14.132966
246,14.229369
247,14.355927
248,14.534592
249,14.721745
250,14.845155
251,14.9826565
252,15.026895
253,15.05773
