,0
0,13.747508
1,13.017964
2,12.527555
3,11.982225
4,12.07733
5,12.076911
6,11.79038
7,11.842355
8,12.068226
9,12.134015
10,12.801355
11,12.412129
12,12.765529
13,13.263763
14,13.297572
15,12.918681
16,11.969413
17,12.047334
18,11.431712
19,12.310087
20,13.09653
21,13.626517
22,12.690298
23,11.859747
24,12.6407585
25,11.773683
26,11.616978
27,11.431092
28,11.206074
29,11.293212
30,10.870031
31,11.348801
32,12.131861
33,12.639736
34,12.3879175
35,11.670109
36,12.88043
37,13.228653
38,12.901074
39,13.088907
40,13.057632
41,12.617633
42,12.589741
43,12.677055
44,13.2197
45,12.188184
46,11.693547
47,10.7418995
48,11.023001
49,11.084312
50,11.510172
51,11.6934805
52,11.606727
53,11.243223
54,11.2525215
55,10.975541
56,11.206059
57,11.467378
58,12.477254
59,12.638413
60,12.810133
61,12.735391
62,13.128709
63,12.772821
64,12.4815445
65,12.06847
66,11.782424
67,11.84447
68,11.926683
69,12.14873
70,11.506992
71,11.371708
72,11.08995
73,10.839999
74,10.664179
75,10.754131
76,11.429082
77,11.133153
78,11.462628
79,11.469146
80,11.823331
81,12.007971
82,12.413124
83,12.24593
84,12.389783
85,12.868547
86,12.801351
87,13.225696
88,12.807222
89,12.744089
90,12.691306
91,12.332984
92,12.289191
93,12.242199
94,12.143493
95,11.972628
96,11.833321
97,11.209529
98,11.516753
99,11.749435
100,11.483402
101,11.47285
102,10.979939
103,10.649265
104,10.618418
105,11.444479
106,11.56701
107,11.842726
108,12.456204
109,12.549912
110,12.473811
111,12.616796
112,12.048704
113,11.433445
114,11.419452
115,11.579569
116,12.438309
117,12.548861
118,12.6341505
119,12.7196455
120,12.463005
121,12.3355055
122,11.705229
123,11.00105
124,10.98516
125,10.884317
126,10.974765
127,11.159638
128,11.015506
129,11.405874
130,11.832492
131,12.017563
132,12.129572
133,12.985752
134,13.385538
135,13.567797
136,13.666176
137,14.06493
138,12.47377
139,12.480209
140,12.93378
141,12.204428
142,11.8343525
143,11.419418
144,10.988756
145,12.185355
146,13.153743
147,13.406717
148,13.113629
149,12.956366
150,12.559836
151,12.756348
152,12.905849
153,13.069466
154,13.8238535
155,13.405017
156,13.25022
157,12.826178
158,12.4605875
159,12.867281
160,12.699069
161,12.77106
162,12.489295
163,13.078087
164,13.823069
165,14.849842
166,14.607816
167,13.125015
168,12.651132
169,12.43685
170,11.487027
171,11.268977
172,11.029432
173,11.442753
174,11.600145
175,11.060466
176,11.397416
177,11.308624
178,10.932359
179,10.864795
180,11.201861
181,11.009758
182,11.726415
183,12.368314
184,13.308093
185,12.532235
186,14.230168
187,14.147043
188,13.006202
189,11.831396
190,12.403575
191,12.36871
192,12.092377
193,11.75865
194,11.421866
195,11.704795
196,12.195195
197,12.321961
198,12.015873
199,12.996797
200,12.306209
201,12.621349
202,13.379379
203,13.849247
204,13.235029
205,13.039654
206,12.290227
207,11.872986
208,11.966019
209,11.647904
210,11.822191
211,12.055332
212,11.668838
213,11.393561
214,12.180573
215,11.506346
216,11.183331
217,12.24482
218,11.679592
219,11.801043
220,11.643282
221,12.086758
222,12.785025
223,13.241846
224,13.836788
225,13.017773
226,13.541578
227,13.857102
228,14.026502
229,13.783344
230,14.499963
231,14.361459
232,14.144063
233,15.273243
234,13.630852
235,14.800017
236,13.78674
237,13.132429
238,13.194647
239,13.42512
240,12.691459
241,13.198137
242,13.312374
243,13.744493
244,14.322499
245,14.206408
246,12.877621
247,13.1561165
248,13.515643
249,13.689413
250,13.424942
251,13.984592
252,13.347812
253,13.805744
254,14.78649
255,14.290052
256,14.826678
257,15.027012
258,13.290904
259,12.769403
260,12.712515
261,13.004384
262,12.098629
263,12.394984
264,13.153884
265,13.419898
266,13.87143
267,14.088317
268,14.160575
269,13.833244
270,13.80768
271,14.172403
272,14.332815
273,14.391335
274,14.211403
275,14.248933
276,13.598693
277,14.059243
278,13.990036
279,13.636465
280,13.128938
281,13.141853
282,13.783721
283,13.862612
284,13.352328
285,13.040086
286,13.015968
287,12.594293
288,12.139217
289,12.155817
290,11.88354
291,11.873131
292,11.976501
293,11.916551
294,11.588843
295,12.101467
296,12.769194
297,12.495369
298,12.038771
299,12.3038025
300,12.292075
301,12.628374
302,12.628223
303,12.934002
304,13.259567
305,13.356154
306,13.681709
307,14.096577
308,14.120182
309,14.110466
310,13.80984
311,13.856485
312,14.12718
313,13.89587
314,13.5165825
315,12.236514
316,11.311127
317,11.163123
318,10.957789
319,11.19433
320,11.532865
321,11.204316
322,11.237989
323,12.171353
324,12.226183
325,11.624788
326,12.152996
327,11.867765
328,11.748823
329,11.833089
330,12.594258
331,12.167227
332,11.67713
333,11.380753
334,11.423647
335,11.155374
336,10.99224
337,10.813198
338,10.598
339,10.667003
340,10.763538
341,11.249769
342,11.576509
343,12.230398
344,12.841843
345,13.34718
346,14.037656
347,14.495447
348,14.300556
349,14.550211
350,13.646836
351,13.168144
352,12.54766
353,12.322077
354,11.955882
355,12.209894
356,11.839468
357,11.532231
358,11.388089
359,11.465735
360,11.324102
361,11.120576
362,10.907086
363,10.96292
364,10.7523
365,10.478063
366,11.168279
367,11.703846
368,12.599627
369,13.133349
370,13.737265
371,13.856903
372,13.714089
373,13.565443
374,13.707888
375,13.310552
376,13.377504
377,13.814016
378,14.492943
379,15.05157
380,13.482707
381,12.840785
382,12.494677
383,12.01004
384,11.657173
385,11.649627
386,11.174868
387,11.520306
388,11.402309
389,12.007138
390,12.103388
391,12.045104
392,12.295856
393,12.073325
394,12.676278
395,12.638751
396,12.533859
397,13.08554
398,12.812121
399,12.614815
400,12.136628
401,11.745655
402,12.069591
403,11.849303
404,11.479081
405,11.5705
406,10.573416
407,10.60552
408,10.454872
409,10.057194
410,10.609578
411,10.573082
412,10.67679
413,10.786742
414,10.999592
415,10.839856
416,10.7942705
417,11.221092
418,11.762458
419,12.675668
420,12.98567
421,13.307606
422,13.556585
423,13.815116
424,14.744892
425,15.315328
426,14.90884
427,15.632018
428,14.577393
429,13.072464
430,12.457862
431,12.022803
432,11.817866
433,12.201505
