,0
0,14.735686
1,13.773916
2,13.048393
3,12.469216
4,12.671262
5,12.953933
6,12.913757
7,13.126859
8,13.673318
9,13.903224
10,14.842939
11,14.189519
12,14.310428
13,14.726367
14,14.595152
15,14.151933
16,13.297067
17,13.375034
18,12.817775
19,13.811494
20,14.712275
21,15.024559
22,13.877865
23,12.652948
24,13.238526
25,12.275154
26,12.255615
27,12.212815
28,12.140036
29,12.462497
30,12.215043
31,12.827385
32,13.927499
33,14.544909
34,14.143098
35,13.627296
36,14.766149
37,15.109899
38,14.718079
39,14.862579
40,14.872384
41,14.499112
42,14.573526
43,14.678883
44,15.230259
45,13.857048
46,12.892036
47,11.557108
48,11.599152
49,11.625293
50,12.12974
51,12.469304
52,12.532126
53,12.29876
54,12.4182
55,12.263834
56,12.6871395
57,13.072424
58,14.319903
59,14.49567
60,14.549773
61,14.309712
62,14.811826
63,14.487487
64,14.285709
65,13.69297
66,13.256791
67,13.213273
68,13.056502
69,12.950839
70,12.101083
71,11.674307
72,11.306096
73,11.12179
74,11.228155
75,11.583397
76,12.59827
77,12.480833
78,12.993355
79,12.977096
80,13.376276
81,13.51778
82,13.966554
83,13.608778
84,13.723015
85,14.324312
86,14.579926
87,15.101465
88,14.702504
89,14.537066
90,14.288139
91,13.801635
92,13.706819
93,13.33924
94,12.991768
95,12.715407
96,12.4726515
97,11.8927965
98,12.455577
99,12.901133
100,12.766403
101,12.902851
102,12.554436
103,12.280652
104,12.204286
105,13.279165
106,13.351191
107,13.617451
108,14.33934
109,14.437144
110,14.248933
111,14.314316
112,13.632291
113,13.009392
114,12.911101
115,13.13677
116,14.116079
117,14.262218
118,14.216673
119,13.60561
120,12.940688
121,12.616178
122,12.311913
123,11.899282
124,12.042818
125,12.337993
126,12.593223
127,12.853495
128,12.887186
129,13.351008
130,13.813642
131,14.019077
132,14.113458
133,15.001051
134,15.387058
135,15.560645
136,15.748485
137,16.103046
138,14.54982
139,14.540434
140,15.01801
141,13.826146
142,12.921302
143,12.223749
144,11.696108
145,13.055986
146,14.420516
147,14.937012
148,14.676975
149,14.540657
150,14.183224
151,14.421953
152,14.929583
153,15.282948
154,16.13491
155,15.383972
156,15.064249
157,14.660643
158,14.32857
159,14.9800825
160,14.882018
161,14.827186
162,14.53675
163,15.406651
164,16.323324
165,17.358665
166,16.79237
167,14.698278
168,13.7179
169,13.235745
170,12.148626
171,11.88172
172,11.772711
173,12.5198
174,12.937612
175,12.578141
176,13.014937
177,12.886786
178,12.499954
179,12.203122
180,12.505056
181,12.531613
182,13.389247
183,14.193874
184,15.375303
185,14.660328
186,16.514383
187,16.317183
188,14.8025255
189,13.364395
190,13.552058
191,13.321385
192,12.793158
193,12.458513
194,12.269138
195,12.83286
196,13.599102
197,13.851815
198,13.603728
199,14.780316
200,14.140624
201,14.545555
202,15.327922
203,15.825031
204,14.94299
205,14.508422
206,13.7295
207,13.421232
208,13.687987
209,13.478052
210,13.590698
211,13.40892
212,12.758606
213,12.280988
214,13.005505
215,12.228113
216,12.000881
217,13.30501
218,12.797594
219,13.018905
220,12.753588
221,13.34558
222,14.319693
223,14.919631
224,15.666628
225,14.787982
226,15.173613
227,15.423645
228,15.489153
229,15.0941305
230,15.982232
231,15.982655
232,15.835699
233,17.139204
234,15.822619
235,16.67239
236,15.305279
237,14.312908
238,14.044808
239,14.202427
240,13.366099
241,14.033671
242,14.274638
243,14.80406
244,15.551439
245,15.362561
246,14.442075
247,14.766716
248,15.207047
249,15.323708
250,14.981611
251,15.646744
252,14.757809
253,15.038677
254,15.9808655
255,15.827442
256,16.583426
257,17.04275
258,15.462001
259,14.46041
260,13.943393
261,13.974815
262,12.860037
263,13.137464
264,14.210219
265,14.686869
266,15.367009
267,15.808316
268,15.904726
269,15.467177
270,15.378237
271,15.883891
272,16.083544
273,16.065207
274,15.780395
275,15.800442
276,15.0116625
277,15.54144
278,15.433302
279,15.059852
280,14.631017
281,14.703542
282,15.540236
283,15.771879
284,15.26197
285,14.760421
286,14.416756
287,13.836499
288,13.067141
289,13.037896
290,12.82877
291,12.968056
292,13.298406
293,13.369319
294,12.72972
295,13.312753
296,14.134491
297,14.260667
298,14.005048
299,14.232553
300,14.056567
301,14.371221
302,14.317697
303,14.975628
304,15.418847
305,15.472297
306,15.895852
307,16.307308
308,16.110487
309,15.803819
310,15.082577
311,14.948802
312,15.046879
313,14.64241
314,14.260587
315,13.238719
316,12.562071
317,12.4921255
318,12.286222
319,12.585654
320,13.058888
321,13.064677
322,13.2257395
323,14.393839
324,14.335599
325,13.639816
326,14.398981
327,14.064367
328,13.97108
329,14.023114
330,14.86078
331,14.070533
332,13.132661
333,12.502149
334,12.277588
335,11.886423
336,11.818165
337,11.786761
338,11.775817
339,12.300571
340,12.649352
341,13.251102
342,13.384194
343,14.15334
344,14.91222
345,15.29416
346,15.913718
347,16.362202
348,16.222698
349,16.611982
350,15.835136
351,15.385228
352,14.854577
353,14.588707
354,14.277492
355,14.203232
356,13.473946
357,12.803718
358,12.324262
359,12.251898
360,11.954657
361,11.83006
362,11.831803
363,12.431387
364,12.627883
365,12.592765
366,13.529659
367,14.217223
368,15.181317
369,15.60386
370,16.080885
371,16.051298
372,15.621917
373,15.449576
374,15.895087
375,15.497086
376,15.5510235
377,15.942633
378,16.761454
379,17.17796
380,15.133232
381,13.961484
382,13.245197
383,12.597214
384,12.251894
385,12.377922
386,12.178496
387,12.955931
388,13.12605
389,13.897288
390,14.079689
391,14.032007
392,14.287059
393,14.34432
394,14.986439
395,14.953879
396,14.606891
397,15.379743
398,15.097173
399,14.745566
400,14.171633
401,13.694461
402,14.109655
403,13.568391
404,12.87554
405,12.507492
406,11.271448
407,11.2055435
408,11.153128
409,10.958314
410,11.764293
411,11.9796095
412,12.255743
413,12.465136
414,12.913814
415,12.8482
416,12.765231
417,12.930385
418,13.373982
419,14.315943
420,14.749039
421,15.031359
422,15.308629
423,15.675342
424,16.760733
425,17.464878
426,16.958603
427,17.448633
428,15.842091
429,14.082295
430,13.185107
431,12.690365
432,12.501111
433,13.077008
434,13.280015
435,13.215202
436,13.2017
437,14.367358
438,14.878688
439,14.411793
440,14.72882
441,14.395949
442,14.232125
443,15.180839
444,15.688758
445,15.3467245
446,14.953225
447,15.323319
448,14.639799
449,14.647698
450,15.720491
451,14.662432
452,13.268134
453,12.797672
454,12.536221
455,12.359315
456,12.794695
457,13.523674
458,13.752155
459,13.578206
460,12.993487
461,12.614584
462,13.824889
463,14.139959
464,14.730155
465,15.32544
466,15.9065275
467,15.761639
468,15.510846
469,15.679618
470,15.928465
471,16.672667
472,17.722183
473,17.567295
474,18.16269
475,16.897198
476,16.018406
477,14.794109
478,13.433861
479,12.605647
480,12.107696
481,12.785115
482,12.885346
483,12.502297
484,12.259846
485,12.588212
486,13.097901
487,13.223754
488,13.727005
489,14.179284
490,14.391288
491,15.3589945
492,15.787128
493,15.969881
494,15.282991
495,14.1380415
496,13.648537
497,14.004611
498,13.981033
499,13.860273
500,14.012394
501,13.734913
502,14.190856
503,14.751131
504,14.65924
505,14.104629
506,14.077109
507,13.462048
508,14.229249
509,14.212968
510,13.829097
511,13.698096
512,13.871762
513,13.872394
514,14.7165165
515,15.595978
516,15.556836
517,15.879247
518,16.01105
519,15.956984
520,16.151281
521,15.912022
522,16.891596
523,17.181168
524,15.614383
525,14.806488
526,14.225732
527,13.232399
528,13.287838
529,12.943221
530,12.808653
531,13.515873
532,13.893238
533,13.839378
534,14.182052
535,15.119268
536,15.202783
537,14.021221
538,13.795064
539,14.00086
540,13.947304
541,14.691301
542,15.3048115
543,16.074268
544,16.558084
545,15.975868
546,15.870317
547,14.795541
548,14.869891
549,14.913186
550,13.965024
551,13.718965
552,14.191325
553,14.460533
554,14.384926
555,15.095322
556,15.495956
557,15.491295
558,15.3417225
559,15.1821785
560,15.513142
561,16.019815
562,16.05361
563,15.657978
564,15.641331
565,16.79265
566,17.822927
567,18.886961
568,18.912544
569,19.738241
570,18.554972
571,15.795214
572,14.426563
573,13.564529
574,12.833003
575,13.272416
576,13.591953
577,14.301445
578,14.822681
579,15.046061
580,15.016471
581,15.555015
582,16.28485
583,16.886719
584,17.182184
585,16.87846
586,17.91368
587,18.198124
588,17.050287
589,17.022728
590,18.779554
591,18.1328
592,17.795742
593,17.921148
594,16.56969
595,15.932085
596,16.269022
597,16.01971
598,15.812997
599,15.990398
600,15.696257
601,16.561193
602,17.113754
603,18.38035
604,19.35338
605,19.684227
606,19.452387
607,21.094067
608,20.944866
609,21.023926
610,20.02264
611,20.573183
612,20.937305
613,21.13659
614,23.157387
615,23.587116
616,22.620407
617,19.969759
618,19.581728
619,18.485405
620,16.977858
621,16.172415
622,16.026697
623,16.393566
624,17.061342
625,17.14859
626,16.96205
627,17.075869
628,18.313677
629,19.527391
630,18.933998
631,19.506104
632,19.125538
633,19.564636
634,19.152296
635,19.44416
636,19.451834
637,18.877272
638,20.17919
639,19.246346
640,18.595629
641,17.195318
642,17.192509
643,15.872943
644,14.982952
645,14.3482
646,14.076947
647,13.825651
648,13.820174
649,13.731774
650,14.837728
651,14.740835
652,14.672549
653,15.024289
654,14.790121
655,14.31218
656,13.704938
657,13.484098
658,13.40542
659,13.79259
660,14.054801
661,14.158395
662,14.365042
663,14.924567
664,14.766286
665,13.607104
666,13.022735
667,13.341042
668,14.129629
669,13.459672
670,13.917225
671,13.454383
672,12.962681
673,13.128873
674,14.371386
675,14.311705
676,14.798179
677,15.532855
678,16.250315
679,16.139341
680,16.49578
681,15.980549
682,15.280539
683,14.91483
684,14.87117
685,14.340674
686,14.912334
687,14.408587
688,14.094195
689,13.80654
690,12.880886
691,12.478632
692,12.422585
693,12.540559
694,12.475213
695,12.548142
696,12.4603
697,12.421816
698,13.146927
699,14.223976
700,15.121557
701,14.813676
702,14.860776
703,14.998393
704,15.324369
705,15.878176
706,15.211316
707,14.831983
708,14.943998
709,14.967661
710,15.726837
711,15.638829
712,15.619946
713,15.390652
714,13.998829
715,13.708516
716,13.659868
717,13.490618
718,13.543806
719,13.644854
720,13.734004
721,13.662499
722,14.16866
723,15.390437
724,16.350906
725,16.53542
726,16.477438
727,17.303318
728,17.039194
729,15.967014
730,15.779762
731,16.409088
732,16.21736
733,16.039806
734,16.351545
735,16.274296
736,15.242358
737,14.392443
738,13.736272
739,13.240506
740,13.337806
741,13.06474
742,12.924009
743,12.426603
744,12.333621
745,12.979263
746,13.903634
747,15.1567745
748,16.291096
749,16.23888
750,16.89277
751,16.276455
752,15.72466
753,15.742128
754,15.6676445
755,15.584588
756,16.788013
757,16.679174
758,17.5242
759,16.291979
760,15.163951
761,15.290197
762,15.3586645
763,15.538069
764,15.3598995
765,16.620459
766,18.722733
767,17.98091
768,17.941692
769,17.270895
770,17.624132
771,17.894346
772,18.62589
773,18.933123
774,19.721813
775,21.17978
776,23.234276
777,19.987427
778,17.554518
779,16.289843
780,15.230921
781,14.471262
782,15.062951
783,14.207205
784,13.592468
785,13.6227255
786,13.028333
787,13.077253
788,13.56282
789,14.5063715
790,13.882093
791,13.907286
792,13.6083555
793,13.852683
794,14.619381
795,15.5376215
796,15.701262
797,15.613111
798,14.917136
799,14.207527
800,14.404388
801,14.61955
802,14.616542
803,13.129848
804,12.735697
805,13.115013
806,12.829558
807,13.829036
808,13.791811
809,14.734027
810,14.313762
811,13.569175
812,13.820437
813,13.939541
814,13.356428
815,12.251985
816,11.668488
817,12.643069
818,12.473168
819,12.131145
820,12.414583
821,11.8973675
822,12.189678
823,12.30762
824,12.387397
825,12.713599
826,13.503818
827,13.647163
828,14.330303
829,13.9231415
830,13.657695
831,14.115605
832,14.225083
833,13.709345
834,13.186585
835,13.357868
836,13.528838
837,13.5160265
838,13.811676
839,13.587557
840,14.032579
841,13.776373
842,13.681324
843,13.350254
844,13.169465
845,13.436312
846,12.658585
847,13.226181
848,13.85598
849,13.2070465
850,13.487525
851,13.900507
852,13.832576
853,13.401645
854,14.171789
855,14.528466
856,14.069843
857,13.819272
858,13.813801
859,13.585992
860,13.488084
861,13.986364
862,14.411463
863,14.372185
864,14.4178705
865,14.894011
866,15.697006
867,15.966044
868,16.57355
869,16.930561
870,18.0676
871,17.959227
872,18.109695
873,17.106916
874,16.521952
875,16.892836
876,16.263132
877,15.567352
878,14.579484
879,14.178681
880,13.933194
881,13.868791
882,13.60252
883,13.982995
884,14.274867
885,14.16083
886,15.287272
887,16.305763
888,16.84473
889,16.811731
890,17.776632
891,18.548115
892,19.273363
893,19.533289
894,19.120827
895,18.054384
896,17.456398
897,18.022327
898,17.718191
899,19.231733
900,17.580183
901,17.291265
902,16.259388
903,15.148027
904,14.330089
905,13.610821
906,13.357757
907,13.622969
908,13.40054
909,14.078198
910,13.9347315
911,14.632975
912,14.828845
913,15.398486
914,14.769878
915,14.31249
916,13.861482
917,13.7622385
918,14.035534
919,14.51578
920,14.911942
921,15.197161
922,16.218266
923,15.083612
924,14.323722
925,13.887545
926,13.001597
927,12.715407
928,12.907651
929,12.693067
930,12.897963
931,13.521301
932,13.703422
933,14.029534
934,13.55412
935,13.516727
936,13.684577
937,13.948886
938,14.068978
939,14.040151
940,14.470069
941,14.92174
942,15.7370615
943,16.292463
944,17.132704
945,16.947306
946,16.524714
947,15.997855
948,15.169791
949,14.407899
950,13.291588
951,13.473712
952,13.371054
953,12.875128
954,13.007052
955,12.992687
956,13.076886
957,13.363567
958,14.665363
959,15.0439625
960,15.395109
961,15.7381935
962,16.849035
963,18.092089
964,18.315851
965,18.956121
966,18.566843
967,19.355701
968,19.305801
969,19.156765
970,20.108023
971,18.280617
972,16.559284
973,15.626908
974,16.001955
975,15.695843
976,14.942285
977,14.614314
978,15.684381
979,15.22392
980,15.0617485
981,14.85732
982,16.005701
983,16.11128
984,17.17118
985,16.669643
986,16.522966
987,17.203007
988,19.008484
989,17.52792
990,15.852652
991,15.596995
992,16.620783
993,16.46058
994,16.186224
995,15.562929
996,14.676959
997,13.390966
998,11.919923
999,12.005642
1000,12.637357
1001,13.092616
1002,13.58205
1003,14.053593
1004,14.132135
1005,14.397021
1006,13.823146
1007,13.480062
1008,14.149435
1009,14.824213
1010,15.307495
1011,15.752922
1012,16.856989
1013,17.523825
1014,17.855442
1015,16.729733
1016,17.006245
1017,16.402185
1018,16.167076
1019,14.692162
1020,13.433716
1021,13.25724
1022,13.75953
1023,13.337825
1024,13.606302
1025,13.786984
1026,13.889294
1027,13.571921
1028,13.441482
1029,13.778809
1030,14.10165
1031,15.214203
1032,16.863226
1033,16.571922
1034,16.129107
1035,16.32172
1036,16.384892
1037,17.353928
1038,17.39409
1039,19.066362
1040,18.898367
1041,17.248795
1042,15.824322
1043,15.687206
1044,15.073825
1045,15.0932255
1046,14.091599
1047,13.686194
1048,13.713828
1049,13.814674
1050,13.344501
1051,13.815687
1052,13.980732
1053,14.177946
1054,14.334998
1055,14.068707
1056,13.560019
1057,14.55722
1058,14.822003
1059,15.347948
1060,15.731858
1061,15.432244
1062,14.999023
1063,14.792649
1064,14.796372
1065,14.409002
1066,12.866716
1067,12.177425
1068,11.581452
1069,12.633592
1070,12.195835
1071,12.023144
1072,12.924849
1073,13.362677
1074,13.742095
1075,14.13953
1076,14.436811
1077,14.698767
1078,15.066813
1079,15.32796
1080,15.396416
1081,15.185818
1082,15.683137
1083,15.616556
1084,15.573601
1085,15.840006
1086,15.622373
1087,16.70374
1088,16.90795
1089,15.797971
1090,15.843229
1091,15.861094
1092,15.332599
1093,16.132366
1094,16.594078
1095,15.649972
1096,14.855451
1097,14.864039
1098,14.708485
1099,15.107066
1100,15.307403
1101,15.194652
1102,15.593413
1103,15.651036
1104,15.60061
1105,15.75565
1106,16.077581
1107,16.309622
1108,16.535505
1109,16.664455
1110,17.67075
1111,18.646416
1112,19.318892
1113,20.346771
1114,20.946344
1115,20.70611
1116,18.862864
1117,17.856836
1118,16.95604
1119,16.112482
1120,15.836545
1121,16.478897
1122,16.488007
1123,16.1935
1124,15.960423
1125,15.491059
1126,15.768423
1127,15.377796
1128,15.012699
1129,15.371396
1130,16.445478
1131,18.300102
1132,18.341223
1133,19.358406
1134,19.680758
1135,20.05742
1136,19.683092
1137,18.737606
1138,18.043467
1139,17.093567
1140,16.272472
1141,15.8393755
1142,15.944942
1143,16.422165
1144,16.080894
1145,15.650469
1146,15.224136
1147,15.187983
1148,15.312322
1149,15.393203
1150,15.722848
1151,15.511027
1152,16.077406
1153,16.972792
1154,17.605835
1155,18.199715
1156,17.972353
1157,18.029434
1158,18.092838
1159,17.50082
1160,18.609358
1161,18.92706
1162,18.330912
1163,17.618374
1164,16.75631
1165,16.815008
1166,16.835026
1167,16.99703
1168,16.914812
1169,17.119444
1170,16.900007
1171,16.721909
1172,17.053743
1173,17.126238
1174,17.249306
1175,17.177599
1176,17.419607
1177,17.598658
1178,17.757896
1179,18.199574
1180,17.50004
1181,18.353325
1182,18.152786
1183,18.748371
1184,19.846073
1185,20.6376
1186,20.104866
1187,20.150545
1188,19.806374
1189,19.36224
1190,18.046473
1191,16.67796
1192,16.482195
1193,16.644457
1194,15.954015
1195,15.682772
1196,15.378151
1197,15.8560915
1198,15.199526
1199,15.452365
1200,16.807055
1201,17.63733
1202,18.292511
1203,18.644474
1204,19.603168
1205,19.479227
1206,18.183527
1207,16.675398
1208,16.19315
1209,17.265188
1210,18.692326
1211,19.730755
1212,18.916563
1213,18.160574
1214,16.661135
1215,15.0907955
1216,15.207723
1217,15.576539
1218,14.947322
1219,14.379549
1220,13.863605
1221,13.490599
1222,13.637461
1223,13.923442
1224,13.783305
1225,14.207105
1226,14.998086
1227,15.66233
1228,15.395471
1229,15.691866
1230,15.426108
1231,15.94577
1232,16.827717
1233,17.716404
1234,18.328745
1235,18.317764
1236,18.759756
1237,18.565159
1238,18.920506
1239,17.91218
1240,17.115292
1241,16.801394
1242,16.677874
1243,16.330908
1244,16.512848
1245,16.243633
1246,16.82369
1247,16.758831
1248,15.978778
1249,13.589215
1250,12.550254
1251,12.773656
1252,12.801904
1253,12.966389
1254,12.636752
1255,12.435034
1256,12.303067
1257,12.390781
1258,12.685239
1259,13.057563
1260,12.804066
1261,12.765532
1262,12.577956
1263,12.779495
1264,12.522797
1265,12.870553
1266,12.808663
1267,12.994249
1268,12.977073
1269,13.242409
1270,12.98631
1271,12.581935
1272,13.306068
1273,12.929398
1274,12.460737
1275,12.255046
1276,12.498747
1277,13.14093
1278,13.401206
1279,13.564792
1280,13.54497
1281,13.03171
1282,12.661936
1283,13.536729
1284,13.398654
1285,13.858081
1286,14.258813
1287,13.653446
1288,13.518693
1289,13.512568
1290,13.268489
1291,13.657317
1292,13.640852
1293,13.949274
1294,14.65823
1295,15.405803
1296,15.692862
1297,15.92341
1298,16.339228
1299,15.655612
1300,15.644121
1301,16.277706
1302,16.38307
1303,15.719247
1304,15.789221
1305,16.484753
1306,15.6955805
1307,16.250696
1308,16.04929
1309,16.36474
1310,15.789834
1311,15.860129
1312,16.312727
1313,17.43359
1314,18.333982
1315,17.673111
1316,17.572136
1317,16.922325
1318,16.605001
1319,17.677124
1320,19.01242
1321,18.947418
1322,18.255375
1323,18.891287
1324,18.371952
1325,18.790386
1326,19.364948
1327,20.51402
1328,21.191874
1329,20.609465
1330,20.085611
1331,19.72171
1332,19.57805
1333,18.262087
1334,18.330778
1335,16.89994
1336,16.248617
1337,15.696933
1338,15.635071
1339,15.379302
1340,16.201231
1341,16.362577
1342,16.422176
1343,16.15218
1344,16.43893
1345,17.207136
1346,16.990932
1347,18.396526
1348,18.625534
1349,17.678045
1350,17.65012
1351,18.510513
1352,18.18633
1353,17.663614
1354,16.108854
1355,14.542746
1356,13.5835905
1357,13.03642
1358,12.842635
1359,12.71293
1360,13.554721
1361,13.4801
1362,13.111311
1363,13.129537
1364,13.265098
1365,13.229776
1366,13.1280575
1367,13.926405
1368,13.979479
1369,14.4114485
1370,14.782419
1371,14.539549
1372,14.439064
1373,14.567173
1374,15.327399
1375,15.287842
1376,15.692215
1377,16.225931
1378,16.30406
1379,16.651522
1380,15.282813
1381,14.665049
1382,14.772923
1383,15.138115
1384,15.450971
1385,15.724864
1386,16.098104
1387,16.365582
1388,17.034142
1389,16.589018
1390,16.536486
1391,16.89576
1392,17.433609
1393,17.445581
1394,17.22065
1395,17.473999
1396,17.674345
1397,17.943678
1398,18.471296
1399,18.779474
1400,17.612051
1401,17.678812
1402,16.822676
1403,14.993571
1404,15.987197
1405,15.442493
1406,15.057324
1407,14.370283
1408,14.729594
1409,14.056278
1410,13.889302
1411,14.016346
1412,14.010923
1413,14.991251
1414,14.891854
1415,15.641055
1416,16.19628
1417,16.906614
1418,16.754284
1419,17.119204
1420,17.586393
1421,18.283285
1422,18.763784
1423,19.335192
1424,18.32582
1425,19.16349
1426,19.74307
1427,19.047007
1428,18.133528
1429,16.089754
1430,14.829558
1431,13.880298
1432,13.145025
1433,13.236049
