,0
0,15.995522
1,14.8219385
2,14.793392
3,15.140864
4,14.707701
5,14.066574
6,13.308089
7,13.571093
8,13.905248
9,14.208652
10,14.121831
11,13.828447
12,14.309821
13,13.995779
14,13.45586
15,13.528937
16,13.3108015
17,13.395716
18,14.021308
19,14.255215
20,14.677406
21,14.879135
22,14.749138
23,14.227844
24,13.866012
25,13.43595
26,13.616448
27,13.965158
28,13.554426
29,13.857378
30,14.593229
31,15.115379
32,14.808501
33,14.416595
34,14.220481
35,13.930056
36,14.326631
37,14.021872
38,13.684406
39,13.653279
40,13.876568
41,14.274687
42,15.256648
43,14.774069
44,14.146317
45,14.611428
46,13.812614
47,13.485167
48,13.641756
49,13.36087
50,13.691048
51,13.502923
52,13.051766
53,13.364124
54,12.984977
55,14.208569
56,13.980115
57,14.569031
58,14.627697
59,15.0346575
60,14.367892
61,13.867716
62,13.796774
63,13.575254
64,13.59065
65,13.867454
66,14.425262
67,14.430564
68,15.040522
69,15.123842
70,16.135612
71,15.249523
72,14.698206
73,14.106176
74,14.386287
75,14.509952
76,14.102314
77,13.380103
78,12.999859
79,12.775384
80,12.432451
81,12.728826
82,13.0437155
83,13.324237
84,13.628764
85,13.038284
86,12.723077
87,13.505181
88,13.412412
89,14.878102
90,14.322806
91,15.005324
92,15.534694
93,17.143208
94,17.04944
95,17.370028
96,16.50238
97,16.23336
98,16.62687
99,16.156868
100,16.86741
101,17.874687
102,16.290394
103,15.236438
104,15.145621
105,15.400395
106,15.071184
107,14.66657
108,14.280131
109,14.364366
110,14.390189
111,14.242256
112,14.887038
113,14.393855
114,14.713623
115,14.982073
116,14.986211
117,16.161125
118,16.159979
119,15.92617
120,16.300306
121,15.700541
122,15.451687
123,14.897922
124,15.79789
125,15.934193
126,15.031427
127,15.86011
128,17.268917
129,17.390398
130,16.526072
131,15.464103
132,14.889729
133,16.192934
134,16.158663
135,15.978212
136,15.369521
137,15.060399
138,14.582399
139,15.2326145
140,15.500814
141,15.690689
142,17.487062
143,18.917526
144,17.928776
145,16.584476
146,15.938432
147,15.321192
148,15.267598
149,14.819302
150,14.19132
151,13.855201
152,13.923817
153,14.777685
154,15.406935
155,15.405441
156,15.078171
157,15.254368
158,16.337101
159,16.44315
160,16.262959
161,16.038612
162,15.952465
163,16.136549
164,15.943505
165,16.534525
166,17.013704
167,18.559904
168,18.328724
169,17.17234
170,16.62614
171,16.200409
172,16.3752
173,16.458944
174,15.489761
175,16.11274
176,16.300695
177,17.828556
178,17.163301
179,15.689613
180,15.130567
181,19.319153
182,18.848833
183,17.400719
184,15.981285
185,15.55644
186,15.530627
187,17.173136
188,18.036684
189,17.948444
190,17.142876
191,16.523651
192,16.192997
193,16.243504
194,16.161026
195,18.443684
196,18.426086
197,17.901766
198,18.155472
199,17.516619
200,19.053892
201,18.430296
202,16.640446
203,16.027706
204,16.126781
205,15.784187
206,15.825579
207,15.470832
208,15.167479
209,15.700588
210,15.835514
211,16.15692
212,17.196415
213,17.177187
214,16.679285
215,16.847567
216,16.857588
217,18.297266
218,18.226706
219,19.544827
220,19.080587
221,18.202799
222,19.282845
223,20.537685
224,19.269558
225,17.712053
226,17.258968
227,16.241983
228,16.080105
229,15.815182
230,15.112487
231,15.802398
232,15.495234
233,15.554748
234,15.477279
235,15.190883
236,15.215186
237,14.940051
238,14.30425
239,13.8414
240,13.709483
241,13.774407
242,15.295867
243,15.376863
244,15.054657
245,14.898015
246,14.653567
247,15.978535
248,16.732939
249,18.259573
250,17.5358
251,19.019157
252,20.28365
253,19.321844
254,18.034445
255,17.481396
256,17.946505
257,20.34193
258,19.463848
259,21.180487
260,24.975355
261,21.75516
262,19.372143
263,19.991905
264,21.891562
265,22.819704
266,23.262197
267,21.663057
268,20.644419
269,18.419762
270,18.818941
271,21.3668
272,20.301455
273,20.6664
274,19.989655
275,19.151098
276,18.564459
277,18.15836
278,16.946152
279,16.285948
280,17.89735
281,18.268612
282,21.687504
283,21.953833
284,24.730541
285,24.567635
286,23.496376
287,24.389624
288,19.840403
289,16.641762
290,16.005018
291,15.527457
292,15.522842
293,15.885465
294,16.086058
295,16.428738
296,16.973263
297,17.061472
298,16.778864
299,16.264004
300,15.816313
301,15.363598
302,15.425485
303,15.629587
304,15.364957
305,16.453289
306,18.673567
307,20.893744
308,19.327637
309,17.118607
310,15.794841
311,15.103007
312,14.93638
313,14.822083
314,14.6343
315,14.484889
316,14.920849
317,15.210145
318,16.370676
