,0
0,7.232917
1,6.7764297
2,6.4156637
3,6.2119346
4,6.406237
5,6.132683
6,6.5203075
7,6.0909057
8,5.89342
9,8.791643
10,9.681535
11,8.007967
12,7.1567483
13,8.098525
14,7.9780912
15,7.4158525
16,9.772861
17,8.172499
18,10.087928
19,8.378997
20,8.029207
21,9.5176525
22,7.876301
23,7.255186
24,7.279083
25,7.0010204
26,7.282481
27,6.7610173
28,6.6280417
29,6.5655165
30,6.662586
31,6.225433
32,6.305554
33,8.257021
34,7.6195865
35,6.834463
36,8.69298
37,9.290401
38,9.035787
39,8.271017
40,7.2590995
41,7.136412
42,6.754259
43,6.9496036
44,7.4943295
45,8.213322
46,7.328662
47,6.839869
48,6.3694177
49,7.037973
50,6.6729765
51,6.2414293
52,6.1392035
53,6.4210534
54,8.425588
55,7.7112255
56,8.333287
57,9.082361
58,8.025372
59,7.168927
60,7.285054
61,7.4169526
62,7.2566366
63,6.9845705
64,7.5679536
65,10.016993
66,9.091562
67,9.830724
68,10.507068
69,9.800885
70,11.4329815
71,9.452516
72,12.60066
73,11.46228
74,9.719512
75,11.158872
76,14.723964
77,12.664191
78,13.792232
79,12.77836
80,16.64914
81,16.72806
82,12.350928
83,13.099964
84,13.777975
85,13.892185
86,11.166861
87,10.481122
88,10.780774
89,12.703597
90,10.295302
91,10.941224
92,16.831516
93,12.15076
94,16.311855
95,13.755468
96,14.937985
97,11.954485
98,11.342799
99,9.893801
100,8.740995
101,8.291327
102,7.6983147
103,7.4962573
104,9.199444
105,10.702218
106,9.577661
107,8.4653845
108,10.935235
109,8.801056
110,8.438261
111,7.7474823
112,7.09497
113,6.770536
114,8.561311
115,8.204843
116,7.7507467
117,7.3539057
118,9.032868
119,7.9028945
120,7.040299
121,6.5661454
122,6.2710857
123,6.2658277
124,6.1050935
125,7.2399
126,7.2524214
127,13.521399
128,17.004732
129,12.781908
130,10.208494
131,12.639468
132,9.889208
133,8.934304
134,7.8945494
135,7.6663237
136,7.421064
137,6.9725795
138,8.190063
139,15.429393
140,11.481517
141,13.338481
142,10.955781
143,9.042385
144,8.009634
145,7.200475
146,7.1489725
147,9.844377
148,9.213053
149,7.5313854
150,7.1275377
151,9.970631
152,8.737867
153,8.2654
154,7.9214997
155,7.7891335
156,7.070047
157,6.8224735
158,9.394063
159,7.9670563
160,6.9862547
161,6.6946497
162,7.093813
163,7.037719
164,8.465752
165,7.284509
166,6.791122
167,6.3941183
168,6.452931
169,6.330104
170,6.247035
171,6.409283
172,6.3585567
173,6.279504
174,9.212415
175,8.700383
176,7.893802
177,7.3593755
178,7.643212
179,7.278749
180,6.9912705
181,7.016618
182,7.3283753
183,6.9522934
184,6.7014403
185,6.553596
186,6.688426
187,6.4091215
188,6.561902
189,10.945532
190,8.72617
191,7.6865954
192,8.011169
193,10.497856
194,10.585189
195,8.862064
196,9.262723
197,14.99259
198,10.682238
199,8.950902
200,8.31244
201,7.9468217
202,7.69767
203,7.7246165
204,7.0287433
205,6.692906
206,7.2396364
207,6.5205493
208,6.4063945
209,6.4178147
210,6.4457736
211,6.6470575
212,6.8530154
213,7.1330523
214,6.5817018
215,6.989822
216,6.8194027
217,6.2062063
218,6.449575
219,6.3040905
220,6.005175
221,6.61685
222,8.013711
223,6.6494317
224,7.966966
225,7.00215
226,6.516492
227,6.84707
228,10.317933
229,7.809038
230,6.843903
231,6.6793327
232,6.5524297
233,6.7020082
234,6.5559387
235,6.1669164
236,6.978411
237,6.489236
238,6.059588
239,6.2919536
240,8.674001
241,8.139342
242,14.805227
243,17.227049
244,12.018075
245,9.686757
246,8.293245
247,8.1948595
248,7.584132
249,6.970067
250,6.6214767
251,6.5237055
252,6.36639
253,6.0809565
254,5.955654
255,7.106143
256,6.7256336
257,7.5508738
258,6.681038
259,6.302088
260,6.586072
261,6.1599755
262,6.1561418
263,6.3893538
264,8.963931
265,8.390169
266,9.268764
267,8.163105
268,7.511044
269,7.0325093
270,7.1479425
271,7.509992
272,7.1947813
273,6.621536
274,7.80285
275,7.06421
276,6.5063176
277,8.399816
278,16.898586
279,11.248679
280,9.935658
281,8.388126
282,7.277913
283,7.3963346
284,6.7809343
285,6.4967923
286,6.3444223
287,6.3274627
288,8.7448
289,9.193654
290,8.877866
291,7.762834
292,7.222607
293,6.6481576
294,6.4006405
295,6.2879972
296,6.070902
297,5.9239197
298,6.9133224
299,11.1824
300,9.042486
301,7.4140096
302,7.7349086
303,9.743091
304,8.396321
305,7.475001
306,6.9511395
307,6.633457
308,6.7395244
309,6.812113
310,7.4086742
311,6.698408
312,6.8506203
313,6.5326595
314,6.2865725
315,6.229867
316,9.737196
317,7.8291817
318,7.8040814
319,7.207751
320,6.68438
321,6.3099294
322,5.9700184
323,5.8926425
324,6.065585
325,6.076181
326,5.9864984
327,6.061755
328,6.0076838
329,5.9915037
330,7.6244974
331,6.7497997
332,6.171479
333,7.942704
334,7.088462
335,14.518551
336,10.321435
337,8.918871
338,11.281241
339,9.175088
340,7.7760983
341,7.3086853
342,7.20722
343,6.945314
344,7.1177006
345,6.812701
346,6.5304327
347,6.799237
348,6.466403
349,6.6992307
350,6.1501837
351,7.778458
352,7.2262573
353,6.9050083
354,12.967712
355,17.192902
356,12.219125
357,10.3015375
358,15.943364
359,11.734505
360,9.573267
361,8.859882
362,8.6973
363,13.653945
364,11.192078
365,9.071764
366,7.975612
367,7.0745273
368,7.3509183
369,8.888642
370,10.135344
371,8.457218
372,11.407266
373,10.235248
374,9.055351
375,7.9966545
376,9.228711
377,9.233589
378,11.220605
379,9.190327
380,7.8026934
381,12.879396
382,15.457552
383,11.274736
384,9.375806
385,8.660508
386,7.8216496
387,7.1900425
388,7.202584
389,6.657063
390,6.3070803
391,6.388123
392,7.4727106
393,7.145763
394,11.734617
395,9.809606
396,8.348451
397,7.964807
398,12.4098835
399,9.723747
400,8.359901
401,10.321905
402,14.656137
403,11.261164
404,12.45995
405,10.919415
406,9.422176
407,8.322367
408,7.55732
409,7.324997
410,7.3588448
411,6.9128947
412,6.8190265
413,6.6279364
414,7.135248
415,6.8783383
416,6.426474
417,6.203731
418,6.340608
419,6.3599463
420,6.2692747
421,6.5674167
422,7.663916
423,7.171013
424,8.917175
425,7.76585
426,7.2325587
427,10.722927
428,8.587149
429,7.7820296
430,7.7264743
431,7.022736
432,7.016786
433,6.556339
434,6.170288
435,6.0837016
436,6.4054728
437,12.564184
438,13.277008
439,10.239059
440,8.877866
441,8.192999
442,7.7469816
443,7.01294
444,7.1325097
445,7.6728354
446,6.9926524
447,6.5106773
448,10.503727
449,15.167749
450,10.792705
451,18.474562
452,12.491473
453,9.98021
454,9.307963
455,7.987155
456,7.2978086
457,6.9264708
458,7.2784586
459,7.6470547
460,8.451772
461,13.928638
462,12.385218
463,11.086835
464,13.501299
465,10.377474
466,9.150786
467,8.149224
468,7.887677
469,8.06204
470,10.871923
471,15.152522
472,11.010271
473,13.254816
474,19.281239
475,14.475765
476,11.239299
477,11.613886
478,10.230061
479,8.931004
480,8.357114
481,7.3915544
482,7.5243454
483,9.6727085
484,8.404797
485,7.8706436
486,14.2199545
487,16.58663
488,11.838128
489,10.580355
490,13.681821
491,11.43989
492,13.470474
493,11.783969
494,9.927478
495,12.232977
496,10.866186
497,15.722041
498,18.90811
499,16.781885
500,13.153516
501,10.674724
502,9.571911
503,9.32729
504,8.139785
505,7.577169
506,8.0853615
507,7.8588777
508,14.248685
509,20.806082
510,22.932442
511,21.920582
512,14.457504
513,11.300137
514,10.252754
515,11.336454
516,9.649572
517,8.189425
518,7.493628
519,7.680687
520,8.758596
521,12.775175
522,10.7668915
523,9.223267
524,16.121077
525,11.38728
526,10.703418
527,9.537281
528,8.778347
529,8.661122
530,10.878163
531,8.75205
532,13.74983
533,10.698053
534,9.078539
535,8.078995
536,7.4381237
537,6.98102
538,6.746165
539,8.067809
540,8.203912
541,9.599408
542,10.374954
543,16.76823
544,12.203623
545,10.488904
546,9.999277
547,9.5536375
548,7.978887
549,7.1915197
550,12.064156
551,9.434431
552,8.584019
553,12.950001
554,10.909997
555,9.243698
556,11.576764
557,9.771978
558,9.593388
559,9.644129
560,14.335443
561,10.708549
562,8.874775
563,9.689819
564,9.139034
565,8.306699
566,8.547894
567,15.74408
568,11.672661
569,9.355604
570,8.502607
571,10.836832
572,8.7421875
573,7.548473
574,11.7725
575,9.1434145
576,8.217803
577,7.238938
578,6.94879
579,6.685574
580,10.690199
581,8.892096
582,7.96891
583,7.2923656
584,6.769289
585,6.9174814
586,6.547982
587,6.719994
588,6.1381726
589,6.5450764
590,6.9154596
591,7.0335264
592,6.3304567
593,6.2826014
594,6.9067698
595,6.6356215
596,6.848035
597,7.198114
598,6.4258504
599,6.449637
600,6.5099883
601,6.564699
602,6.5216393
603,6.294433
604,6.2947907
605,6.137477
606,7.4757285
607,7.198532
608,6.6790977
609,7.896973
610,7.1395206
611,8.979675
612,7.661375
613,7.449433
614,7.031357
615,6.7847824
616,6.5874863
617,6.5109324
618,6.299973
619,6.2837925
620,6.113915
621,6.3098197
622,6.456305
623,6.6350026
624,6.188853
625,7.840494
626,7.428504
627,7.5499887
628,6.564862
629,6.7790003
630,6.401998
631,6.4476547
632,7.0774393
633,6.7999215
634,6.372016
635,6.2911854
636,7.961194
637,7.5338373
638,6.8686094
639,8.933386
640,7.495956
641,7.064151
642,6.538095
643,6.427842
644,6.351558
645,6.0967717
646,11.075467
647,8.76621
648,11.436261
649,9.38433
650,8.240539
651,7.606646
652,8.219623
653,7.522513
654,7.091398
655,6.6244783
656,6.820706
657,6.8762302
658,6.406556
659,6.542843
660,10.987673
661,12.975656
662,10.289956
663,9.925885
664,10.15384
665,8.688178
666,7.9988317
667,13.034352
668,10.331045
669,9.39492
670,11.948636
671,9.550093
