,0
0,7.099393
1,6.2282977
2,5.5238256
3,5.079851
4,5.811618
5,5.152564
6,6.1672997
7,4.9951086
8,4.4839993
9,9.047041
10,11.063549
11,7.6409864
12,6.957435
13,8.7986355
14,8.688176
15,7.4193044
16,11.17181
17,7.680181
18,11.455736
19,7.8725505
20,8.821593
21,10.575918
22,6.8335037
23,6.6662016
24,7.389218
25,6.414088
26,6.4721723
27,5.401998
28,5.369074
29,5.3109155
30,5.6769795
31,4.4116087
32,4.8465605
33,8.55151
34,7.947099
35,5.8276005
36,9.525843
37,10.1487875
38,9.77167
39,8.530072
40,6.1683087
41,6.5810957
42,5.781615
43,6.2489986
44,7.8852377
45,8.686313
46,6.407022
47,5.787787
48,4.780365
49,5.834153
50,5.2874713
51,4.3285103
52,4.523238
53,5.414672
54,9.27328
55,7.2651143
56,9.3985815
57,9.770889
58,7.883848
59,6.3799934
60,6.96764
61,7.31791
62,6.90744
63,6.2003536
64,8.310321
65,10.995169
66,9.648114
67,11.209391
68,10.758536
69,10.149473
70,11.442701
71,8.88319
72,12.604978
73,11.431247
74,9.580045
75,11.281689
76,14.93539
77,13.8626375
78,14.396573
79,13.443671
80,17.485317
81,18.172764
82,13.031817
83,14.776859
84,14.546428
85,15.044474
86,11.683912
87,11.393224
88,11.712198
89,13.728716
90,10.255582
91,12.210564
92,17.028807
93,12.253133
94,17.217525
95,15.276394
96,16.090504
97,12.670202
98,12.32792
99,9.984983
100,8.249574
101,7.8769665
102,6.989842
103,7.5229163
104,10.188543
105,11.539306
106,10.414606
107,8.995779
108,11.853371
109,8.359104
110,9.43872
111,8.205987
112,7.004705
113,6.6538615
114,9.690268
115,9.000725
116,8.469317
117,7.66717
118,9.404918
119,7.4093814
120,6.0512867
121,5.361996
122,4.878295
123,5.1276236
124,4.973044
125,7.5190396
126,8.077847
127,13.6140785
128,16.789707
129,14.328644
130,10.9204445
131,13.865318
132,9.392168
133,9.330674
134,7.3007364
135,7.2937617
136,6.895351
137,6.0405293
138,8.429715
