,0
0,10.912458
1,8.734902
2,9.766993
3,9.998589
4,10.594884
5,13.329043
6,21.005423
7,15.5577345
8,11.867426
9,9.653406
10,9.85398
11,10.746404
12,19.166113
13,17.254787
14,15.007935
15,11.959624
16,11.125565
17,10.030988
18,10.716591
19,9.324579
20,8.642367
21,8.663333
22,8.974424
23,8.845015
24,8.909174
25,11.425773
26,10.380071
27,12.473038
28,11.696414
29,12.494421
30,11.384989
31,10.3484335
32,9.648576
33,10.554727
34,12.745237
35,12.125447
36,11.989344
37,13.616017
38,13.047478
39,12.687506
40,13.335587
41,12.2230835
42,11.239202
43,8.977642
44,8.811449
45,8.548509
46,9.424253
47,11.23697
48,10.341851
49,8.780983
50,16.05447
51,14.651833
52,15.17767
53,8.934492
54,16.409916
55,14.449955
56,22.820438
57,18.033377
58,13.618938
59,11.475368
60,17.731483
61,18.261005
62,17.772182
63,17.303823
64,10.211264
65,11.922326
66,11.093397
67,9.948379
68,9.221689
69,13.9674225
70,12.670136
71,9.39537
72,8.931058
73,8.46322
74,18.755835
75,19.016497
76,19.92132
77,17.07013
78,12.835501
79,11.962826
80,15.922908
81,18.7032
82,19.04387
83,13.950455
84,10.708171
85,9.827777
86,15.290761
87,19.981277
88,25.262564
89,17.604342
90,10.072907
91,9.921774
92,20.575369
93,31.218729
94,31.305225
95,19.107908
96,10.973606
97,10.409453
98,21.940014
99,24.580982
100,19.937035
101,17.5248
102,13.539095
103,12.0807705
104,14.750288
105,18.154343
106,18.10259
107,16.251657
108,12.256161
109,9.699884
110,10.168146
111,9.755098
112,12.638139
113,15.203766
114,18.657997
115,15.6941395
116,13.462812
117,13.384046
118,20.307343
119,19.508596
120,18.551456
121,16.301098
122,17.771606
123,19.247297
124,18.095592
125,17.223564
126,16.884214
127,16.353903
128,15.404745
129,14.52474
130,12.2205925
131,15.875986
132,14.874085
133,30.333315
134,21.59349
135,17.002913
136,20.820934
137,29.89933
138,35.124985
139,34.226765
140,27.06596
141,25.84634
142,20.593517
143,29.218508
144,32.39998
145,34.600254
146,26.22025
147,21.899054
148,17.36489
149,18.638916
150,15.009553
151,12.274624
152,14.032131
153,18.64615
154,26.905088
155,25.037987
156,17.538214
157,14.686592
158,21.640524
159,35.323475
160,39.518005
161,29.581966
162,21.860716
163,16.814653
164,15.303073
165,19.406961
166,20.193815
167,25.036467
168,20.096062
169,16.116379
170,15.210883
171,21.072653
172,28.768457
173,36.54732
174,23.695387
175,14.274974
176,14.426551
177,15.274147
178,16.810581
179,17.039019
180,12.422164
181,9.772216
182,13.109884
183,26.872948
184,29.786654
185,25.161
186,18.651726
187,14.752835
188,13.941926
189,15.410561
190,18.23035
191,17.991228
192,15.677897
193,14.075856
194,18.908989
195,32.427914
196,42.240505
197,45.47807
198,24.788298
199,16.737617
200,13.409979
201,13.859761
202,14.581173
203,17.77192
204,13.822896
205,10.105415
206,9.84236
207,18.381937
208,26.557611
209,22.460333
210,16.292828
211,13.120193
