,0
0,8.0859585
1,4.832094
2,6.6471996
3,7.5693316
4,8.0093775
5,11.798301
6,18.18607
7,12.47901
8,8.278299
9,6.0532217
10,6.3014793
11,8.03291
12,15.94141
13,15.628571
14,13.076395
15,9.137889
16,8.13231
17,6.8518486
18,7.7134256
19,6.260029
20,4.800655
21,5.308561
22,5.845407
23,5.469967
24,5.564259
25,9.137904
26,7.6313033
27,9.844162
28,9.682825
29,10.118594
30,8.944545
31,7.0542984
32,6.2739615
33,7.704732
34,9.994729
35,9.471483
36,9.076882
37,10.947961
38,10.548686
39,9.80456
40,11.162339
41,9.620601
42,8.137955
43,5.383882
44,5.088477
45,5.2291217
46,6.5463314
47,9.379512
48,7.6594973
49,4.8262806
50,12.970948
51,13.471045
52,13.069758
53,4.023842
54,13.825671
55,12.981443
56,19.19655
57,15.78085
58,10.6068325
59,7.8541307
60,14.940406
61,17.487768
62,16.380678
63,16.757475
64,5.834248
65,8.906776
66,9.773471
67,7.02541
68,6.38186
69,12.236613
70,11.213113
71,5.580244
72,5.338871
73,5.248103
74,17.275154
75,18.130981
76,18.662779
77,15.908993
78,10.096479
79,9.490076
80,14.779549
81,17.961838
82,17.933147
83,11.445898
84,7.274052
85,7.088778
86,13.390562
87,19.081131
88,22.66442
89,15.596502
90,5.648423
91,6.8857474
92,19.27148
93,28.434578
94,30.345675
95,16.95635
96,6.8732696
97,7.9410944
98,21.50061
99,24.079952
100,21.083847
101,17.013924
102,11.659462
103,9.042179
104,13.057245
105,16.591429
106,16.686218
107,14.786224
108,8.83053
109,5.585317
110,7.2200437
111,7.1842103
112,11.013407
113,15.79207
114,17.581703
115,13.956281
116,11.308653
117,11.579301
118,17.524517
119,18.355207
120,18.372238
121,16.409033
122,18.684017
123,18.607279
124,17.666264
125,16.150465
126,17.050264
127,15.652232
128,14.8763
129,13.644468
130,10.456767
131,15.797452
132,14.917858
133,37.04348
134,20.620882
135,16.23665
136,22.046434
137,30.89546
138,33.6835
139,33.094315
140,27.06937
141,24.387335
142,19.476748
143,30.199667
144,32.419823
145,33.809254
146,26.250065
147,22.468727
148,16.639185
149,18.408
150,14.101059
151,9.849815
152,13.641964
153,20.40554
154,26.778492
155,25.195219
156,15.523435
157,12.915865
158,23.362192
159,38.790234
160,37.589046
161,30.651047
162,21.520275
163,15.631635
164,14.023569
165,18.990124
166,20.318907
167,24.569086
168,19.116392
169,14.452717
170,14.051389
171,20.770153
172,28.522001
173,35.537186
174,20.805624
175,9.83148
176,12.821798
177,15.850154
178,16.566833
179,17.009214
180,9.279864
181,5.5736284
182,11.84074
183,28.558107
184,26.942095
185,25.394958
186,17.110682
187,12.0564575
188,12.169731
189,14.584832
190,16.832857
191,17.089138
192,14.066442
193,11.98023
194,17.132317
195,35.36695
196,42.25908
197,44.10485
198,21.020279
199,13.2360325
200,11.765158
201,12.385596
202,14.101654
203,17.288996
204,11.179442
205,5.619033
206,6.4108644
207,18.349663
208,24.967417
209,21.337938
210,13.488401
211,9.744465
212,11.15519
213,15.225829
214,22.077774
215,27.28309
216,20.837292
217,16.63304
218,22.415405
219,28.913761
220,27.038267
221,22.829405
222,14.089473
223,7.896002
224,6.812057
225,13.242228
226,19.095514
227,19.892841
228,15.618719
