,0
0,7.604493
1,5.880342
2,6.4689565
3,6.9414945
4,6.972126
5,9.432182
6,13.930409
7,10.391241
8,7.577791
9,6.263246
10,6.326009
11,7.060721
12,12.878528
13,11.736067
14,10.658854
15,8.481811
16,7.6870127
17,6.9722433
18,7.234592
19,6.3584285
20,5.7674036
21,5.8782954
22,6.0116467
23,5.853777
24,5.824935
25,7.7562923
26,6.849829
27,8.091287
28,8.12612
29,8.630479
30,7.830237
31,6.8460407
32,6.2965074
33,6.9739933
34,8.556645
35,8.065594
36,7.7214932
37,9.10776
38,8.845679
39,8.518013
40,9.122444
41,8.403961
42,7.6073875
43,5.8934164
44,5.7271523
45,5.6709347
46,6.1198187
47,7.9057746
48,6.904383
49,5.5639215
50,10.333483
51,10.342694
52,10.678294
53,6.044149
54,11.17904
55,10.632741
56,16.765919
57,13.466313
58,9.797126
59,8.317901
60,11.62897
61,13.283927
62,12.378797
63,13.108686
64,7.923181
65,7.9268765
66,8.335695
67,7.0026765
68,6.4614577
69,9.957913
70,9.307068
71,6.537181
72,6.0639253
73,6.040758
74,17.962656
75,15.011864
76,15.887656
77,13.279792
78,9.95855
79,9.058737
80,12.391556
81,13.739346
82,13.977083
83,10.645975
84,8.013003
85,7.425915
86,11.1321125
87,14.416531
88,18.909317
89,14.040934
90,8.070889
91,7.710058
92,21.154325
93,28.01419
94,27.534262
95,17.041935
96,9.401476
97,8.551784
98,22.944645
99,19.319141
100,17.076412
101,14.381348
102,11.131554
103,9.995111
104,11.078285
105,14.349289
106,13.681491
107,12.688372
108,9.93285
109,7.7399793
110,8.172361
111,7.958162
112,9.897372
113,13.115047
114,13.7448
115,12.200412
116,10.645135
117,10.760399
118,14.615591
119,14.585286
120,15.691145
121,14.12886
122,14.855871
123,14.707354
124,13.944143
125,13.182676
126,13.763821
127,13.0824995
128,12.239666
129,11.735001
130,10.214348
131,12.401058
132,12.334628
133,31.140673
134,21.416859
135,14.929003
136,16.619596
137,27.986057
138,29.984844
139,30.26582
140,22.98422
141,20.154148
142,17.0337
143,28.70768
144,28.639559
145,31.313051
146,23.584661
147,19.023405
148,15.44532
149,15.35863
150,13.256641
151,11.003415
152,12.024612
153,18.727455
154,22.124718
155,22.88966
156,16.31722
157,13.09756
158,21.557646
159,36.950638
160,32.810974
161,25.63847
162,18.861322
163,14.555254
164,13.190762
165,15.448787
166,15.994322
167,20.482006
168,17.038054
169,13.804887
170,12.898259
171,17.593481
172,24.611588
173,32.18315
174,21.756565
175,12.977808
176,12.247007
177,13.921409
178,14.042762
179,14.233387
180,10.704975
181,8.267793
182,10.245089
183,27.697557
184,22.731125
185,22.020796
186,16.123877
187,12.600162
188,11.647662
189,12.623037
190,13.947014
191,13.889797
192,12.538622
193,11.360953
194,14.0125265
195,32.20128
196,39.301876
197,42.04703
198,24.019758
199,14.427304
200,12.049041
201,11.728794
202,12.319586
203,14.368064
204,11.377341
205,8.142672
206,7.912122
207,16.362984
208,21.469154
209,17.497826
210,12.979381
211,10.595369
212,10.516673
213,12.742746
214,19.46108
215,23.55399
216,18.369669
217,14.94623
218,20.448652
219,25.695408
220,25.145203
221,19.592756
222,14.081672
223,10.0664215
224,8.669521
225,11.009371
226,16.920988
227,15.507652
228,13.184261
229,10.367181
230,9.658496
231,18.350601
232,18.567406
233,16.930416
234,12.420833
235,10.648317
236,10.191956
237,14.153287
238,16.950054
239,22.618532
240,17.531963
241,14.205452
242,27.284231
243,40.497543
244,40.03803
245,34.287327
246,24.299091
247,16.907263
248,13.314318
249,14.035723
250,20.513344
251,20.866104
252,16.518167
253,12.04731
254,11.405275
255,27.085602
256,23.875593
257,25.01659
258,18.341284
259,13.678995
260,12.626523
261,14.155114
262,14.400122
263,14.409729
264,12.909526
265,12.343075
266,11.904264
267,22.797655
268,25.620872
269,24.637327
270,17.507204
271,12.056551
272,9.251061
273,9.496958
274,13.8343525
275,12.371964
276,8.14113
277,7.705697
278,15.302449
279,15.309758
280,16.038912
281,11.670913
282,9.0045
283,8.725866
284,9.72064
285,7.5305276
286,8.092116
287,8.121181
288,16.368103
289,31.214447
290,23.715843
291,16.468723
292,10.1856365
293,7.89015
294,11.673184
295,8.705565
296,8.837775
297,7.706186
298,11.562746
299,29.741398
300,28.51554
301,33.335777
302,22.294796
303,14.746663
304,11.784441
305,13.501455
306,15.502941
307,13.468664
308,11.759975
309,9.897825
310,9.657583
311,13.647436
312,13.262021
313,12.375208
314,10.150709
315,7.7538414
316,9.499856
317,13.991097
318,16.302965
319,12.959557
320,16.213205
321,18.588089
322,34.409374
323,30.107378
324,36.76226
325,25.10442
326,16.274574
327,13.181431
328,13.016688
329,12.767216
330,15.593084
331,13.646571
332,11.521664
333,11.969728
334,25.795944
335,20.356546
336,16.224983
337,11.629446
338,8.973522
339,11.9556675
340,13.34101
341,11.370255
342,10.877598
343,14.39664
344,31.335522
345,29.783752
346,21.69753
347,13.360969
348,13.700495
349,11.193089
350,12.8054905
351,24.352482
352,20.69596
353,17.496689
354,13.025903
355,11.54073
356,11.159372
357,12.640962
358,15.111855
359,12.305998
360,15.551727
361,10.187912
362,10.318787
363,16.400082
364,12.334629
365,12.827748
366,11.957983
367,15.460702
368,12.346378
369,18.510237
370,14.288379
371,27.574026
372,18.239685
373,12.365777
374,9.425724
375,10.288365
376,10.540524
377,14.459938
378,12.690174
379,14.918512
380,26.423794
381,26.066624
382,49.754368
383,29.156378
384,20.473476
385,29.420456
386,22.222294
387,16.340517
388,15.962801
389,14.3138685
390,12.9346
391,19.724722
392,15.139953
393,12.657486
394,19.844467
395,14.143114
396,35.996273
397,31.12058
398,18.013311
399,15.088917
400,9.494523
401,12.221553
402,10.74482
403,13.281434
404,27.557905
405,37.76532
406,18.124107
407,16.977058
408,28.65249
409,20.542257
410,16.485401
411,15.061349
412,15.265666
413,14.565096
414,17.21452
415,15.434602
416,14.68565
417,15.225433
418,14.017018
419,15.297794
420,13.336545
421,11.404301
422,9.8562565
423,9.688214
424,7.9890385
425,10.753382
426,15.340646
427,48.519962
428,28.481071
429,24.67458
430,15.862598
431,12.542987
432,14.962203
433,19.865078
434,16.260231
435,26.015514
436,20.81116
437,16.655714
438,21.238264
439,33.319927
440,21.679132
441,11.78146
442,16.433022
443,36.73332
444,22.683702
