,0
0,19.214272
1,18.065004
2,22.409237
3,27.375454
4,23.798344
5,19.571318
6,19.880503
7,23.212027
8,20.963644
9,21.403496
10,22.823874
11,25.425337
12,22.967249
13,16.588318
14,15.627734
15,12.8293295
16,10.340222
17,8.685134
18,10.27408
19,16.488628
20,17.222378
21,14.5617485
22,16.607542
23,24.04047
24,20.877695
25,17.676632
26,23.098415
27,26.691637
28,24.827297
29,20.514519
30,21.876335
31,26.340511
32,23.193108
33,19.469662
34,19.935686
35,22.61862
36,18.183252
37,13.872095
38,15.584931
39,15.595761
40,11.990253
41,9.153152
42,8.148557
43,11.53769
44,10.250503
45,8.829734
46,9.304095
47,13.166517
48,11.080861
49,9.136928
50,8.205637
51,12.225071
52,10.739158
53,9.105065
54,9.682609
55,14.015552
56,11.76428
57,11.852537
58,16.902983
59,19.34401
60,14.892376
61,11.125884
62,10.150968
63,11.026074
64,10.747142
65,8.848902
66,14.74164
67,18.555006
68,18.092167
69,14.132929
70,18.942087
71,23.33655
72,19.093605
73,15.083083
74,18.277077
75,22.308018
76,19.499512
77,15.52688
78,18.63869
79,20.948437
80,17.848793
81,14.58423
82,20.480225
83,24.581617
84,20.748419
85,15.774204
86,18.871567
87,23.406902
88,19.106075
89,18.076458
90,24.846022
91,28.196789
92,25.550291
93,25.555609
94,29.565056
95,31.53233
96,27.619217
97,26.947092
98,27.781057
99,22.274557
100,19.62541
101,15.93153
102,14.056494
103,17.746147
104,16.0265
105,15.602886
106,26.971022
107,32.38913
108,24.729435
109,18.175457
110,13.590679
111,10.848274
112,8.860301
113,8.461499
114,14.801918
115,12.484406
116,10.240073
117,13.56271
118,16.59917
119,13.601174
120,11.407889
121,15.976007
122,18.190546
123,17.368725
124,15.167295
125,17.677555
126,18.143303
127,14.942703
128,13.118401
129,21.728086
130,19.649387
131,16.970898
132,13.609956
133,11.483992
134,9.479353
135,11.208638
136,9.135503
137,13.164565
138,19.486532
139,15.013534
140,12.269976
141,19.592558
142,15.540151
143,13.999478
144,17.989225
145,17.285404
146,13.997835
147,11.861174
148,16.805687
149,18.243906
150,16.584698
151,20.55699
152,24.781885
153,24.153933
154,20.055279
155,19.537949
156,14.809574
157,11.817377
158,12.980685
159,13.317858
160,12.149781
161,17.11908
162,16.668045
163,18.05113
164,21.422075
165,22.308836
166,24.961111
167,21.866398
168,20.772543
169,18.435091
170,14.989247
171,13.9361515
172,18.313253
173,20.262468
174,16.03203
175,16.018278
176,21.182405
177,17.001343
178,13.03009
179,9.053077
180,7.350231
181,7.461236
182,11.809704
183,14.032978
184,11.600181
185,10.048556
186,9.4710865
187,8.070751
188,7.136796
189,8.214526
190,9.398643
191,9.439832
192,10.73498
193,13.707087
194,12.153059
195,9.7496605
196,8.296461
197,14.340966
198,17.920162
199,13.639019
200,10.308027
201,8.691931
202,7.6047397
203,6.4544134
204,6.4839787
205,11.947102
206,10.72985
207,9.263402
208,8.021833
209,9.585792
210,13.56879
211,11.264177
212,10.366396
213,13.905554
214,14.559187
215,11.881097
216,11.181948
217,16.047771
218,14.032979
219,10.960697
220,9.825926
221,14.795691
222,12.055911
223,9.361253
224,8.229788
225,9.722122
226,8.209
227,7.269298
228,8.038328
229,11.572619
230,11.704141
231,9.9578
232,8.8135805
233,9.628867
234,11.423558
235,9.712841
236,10.590631
237,14.760999
238,16.484505
239,13.052694
240,14.85588
241,18.50704
242,14.331331
243,10.46106
244,8.132073
245,6.8410206
246,6.375262
247,5.889931
248,6.0102224
249,6.4678507
250,6.5285754
251,7.7498026
252,10.1761465
253,9.7331
254,8.912912
255,7.9880276
256,10.723196
257,11.732571
258,10.4592285
259,12.688069
260,14.253954
261,12.892242
262,10.325164
263,8.873781
264,8.206541
265,6.8122935
266,5.7809114
267,7.130864
268,6.611438
269,6.646374
270,7.96016
271,11.760403
272,9.734267
273,7.8561244
274,6.754462
275,7.9501357
276,7.629909
277,6.807154
278,6.1571198
279,6.520272
280,8.573344
281,8.186479
282,13.586569
283,19.538876
284,18.180075
285,14.2636385
286,15.615401
287,15.908743
288,11.9878025
289,8.5654
290,7.1955194
291,8.167727
292,7.251656
293,5.991107
294,5.4781084
295,8.504685
296,7.5303965
297,6.9357805
298,9.97512
299,12.880418
300,11.498316
301,10.031963
302,10.889463
303,13.96478
304,12.8110075
305,11.164662
306,12.763793
307,15.209007
308,13.024221
309,11.090362
310,14.870189
311,18.038883
312,13.9918
313,10.225589
314,8.386724
315,7.757921
316,10.356905
317,9.6488695
318,12.730276
319,15.048842
320,11.325626
321,8.765708
322,8.854729
323,14.258454
324,11.871666
325,9.557569
326,7.922649
327,7.0527596
328,10.868217
329,9.955054
330,8.7564125
331,8.036283
332,8.529859
333,11.927469
334,15.133929
335,14.942296
336,20.42769
337,15.869497
338,11.5223255
339,10.937961
340,15.01965
341,11.652415
342,8.871305
343,13.502965
344,21.976185
345,20.54618
346,19.476263
347,18.487148
348,20.957207
349,20.855309
350,23.75695
351,23.28467
352,24.65683
353,22.424356
354,20.221384
355,22.090546
356,27.238495
357,28.556446
358,20.410522
359,17.64348
360,14.283764
361,11.487984
362,9.925804
363,8.97451
364,8.561246
365,7.4813294
366,7.473608
367,9.681528
368,9.550667
369,9.105715
370,11.787164
371,14.167863
372,13.637831
373,12.186109
374,15.892708
375,19.080809
376,18.02898
377,14.988816
378,17.33509
379,20.778347
380,22.048656
381,16.9307
382,17.633972
383,14.60467
384,11.7220545
385,10.404932
386,10.580799
387,12.619281
388,13.486356
389,10.361352
390,11.449743
391,13.387312
392,10.939086
393,8.720955
394,7.995065
395,10.676243
396,13.210046
397,13.736006
398,17.432364
399,17.75156
400,14.034798
401,12.24202
402,17.021606
403,21.793133
404,19.480207
405,14.428725
406,14.264542
407,13.628023
408,10.984632
409,8.769394
410,7.3830147
411,7.311433
412,7.077818
413,7.032642
414,13.343262
415,18.493656
416,15.233364
417,12.168068
418,13.268739
419,15.887192
420,13.9127655
421,11.270976
422,10.51729
423,14.025586
424,12.874497
425,11.161127
426,14.633139
427,17.879019
428,20.435085
429,15.898357
430,16.859524
431,14.977788
432,12.137394
433,9.796399
434,9.400526
435,12.904506
436,13.605218
437,11.342159
438,16.549196
439,21.725174
440,16.208391
441,11.935799
442,12.049278
443,15.111998
444,12.069704
445,9.795613
446,11.875233
447,15.127844
448,12.167505
449,10.138474
450,12.696
451,15.901813
452,14.08906
453,11.191317
454,13.366106
455,13.60881
456,10.73864
457,8.777886
458,7.5130835
459,6.7197328
460,6.442319
461,6.214722
462,7.0443325
463,7.6317673
464,7.3981533
465,6.9356656
466,10.05303
467,11.391724
468,9.564483
469,8.620957
470,14.298733
471,14.4567
472,12.198544
473,13.870622
474,18.687138
475,21.287844
476,17.633766
477,13.711914
478,17.626915
479,17.79941
480,13.010291
481,9.883611
482,10.637831
483,13.1420555
484,10.402186
485,7.988106
486,9.744732
487,11.963579
488,11.324474
489,10.482304
490,15.326926
491,15.136842
492,12.443574
493,11.93809
494,18.23201
495,17.13611
496,13.271328
497,11.077371
498,15.400401
499,25.380547
500,22.012066
501,16.46004
502,16.771038
503,15.32507
504,11.941598
505,9.78997
506,8.800138
507,8.133906
508,7.3894253
509,7.8388667
510,14.839813
511,17.009354
512,13.463316
513,11.350998
514,17.05764
515,16.485039
516,13.753265
517,12.448241
518,16.729565
519,16.872913
520,13.692505
521,11.489124
522,15.34655
523,20.606062
524,18.92725
525,20.30316
526,24.588844
527,19.485521
528,14.308277
529,10.789093
530,8.582231
531,9.699626
532,9.404538
533,9.362157
534,17.910324
535,16.080572
536,12.316185
537,9.692689
538,9.742513
539,10.998601
540,9.829516
541,9.209577
542,13.664657
543,20.019365
544,17.280237
545,17.334734
546,20.312206
547,22.580034
548,18.280968
549,14.018863
550,16.738523
551,12.822545
552,9.590923
553,7.5140805
554,8.733493
555,7.9150724
556,6.799351
557,6.2167425
558,9.713063
559,10.099268
560,8.770717
561,8.195616
562,13.221296
563,12.191134
564,10.570791
565,9.470622
566,12.189449
567,10.505307
568,9.092762
569,10.411921
570,13.562304
571,14.183826
572,11.717648
573,11.125926
574,16.825119
575,14.921883
576,11.52878
577,9.046804
578,9.456991
579,10.7885475
580,9.160586
581,7.8089204
582,8.688773
583,8.197294
584,7.3938503
585,7.2493954
586,9.497275
587,11.089837
588,10.128522
589,10.528975
590,13.559086
591,11.686729
592,9.459716
593,7.9476175
594,9.634015
595,11.040789
596,12.253193
597,13.16848
598,15.887297
599,12.116417
600,9.176566
601,7.4401927
602,6.755337
603,6.4491196
604,6.115115
605,6.3578634
606,12.814259
607,10.651827
608,8.504749
609,8.08997
610,11.862592
611,9.942835
612,8.207656
613,9.539169
614,8.640361
615,7.6079445
616,9.319477
617,14.429818
618,16.452253
619,16.072292
620,18.717163
621,20.733603
622,15.685299
623,12.104031
624,9.368212
625,8.080883
626,9.834162
627,8.588346
628,9.603372
629,13.318893
630,11.083227
631,9.266701
632,11.421202
633,12.724403
634,11.138823
635,9.808681
636,14.571784
637,18.603586
638,16.4174
639,15.829273
640,17.183914
641,20.04044
642,19.209135
643,19.613495
644,14.807583
645,20.30358
646,14.712746
647,11.426638
648,11.84969
649,12.020104
650,9.958598
651,8.033504
652,6.9065194
653,11.667862
654,10.22073
655,8.842694
656,7.7815466
657,11.30696
658,10.669871
659,11.54388
660,14.749615
661,15.350573
662,12.370866
663,10.067752
664,12.285557
665,15.506463
666,15.470618
667,12.549527
668,15.171133
669,19.497938
670,15.222585
671,11.166486
672,9.482506
673,10.0674515
674,12.31745
675,9.895615
676,8.5386715
677,9.411771
678,7.9221067
679,6.8038607
680,10.984704
681,14.696912
682,12.535477
683,10.8582115
684,12.519295
685,15.210717
686,12.85135
687,10.868692
688,14.167463
689,17.29465
690,19.087326
691,17.739605
692,20.543653
693,21.98191
694,15.294252
695,10.67061
696,7.9098344
697,7.805796
698,6.8326926
699,6.248129
700,12.052681
701,10.080532
702,10.140752
703,8.644697
704,13.522274
705,12.533818
706,11.083696
707,10.635557
708,18.39975
709,17.760113
710,13.753553
711,10.835634
712,15.473469
713,17.223991
714,14.940106
715,11.944957
716,16.750422
717,15.843645
718,11.513407
719,8.597829
720,7.0034924
721,7.153845
722,6.6363564
723,6.4034343
724,12.248024
725,15.171394
726,11.29108
727,9.044301
728,7.9185467
729,7.055044
730,6.6281905
731,8.162609
732,7.6448064
733,6.581889
734,5.8898554
735,6.9795914
736,7.050595
737,6.5630774
738,8.293234
739,12.490914
740,9.792441
741,7.0970273
742,5.540736
743,7.608944
744,7.4583635
745,6.458235
746,5.7995896
747,8.802671
748,8.218882
749,6.855218
750,6.2948384
751,9.706868
752,8.351896
753,6.8705745
754,6.306439
755,6.4257045
756,5.658628
757,5.19034
758,6.951559
759,8.543752
760,7.364818
761,7.407583
762,10.93594
763,8.8849535
764,6.890765
765,5.4511557
766,4.8153315
767,4.97179
768,10.740112
769,8.632104
770,6.9689517
771,8.970729
772,8.182954
773,6.724653
774,5.8602405
775,7.1042843
776,7.4949102
777,6.225058
778,5.586317
779,5.2612085
780,8.207393
781,6.7616343
782,6.308774
783,13.79529
784,12.959785
785,10.0137415
786,7.7837005
787,11.428195
788,9.919758
789,8.633772
790,7.6666884
791,7.7562857
792,7.6521025
793,7.1233044
794,9.434375
795,7.9990344
796,11.109069
797,8.519233
798,6.7868056
799,9.803902
800,9.193034
801,7.655059
802,6.2141414
803,7.3057766
