Unnamed: 0,date,PM2.5,date_utc,url_date,temp,wind
0.0,2020-07-01 00:00:00,11.0,2020-06-30 17:00:00,2020/06/30/1700Z,27.6,230° @ 21
1.0,2020-07-01 01:00:00,14.0,2020-06-30 18:00:00,2020/06/30/1800Z,26.7,240° @ 37
2.0,2020-07-01 02:00:00,15.0,2020-06-30 19:00:00,2020/06/30/1900Z,26.7,240° @ 37
3.0,2020-07-01 03:00:00,11.0,2020-06-30 20:00:00,2020/06/30/2000Z,26.7,240° @ 37
4.0,2020-07-01 04:00:00,9.0,2020-06-30 21:00:00,2020/06/30/2100Z,25.5,255° @ 39
5.0,2020-07-01 05:00:00,6.0,2020-06-30 22:00:00,2020/06/30/2200Z,25.5,255° @ 39
6.0,2020-07-01 06:00:00,11.0,2020-06-30 23:00:00,2020/06/30/2300Z,25.5,255° @ 39
7.0,2020-07-01 07:00:00,12.0,2020-07-01 00:00:00,2020/07/01/0000Z,26.0,260° @ 36
8.0,2020-07-01 08:00:00,13.0,2020-07-01 01:00:00,2020/07/01/0100Z,26.0,260° @ 36
9.0,2020-07-01 09:00:00,12.0,2020-07-01 02:00:00,2020/07/01/0200Z,26.0,260° @ 36
10.0,2020-07-01 10:00:00,11.0,2020-07-01 03:00:00,2020/07/01/0300Z,29.4,265° @ 34
11.0,2020-07-01 11:00:00,15.0,2020-07-01 04:00:00,2020/07/01/0400Z,29.4,265° @ 34
12.0,2020-07-01 12:00:00,11.0,2020-07-01 05:00:00,2020/07/01/0500Z,29.4,265° @ 34
13.0,2020-07-01 13:00:00,9.0,2020-07-01 06:00:00,2020/07/01/0600Z,32.8,255° @ 20
14.0,2020-07-01 14:00:00,12.0,2020-07-01 07:00:00,2020/07/01/0700Z,32.8,255° @ 20
15.0,2020-07-01 15:00:00,9.0,2020-07-01 08:00:00,2020/07/01/0800Z,32.8,255° @ 20
16.0,2020-07-01 16:00:00,11.0,2020-07-01 09:00:00,2020/07/01/0900Z,32.5,265° @ 16
17.0,2020-07-01 17:00:00,14.0,2020-07-01 10:00:00,2020/07/01/1000Z,32.5,265° @ 16
18.0,2020-07-01 18:00:00,13.0,2020-07-01 11:00:00,2020/07/01/1100Z,32.5,265° @ 16
19.0,2020-07-01 19:00:00,15.0,2020-07-01 12:00:00,2020/07/01/1200Z,29.1,270° @ 9
20.0,2020-07-01 20:00:00,15.0,2020-07-01 13:00:00,2020/07/01/1300Z,29.1,270° @ 9
21.0,2020-07-01 21:00:00,14.0,2020-07-01 14:00:00,2020/07/01/1400Z,29.1,270° @ 9
22.0,2020-07-01 22:00:00,11.0,2020-07-01 15:00:00,2020/07/01/1500Z,26.4,260° @ 9
23.0,2020-07-01 23:00:00,11.0,2020-07-01 16:00:00,2020/07/01/1600Z,26.4,260° @ 9
24.0,2020-07-02 00:00:00,9.0,2020-07-01 17:00:00,2020/07/01/1700Z,26.4,260° @ 9
25.0,2020-07-02 01:00:00,12.0,2020-07-01 18:00:00,2020/07/01/1800Z,25.8,240° @ 15
26.0,2020-07-02 02:00:00,13.0,2020-07-01 19:00:00,2020/07/01/1900Z,25.8,240° @ 15
27.0,2020-07-02 03:00:00,9.0,2020-07-01 20:00:00,2020/07/01/2000Z,25.8,240° @ 15
28.0,2020-07-02 04:00:00,13.0,2020-07-01 21:00:00,2020/07/01/2100Z,24.8,265° @ 23
29.0,2020-07-02 05:00:00,15.0,2020-07-01 22:00:00,2020/07/01/2200Z,24.8,265° @ 23
