,date,PM2.5,date_utc,url_date,temp,wind
0,2020-07-01 00:00:00,5.0,2020-06-30 17:00:00,2020/06/30/1700Z,28.5,270° @ 47
1,2020-07-01 01:00:00,3.0,2020-06-30 18:00:00,2020/06/30/1800Z,28.2,270° @ 47
2,2020-07-01 02:00:00,2.0,2020-06-30 19:00:00,2020/06/30/1900Z,28.2,260° @ 41
3,2020-07-01 03:00:00,4.0,2020-06-30 20:00:00,2020/06/30/2000Z,28.2,260° @ 41
4,2020-07-01 04:00:00,3.0,2020-06-30 21:00:00,2020/06/30/2100Z,27.8,260° @ 46
5,2020-07-01 05:00:00,5.0,2020-06-30 22:00:00,2020/06/30/2200Z,27.8,260° @ 46
6,2020-07-01 06:00:00,3.0,2020-06-30 23:00:00,2020/06/30/2300Z,27.8,260° @ 46
7,2020-07-01 07:00:00,2.0,2020-07-01 00:00:00,2020/07/01/0000Z,28.2,255° @ 40
8,2020-07-01 08:00:00,7.0,2020-07-01 01:00:00,2020/07/01/0100Z,28.2,255° @ 40
9,2020-07-01 09:00:00,11.0,2020-07-01 02:00:00,2020/07/01/0200Z,28.2,255° @ 40
10,2020-07-01 10:00:00,10.0,2020-07-01 03:00:00,2020/07/01/0300Z,29.6,250° @ 38
11,2020-07-01 11:00:00,7.0,2020-07-01 04:00:00,2020/07/01/0400Z,29.6,250° @ 38
12,2020-07-01 12:00:00,8.0,2020-07-01 05:00:00,2020/07/01/0500Z,29.6,250° @ 38
13,2020-07-01 13:00:00,9.0,2020-07-01 06:00:00,2020/07/01/0600Z,29.5,260° @ 35
14,2020-07-01 14:00:00,8.0,2020-07-01 07:00:00,2020/07/01/0700Z,29.5,260° @ 35
15,2020-07-01 15:00:00,10.0,2020-07-01 08:00:00,2020/07/01/0800Z,29.5,260° @ 35
16,2020-07-01 16:00:00,8.0,2020-07-01 09:00:00,2020/07/01/0900Z,29.3,270° @ 36
17,2020-07-01 17:00:00,10.0,2020-07-01 10:00:00,2020/07/01/1000Z,29.3,270° @ 36
18,2020-07-01 18:00:00,8.0,2020-07-01 11:00:00,2020/07/01/1100Z,29.3,270° @ 36
19,2020-07-01 19:00:00,8.0,2020-07-01 12:00:00,2020/07/01/1200Z,29.0,275° @ 43
20,2020-07-01 20:00:00,10.0,2020-07-01 13:00:00,2020/07/01/1300Z,29.0,275° @ 43
21,2020-07-01 21:00:00,6.0,2020-07-01 14:00:00,2020/07/01/1400Z,29.0,275° @ 43
22,2020-07-01 22:00:00,5.0,2020-07-01 15:00:00,2020/07/01/1500Z,28.8,280° @ 50
23,2020-07-01 23:00:00,6.0,2020-07-01 16:00:00,2020/07/01/1600Z,28.8,280° @ 50
24,2020-07-02 00:00:00,6.0,2020-07-01 17:00:00,2020/07/01/1700Z,28.8,280° @ 50
25,2020-07-02 01:00:00,6.0,2020-07-01 18:00:00,2020/07/01/1800Z,28.0,275° @ 39
26,2020-07-02 02:00:00,4.0,2020-07-01 19:00:00,2020/07/01/1900Z,28.0,275° @ 39
27,2020-07-02 03:00:00,4.0,2020-07-01 20:00:00,2020/07/01/2000Z,28.0,275° @ 39
28,2020-07-02 04:00:00,4.0,2020-07-01 21:00:00,2020/07/01/2100Z,28.1,270° @ 36
29,2020-07-02 05:00:00,5.0,2020-07-01 22:00:00,2020/07/01/2200Z,28.1,270° @ 36
30,2020-07-02 06:00:00,2.0,2020-07-01 23:00:00,2020/07/01/2300Z,28.1,270° @ 36
31,2020-07-02 07:00:00,,2020-07-02 00:00:00,2020/07/02/0000Z,28.5,260° @ 32
32,2020-07-02 08:00:00,3.0,2020-07-02 01:00:00,2020/07/02/0100Z,28.5,260° @ 32
33,2020-07-02 09:00:00,7.0,2020-07-02 02:00:00,2020/07/02/0200Z,28.5,260° @ 32
34,2020-07-02 10:00:00,9.0,2020-07-02 03:00:00,2020/07/02/0300Z,29.5,260° @ 39
35,2020-07-02 11:00:00,6.0,2020-07-02 04:00:00,2020/07/02/0400Z,29.5,260° @ 39
36,2020-07-02 12:00:00,8.0,2020-07-02 05:00:00,2020/07/02/0500Z,29.5,260° @ 39
37,2020-07-02 13:00:00,10.0,2020-07-02 06:00:00,2020/07/02/0600Z,28.9,260° @ 33
38,2020-07-02 14:00:00,11.0,2020-07-02 07:00:00,2020/07/02/0700Z,28.9,260° @ 33
39,2020-07-02 15:00:00,10.0,2020-07-02 08:00:00,2020/07/02/0800Z,28.9,260° @ 33
40,2020-07-02 16:00:00,5.0,2020-07-02 09:00:00,2020/07/02/0900Z,29.0,260° @ 33
41,2020-07-02 17:00:00,5.0,2020-07-02 10:00:00,2020/07/02/1000Z,29.0,255° @ 41
42,2020-07-02 18:00:00,4.0,2020-07-02 11:00:00,2020/07/02/1100Z,29.0,255° @ 41
43,2020-07-02 19:00:00,5.0,2020-07-02 12:00:00,2020/07/02/1200Z,28.7,265° @ 39
44,2020-07-02 20:00:00,7.0,2020-07-02 13:00:00,2020/07/02/1300Z,28.7,265° @ 39
45,2020-07-02 21:00:00,9.0,2020-07-02 14:00:00,2020/07/02/1400Z,28.7,265° @ 39
46,2020-07-02 22:00:00,7.0,2020-07-02 15:00:00,2020/07/02/1500Z,28.5,265° @ 42
47,2020-07-02 23:00:00,5.0,2020-07-02 16:00:00,2020/07/02/1600Z,28.5,265° @ 42
48,2020-07-03 00:00:00,2.0,2020-07-02 17:00:00,2020/07/02/1700Z,28.5,265° @ 42
49,2020-07-03 01:00:00,4.0,2020-07-02 18:00:00,2020/07/02/1800Z,28.0,280° @ 35
50,2020-07-03 02:00:00,4.0,2020-07-02 19:00:00,2020/07/02/1900Z,28.0,280° @ 35
51,2020-07-03 03:00:00,2.0,2020-07-02 20:00:00,2020/07/02/2000Z,28.0,280° @ 35
52,2020-07-03 04:00:00,2.0,2020-07-02 21:00:00,2020/07/02/2100Z,27.8,285° @ 38
53,2020-07-03 05:00:00,4.0,2020-07-02 22:00:00,2020/07/02/2200Z,27.8,285° @ 38
54,2020-07-03 06:00:00,8.0,2020-07-02 23:00:00,2020/07/02/2300Z,27.8,285° @ 38
55,2020-07-03 07:00:00,9.0,2020-07-03 00:00:00,2020/07/03/0000Z,28.3,270° @ 35
56,2020-07-03 08:00:00,10.0,2020-07-03 01:00:00,2020/07/03/0100Z,28.3,270° @ 35
57,2020-07-03 09:00:00,11.0,2020-07-03 02:00:00,2020/07/03/0200Z,28.3,270° @ 35
58,2020-07-03 10:00:00,10.0,2020-07-03 03:00:00,2020/07/03/0300Z,29.1,260° @ 36
59,2020-07-03 11:00:00,6.0,2020-07-03 04:00:00,2020/07/03/0400Z,29.1,260° @ 36
60,2020-07-03 12:00:00,6.0,2020-07-03 05:00:00,2020/07/03/0500Z,29.1,260° @ 36
61,2020-07-03 13:00:00,7.0,2020-07-03 06:00:00,2020/07/03/0600Z,29.4,250° @ 32
62,2020-07-03 14:00:00,7.0,2020-07-03 07:00:00,2020/07/03/0700Z,29.4,250° @ 32
63,2020-07-03 15:00:00,6.0,2020-07-03 08:00:00,2020/07/03/0800Z,29.4,250° @ 32
64,2020-07-03 16:00:00,7.0,2020-07-03 09:00:00,2020/07/03/0900Z,28.7,250° @ 39
65,2020-07-03 17:00:00,10.0,2020-07-03 10:00:00,2020/07/03/1000Z,28.7,250° @ 39
66,2020-07-03 18:00:00,11.0,2020-07-03 11:00:00,2020/07/03/1100Z,28.7,250° @ 39
67,2020-07-03 19:00:00,11.0,2020-07-03 12:00:00,2020/07/03/1200Z,27.1,250° @ 48
68,2020-07-03 20:00:00,12.0,2020-07-03 13:00:00,2020/07/03/1300Z,27.1,250° @ 48
69,2020-07-03 21:00:00,12.0,2020-07-03 14:00:00,2020/07/03/1400Z,27.1,250° @ 48
70,2020-07-03 22:00:00,13.0,2020-07-03 15:00:00,2020/07/03/1500Z,27.5,245° @ 47
71,2020-07-03 23:00:00,11.0,2020-07-03 16:00:00,2020/07/03/1600Z,27.5,245° @ 47
72,2020-07-04 00:00:00,13.0,2020-07-03 17:00:00,2020/07/03/1700Z,27.5,245° @ 47
73,2020-07-04 01:00:00,14.0,2020-07-03 18:00:00,2020/07/03/1800Z,27.7,260° @ 42
